time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7744,1000,0,0,-180000
11264,1000,512,36,-180000
15104,1000,768,216,-179910
19008,1000,962,432,-179910
22976,1000,1014,774,-179910
27008,1000,988,1296,-179865
30976,1000,910,1872,-179730
35008,1000,910,2610,-179685
39040,1000,988,3402,-179550
43072,1000,936,4338,-179415
47104,1000,936,5418,-179280
51072,1000,988,6534,-179190
55104,1000,884,7794,-178965
59136,1000,962,9198,-178740
63168,1000,962,10602,-178650
67264,1000,858,12204,-178425
71360,1000,910,13968,-178110
75456,1000,1066,15714,-177930
79680,1000,910,17658,-177705
83776,1000,1024,19710,-177390
87936,1000,936,21834,-177165
92032,1000,1014,24048,-176940
96256,1000,768,26442,-176535
100352,1000,1040,28854,-176220
104640,1000,936,31482,-175950
108864,1000,1024,34146,-175635
113152,1000,858,37008,-175185
117312,1000,1066,39906,-174915
121600,1000,884,42966,-174465
125824,1000,910,46080,-174150
129984,1000,1066,49302,-173745
134272,1000,910,52686,-173295
138496,1000,768,56124,-172890
142720,1000,1014,59670,-172485
146944,1000,1066,63378,-171990
151232,1000,962,67194,-171540
155456,1000,806,71064,-171090
159680,1000,962,75024,-170505
163840,1000,988,79056,-170145
168064,1000,1092,83214,-169650
172352,1000,1066,87552,-168975
176640,1000,1066,92016,-168570
180928,1000,1014,96552,-167985
185216,1000,988,101214,-167580
189504,1000,768,105984,-166860
193792,1000,988,110826,-166455
198080,1000,1014,115776,-165870
202432,1000,1040,120924,-165195
206784,1000,1066,126180,-164610
211136,1000,1066,131526,-164115
215552,1000,1040,136980,-163530
219904,1000,936,142542,-162810
224192,1000,858,148050,-162360
228480,1000,884,153702,-161730
232768,1000,1066,159408,-161145
237120,1000,1118,165330,-160560
241472,1000,936,171360,-159930
245760,1000,806,177336,-159165
250048,1000,962,183402,-158670
254336,1000,936,189540,-158040
258624,-1000,806,195768,-157455
262976,-1000,-832,201978,-156915
267456,-1000,-832,208116,-156375
271936,-1000,-780,214056,-155745
276352,-1000,-936,219654,-155295
280832,-1000,-1066,225000,-154845
285376,-1000,-1066,230094,-154395
289920,-1000,-1066,234918,-154035
294464,-1000,-988,239472,-153765
298880,-1000,-988,243612,-153495
303360,-1000,-832,247518,-153225
307776,-1000,-884,251064,-153135
312256,-1000,-1014,254394,-152955
316800,-1000,-936,257490,-152820
321216,-1000,-884,260208,-152820
325696,-1000,-962,262710,-152775
330176,-1000,-1024,264888,-152865
334720,-1000,-1014,266868,-153000
339264,-1000,-962,268488,-153090
343680,-1000,-962,269856,-153225
348160,-1000,-806,270954,-153540
352576,-1000,-936,271764,-153765
357056,-1000,-962,272340,-154080
361536,-1000,-910,272610,-154485
365952,-1000,-962,272664,-154845
370432,-1000,-936,272502,-155160
374848,-1000,-962,272088,-155655
379328,-1000,-988,271494,-156105
383808,-1000,-1014,270702,-156690
388352,-1000,-1024,269766,-157275
