time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007744,1.0,0.0,0.0,-3.14159265
0.011264,1.0,0.512,3.6e-05,-3.14159265
0.015104,1.0,0.768,0.000216,-3.14002185367
0.019008,1.0,0.962,0.000432,-3.14002185367
0.022976,1.0,1.014,0.000774,-3.14002185367
0.027008,1.0,0.988,0.001296,-3.13923645551
0.030976,1.0,0.91,0.001872,-3.13688026102
0.035008,1.0,0.91,0.00261,-3.13609486286
0.03904,1.0,0.988,0.003402,-3.13373866837
0.043072,1.0,0.936,0.004338,-3.13138247389
0.047104,1.0,0.936,0.005418,-3.1290262794
0.051072,1.0,0.988,0.006534,-3.12745548308
0.055104,1.0,0.884,0.007794,-3.12352849226
0.059136,1.0,0.962,0.009198,-3.11960150145
0.063168,1.0,0.962,0.010602,-3.11803070513
0.067264,1.0,0.858,0.012204,-3.11410371431
0.07136,1.0,0.91,0.013968,-3.10860592718
0.075456,1.0,1.066,0.015714,-3.10546433453
0.07968,1.0,0.91,0.017658,-3.10153734371
0.083776,1.0,1.024,0.01971,-3.09603955658
0.087936,1.0,0.936,0.021834,-3.09211256576
0.092032,1.0,1.014,0.024048,-3.08818557495
0.096256,1.0,0.768,0.026442,-3.08111699149
0.100352,1.0,1.04,0.028854,-3.07561920435
0.10464,1.0,0.936,0.031482,-3.07090681538
0.108864,1.0,1.024,0.034146,-3.06540902824
0.113152,1.0,0.858,0.037008,-3.05755504661
0.117312,1.0,1.066,0.039906,-3.05284265764
0.1216,1.0,0.884,0.042966,-3.04498867601
0.125824,1.0,0.91,0.04608,-3.03949088888
0.129984,1.0,1.066,0.049302,-3.03242230541
0.134272,1.0,0.91,0.052686,-3.02456832379
0.138496,1.0,0.768,0.056124,-3.01749974032
0.14272,1.0,1.014,0.05967,-3.01043115686
0.146944,1.0,1.066,0.063378,-3.00179177708
0.151232,1.0,0.962,0.067194,-2.99393779545
0.155456,1.0,0.806,0.071064,-2.98608381383
0.15968,1.0,0.962,0.075024,-2.97587363771
0.16384,1.0,0.988,0.079056,-2.96959045241
0.168064,1.0,1.092,0.083214,-2.96095107262
0.172352,1.0,1.066,0.087552,-2.94917010019
0.17664,1.0,1.066,0.092016,-2.94210151673
0.180928,1.0,1.014,0.096552,-2.93189134061
0.185216,1.0,0.988,0.101214,-2.92482275715
0.189504,1.0,0.768,0.105984,-2.91225638655
0.193792,1.0,0.988,0.110826,-2.90518780309
0.19808,1.0,1.014,0.115776,-2.89497762698
0.202432,1.0,1.04,0.120924,-2.88319665454
0.206784,1.0,1.066,0.12618,-2.87298647843
0.211136,1.0,1.066,0.131526,-2.86434709864
0.215552,1.0,1.04,0.13698,-2.85413692252
0.219904,1.0,0.936,0.142542,-2.84157055193
