time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7744,1200,-26,0,-180000
11392,1200,962,72,-180000
15232,1200,1170,270,-179865
19264,1200,1024,540,-179865
23296,1200,1092,990,-179865
27328,1200,1144,1602,-179775
31424,1200,1170,2376,-179640
35520,1200,1144,3312,-179595
39616,1200,1170,4356,-179415
43712,1200,1144,5598,-179190
47872,1200,1144,6912,-179100
51968,1200,1248,8388,-178920
56064,1200,1222,10026,-178605
60224,1200,1144,11772,-178425
64448,1200,1196,13680,-178290
68608,1200,1118,15750,-177930
72832,1200,1144,17928,-177615
76992,1200,1170,20232,-177390
81216,1200,1144,22644,-177075
85376,1200,1118,25254,-176715
89600,1200,1274,27954,-176355
93760,1200,1040,30762,-175995
97920,1200,1248,33750,-175635
102144,1200,1092,36828,-175275
106432,1200,1170,40158,-174780
110720,1200,1274,43614,-174375
115008,1200,1222,47196,-173880
119296,1200,1014,50922,-173475
123584,1200,1118,54846,-172935
127872,1200,1222,58860,-172485
132160,1200,1274,63000,-171990
136448,1200,1300,67320,-171450
140736,1200,1274,71784,-170820
144960,1200,1170,76338,-170370
149248,1200,1196,81036,-169740
153536,1200,1196,85878,-169200
157824,1200,1248,90828,-168615
162112,1200,1024,95940,-167985
166400,1200,1274,101160,-167355
170752,1200,1274,106614,-166770
175168,-1200,1170,112212,-166095
179584,-1200,-1024,117792,-165510
184128,-1200,-1300,123246,-165015
188672,-1200,-1222,128502,-164295
193216,-1200,-1280,133290,-163755
197760,-1200,-1196,137826,-163305
202304,-1200,-1170,141894,-162855
206848,-1200,-1040,145692,-162450
211392,-1200,-1040,149166,-162225
215936,-1200,-1196,152298,-161865
220480,-1200,-1014,155034,-161685
225024,-1200,-1170,157536,-161550
229568,-1200,-1024,159642,-161325
234048,-1200,-1144,161478,-161325
238592,-1200,-962,162918,-161370
243072,-1200,-1066,164106,-161280
247616,-1200,-1118,164952,-161325
252160,-1200,-1144,165492,-161505
256704,-1200,-1118,165726,-161685
261248,-1200,-1066,165654,-161865
265792,-1200,-1144,165330,-162090
270336,-1200,-1144,164718,-162360
274816,-1200,-1144,163890,-162720
279360,-1200,-1144,162846,-163080
283904,-1200,-1118,161568,-163485
288448,-1200,-1222,160110,-163980
292992,-1200,-1092,158382,-164475
297536,-1200,-1092,156510,-164925
302080,-1200,-1248,154422,-165375
306624,-1200,-1066,152082,-166005
311168,-1200,-1300,149634,-166545
315712,-1200,-1040,146952,-167175
320256,-1200,-1222,144072,-167850
324800,-1200,-1196,141030,-168525
329344,-1200,-988,137808,-169200
333760,-1200,-1222,134442,-169965
338304,-1200,-1248,130860,-170730
342848,1200,-1280,127080,-171540
347328,1200,884,123462,-172305
351616,1200,1024,120168,-172935
355968,1200,1024,116946,-173835
360320,1200,1024,114120,-174420
364672,1200,1024,111582,-174915
369088,1200,1024,109314,-175545
373440,1200,1024,107298,-176265
377792,1200,1024,105624,-176580
382208,1200,1040,104220,-177165
386560,1200,1024,103032,-177885
390912,1200,1024,102204,-178065
395264,1200,1024,101628,-178470
399680,1200,1092,101232,-178920
404032,1200,1024,101214,-179145
408384,1200,1144,101376,-179505
412800,1200,1024,101700,-179820
417152,1200,1144,102312,-180000
421504,1200,1170,103050,-180225
425856,1200,1144,104022,-180450
430272,1200,1144,105156,-180585
434624,1200,1118,106452,-180765
438976,1200,1118,107964,-180900
443392,1200,1222,109620,-180990
447744,1200,1118,111456,-181035
452096,1200,1118,113454,-181125
456448,1200,1222,115614,-181125
460864,1200,1092,117936,-181125
465216,1200,1196,120402,-181170
469568,1200,1066,123030,-181125
473920,1200,1144,125856,-181035
478336,1200,1248,128772,-180990
482688,1200,1040,131868,-180900
487040,1200,1274,135126,-180765
491456,1200,1248,138492,-180675
495808,1200,1040,142056,-180495
500160,1200,1144,145764,-180315
504512,1200,1222,149598,-180180
508928,-1200,1222,153630,-179865
513344,-1200,-910,157608,-179775
517824,-1200,-1274,161370,-179685
522368,-1200,-988,165024,-179505
526784,-1200,-1040,168174,-179415
531328,-1200,-1196,171180,-179370
535872,-1200,-1118,173682,-179325
540416,-1200,-1196,176022,-179235
544960,-1200,-1144,177966,-179415
549504,-1200,-1066,179640,-179460
554048,-1200,-1092,180972,-179685
558592,-1200,-1118,181962,-179910
563136,-1200,-1118,182772,-180000
567680,-1200,-1092,183150,-180315
572224,-1200,-1118,183276,-180765
576768,-1200,-1118,183168,-180945
581312,-1200,-1092,182790,-181305
585856,-1200,-1118,182124,-181800
590336,-1200,-1144,181296,-182250
594880,-1200,-1144,180216,-182700
599424,-1200,-1222,178920,-183195
603968,-1200,-1092,177444,-183600
608512,-1200,-1118,175734,-184365
613056,-1200,-1274,173826,-184905
617600,-1200,-1014,171756,-185355
622144,-1200,-1248,169470,-186030
626688,-1200,-962,166932,-186705
631168,-1200,-1248,164412,-187155
635712,-1200,-1040,161514,-187965
640192,-1200,-1196,158526,-188775
644736,-1200,-1222,155358,-189315
649280,-1200,-1014,151974,-190125
653824,-1200,-1092,148446,-190890
658368,-1200,-1378,144774,-191565
662912,-1200,-1280,140886,-192555
667456,-1200,-1066,136872,-193230
672000,-1200,-962,132732,-193905
676480,1200,-1014,128430,-194850
680896,1200,858,124290,-195525
685184,1200,1222,120528,-196065
689536,1200,1118,116802,-197010
693952,1200,1040,113526,-197640
698304,1200,1144,110520,-198225
702656,1200,1092,107784,-198945
707072,1200,1118,105390,-199350
711424,1200,1118,103266,-199710
715776,1200,1170,101412,-200250
720128,1200,1092,99864,-200700
724416,1200,1066,98676,-200925
728704,1200,1144,97722,-201150
732992,1200,1170,96966,-201600
737280,1200,1040,96588,-201690
741568,1200,1222,96480,-201825
745856,1200,1144,96480,-202185
750144,1200,1040,96822,-202185
754432,1200,1118,97362,-202140
758720,1200,1144,98064,-202275
763008,1200,1144,98946,-202320
767296,1200,1196,100044,-202230
771648,1200,1196,101322,-202185
776000,1200,1144,102798,-202140
780416,1200,1222,104472,-201915
784768,1200,1170,106272,-201780
789120,1200,1092,108252,-201690
793536,1200,1196,110484,-201330
797888,1200,1118,112788,-201105
802240,1200,1196,115254,-200970
806592,1200,1066,117954,-200520
811008,1200,1248,120798,-200205
815360,1200,1196,123750,-199935
819712,1200,1040,126900,-199530
824128,1200,1274,130248,-198990
828480,1200,1222,133722,-198630
832832,1200,1066,137322,-198225
837184,1200,1066,141138,-197505
841600,-1200,1222,145098,-197145
846016,-1200,-832,149004,-196695
850496,-1200,-1274,152802,-196155
855040,-1200,-1144,156438,-195615
859584,-1200,-962,159678,-195300
864000,-1200,-1222,162612,-194715
868544,-1200,-1118,165222,-194310
873088,-1200,-1280,167544,-194040
877632,-1200,-1118,169614,-193590
882176,-1200,-1144,171342,-193275
886720,-1200,-1280,172728,-193140
891264,-1200,-1066,173844,-192780
895808,-1200,-1144,174726,-192600
900352,-1200,-1144,175230,-192465
904896,-1200,-1144,175482,-192285
909440,-1200,-1092,175464,-192105
913984,-1200,-1118,175158,-192105
918528,-1200,-1144,174618,-192015
923072,-1200,-1222,173844,-191925
927616,-1200,-1092,172836,-192015
932096,-1200,-1280,171684,-191970
936640,-1200,-1118,170316,-191970
941184,-1200,-1326,168714,-192060
945728,-1200,-962,166950,-192105
950208,-1200,-1222,165006,-192150
954752,-1200,-1118,162864,-192285
959296,-1200,-1092,160524,-192375
963840,-1200,-1170,157986,-192510
968384,-1200,-1222,155322,-192690
972928,-1200,-962,152442,-192825
977344,-1200,-1326,149490,-193005
981888,-1200,-1144,146268,-193275
986432,-1200,-988,142902,-193410
990912,-1200,-1274,139464,-193635
995456,-1200,-1274,135756,-193950
1000000,-1200,-1092,131904,-194220
1004608,-1200,-988,127800,-194490
1009152,1200,-1040,123588,-194805
1013696,1200,910,119520,-194895
1018112,1200,1196,115776,-195030
1022528,1200,1118,112104,-195435
1027008,1200,1066,108936,-195480
1031488,1200,1196,106002,-195480
