time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007744,1.2,-0.026,0.0,-3.14159265
0.011392,1.2,0.962,7.2e-05,-3.14159265
0.015232,1.2,1.17,0.00027,-3.13923645551
0.019264,1.2,1.024,0.00054,-3.13923645551
0.023296,1.2,1.092,0.00099,-3.13923645551
0.027328,1.2,1.144,0.001602,-3.13766565919
0.031424,1.2,1.17,0.002376,-3.1353094647
0.03552,1.2,1.144,0.003312,-3.13452406654
0.039616,1.2,1.17,0.004356,-3.13138247389
0.043712,1.2,1.144,0.005598,-3.12745548308
0.047872,1.2,1.144,0.006912,-3.12588468675
0.051968,1.2,1.248,0.008388,-3.1227430941
0.056064,1.2,1.222,0.010026,-3.11724530696
0.060224,1.2,1.144,0.011772,-3.11410371431
0.064448,1.2,1.196,0.01368,-3.11174751983
0.068608,1.2,1.118,0.01575,-3.10546433453
0.072832,1.2,1.144,0.017928,-3.09996654739
0.076992,1.2,1.17,0.020232,-3.09603955658
0.081216,1.2,1.144,0.022644,-3.09054176944
0.085376,1.2,1.118,0.025254,-3.08425858414
0.0896,1.2,1.274,0.027954,-3.07797539884
0.09376,1.2,1.04,0.030762,-3.07169221354
0.09792,1.2,1.248,0.03375,-3.06540902824
0.102144,1.2,1.092,0.036828,-3.05912584294
0.106432,1.2,1.17,0.040158,-3.05048646315
0.11072,1.2,1.274,0.043614,-3.04341787969
0.115008,1.2,1.222,0.047196,-3.0347784999
0.119296,1.2,1.014,0.050922,-3.02770991644
0.123584,1.2,1.118,0.054846,-3.01828513849
0.127872,1.2,1.222,0.05886,-3.01043115686
0.13216,1.2,1.274,0.063,-3.00179177708
0.136448,1.2,1.3,0.06732,-2.99236699913
0.140736,1.2,1.274,0.071784,-2.98137142485
0.14496,1.2,1.17,0.076338,-2.97351744323
0.149248,1.2,1.196,0.081036,-2.96252186895
0.153536,1.2,1.196,0.085878,-2.953097091
0.157824,1.2,1.248,0.090828,-2.94288691489
0.162112,1.2,1.024,0.09594,-2.93189134061
0.1664,1.2,1.274,0.10116,-2.92089576634
0.170752,1.2,1.274,0.106614,-2.91068559022
0.175168,-1.2,1.17,0.112212,-2.89890461779
0.179584,-1.2,-1.024,0.117792,-2.88869444168
0.184128,-1.2,-1.3,0.123246,-2.88005506189
0.188672,-1.2,-1.222,0.128502,-2.86748869129
0.193216,-1.2,-1.28,0.13329,-2.85806391334
0.19776,-1.2,-1.196,0.137826,-2.85020993171
0.202304,-1.2,-1.17,0.141894,-2.84235595009
0.206848,-1.2,-1.04,0.145692,-2.83528736663
0.211392,-1.2,-1.04,0.149166,-2.83136037581
0.215936,-1.2,-1.196,0.152298,-2.82507719051
0.22048,-1.2,-1.014,0.155034,-2.82193559786
0.225024,-1.2,-1.17,0.157536,-2.81957940338
0.229568,-1.2,-1.024,0.159642,-2.81565241256
0.234048,-1.2,-1.144,0.161478,-2.81565241256
0.238592,-1.2,-0.962,0.162918,-2.81643781073
0.243072,-1.2,-1.066,0.164106,-2.8148670144
0.247616,-1.2,-1.118,0.164952,-2.81565241256
0.25216,-1.2,-1.144,0.165492,-2.81879400521
0.256704,-1.2,-1.118,0.165726,-2.82193559786
0.261248,-1.2,-1.066,0.165654,-2.82507719051
0.265792,-1.2,-1.144,0.16533,-2.82900418133
0.270336,-1.2,-1.144,0.164718,-2.8337165703
0.274816,-1.2,-1.144,0.16389,-2.8399997556
0.27936,-1.2,-1.144,0.162846,-2.8462829409
0.283904,-1.2,-1.118,0.161568,-2.85335152436
0.288448,-1.2,-1.222,0.16011,-2.86199090415
0.292992,-1.2,-1.092,0.158382,-2.87063028394
0.297536,-1.2,-1.092,0.15651,-2.87848426556
0.30208,-1.2,-1.248,0.154422,-2.88633824719
0.306624,-1.2,-1.066,0.152082,-2.89733382146
0.311168,-1.2,-1.3,0.149634,-2.90675859941
0.315712,-1.2,-1.04,0.146952,-2.91775417369
0.320256,-1.2,-1.222,0.144072,-2.92953514613
0.3248,-1.2,-1.196,0.14103,-2.94131611856
0.329344,-1.2,-0.988,0.137808,-2.953097091
0.33376,-1.2,-1.222,0.134442,-2.96644885976
0.338304,-1.2,-1.248,0.13086,-2.97980062853
0.342848,1.2,-1.28,0.12708,-2.99393779545
0.347328,1.2,0.884,0.123462,-3.00728956421
0.351616,1.2,1.024,0.120168,-3.01828513849
0.355968,1.2,1.024,0.116946,-3.03399310174
0.36032,1.2,1.024,0.11412,-3.04420327785
0.364672,1.2,1.024,0.111582,-3.05284265764
0.369088,1.2,1.024,0.109314,-3.06383823191
0.37344,1.2,1.024,0.107298,-3.07640460251
0.377792,1.2,1.024,0.105624,-3.08190238965
0.382208,1.2,1.04,0.10422,-3.09211256576
0.38656,1.2,1.024,0.103032,-3.10467893636
0.390912,1.2,1.024,0.102204,-3.10782052901
0.395264,1.2,1.024,0.101628,-3.11488911248
0.39968,1.2,1.092,0.101232,-3.1227430941
0.404032,1.2,1.024,0.101214,-3.12667008491
0.408384,1.2,1.144,0.101376,-3.13295327021
0.4128,1.2,1.024,0.1017,-3.13845105735
0.417152,1.2,1.144,0.102312,-3.14159265
0.421504,1.2,1.17,0.10305,-3.14551964081
0.425856,1.2,1.144,0.104022,-3.14944663163
0.430272,1.2,1.144,0.105156,-3.15180282611
0.434624,1.2,1.118,0.106452,-3.15494441876
0.438976,1.2,1.118,0.107964,-3.15730061325
0.443392,1.2,1.222,0.10962,-3.15887140958
0.447744,1.2,1.118,0.111456,-3.15965680774
0.452096,1.2,1.118,0.113454,-3.16122760406
0.456448,1.2,1.222,0.115614,-3.16122760406
0.460864,1.2,1.092,0.117936,-3.16122760406
0.465216,1.2,1.196,0.120402,-3.16201300223
0.469568,1.2,1.066,0.12303,-3.16122760406
0.47392,1.2,1.144,0.125856,-3.15965680774
0.478336,1.2,1.248,0.128772,-3.15887140958
0.482688,1.2,1.04,0.131868,-3.15730061325
0.48704,1.2,1.274,0.135126,-3.15494441876
0.491456,1.2,1.248,0.138492,-3.15337362244
0.495808,1.2,1.04,0.142056,-3.15023202979
0.50016,1.2,1.144,0.145764,-3.14709043714
0.504512,1.2,1.222,0.149598,-3.14473424265
0.508928,-1.2,1.222,0.15363,-3.13923645551
0.513344,-1.2,-0.91,0.157608,-3.13766565919
0.517824,-1.2,-1.274,0.16137,-3.13609486286
0.522368,-1.2,-0.988,0.165024,-3.13295327021
0.526784,-1.2,-1.04,0.168174,-3.13138247389
0.531328,-1.2,-1.196,0.17118,-3.13059707572
0.535872,-1.2,-1.118,0.173682,-3.12981167756
0.540416,-1.2,-1.196,0.176022,-3.12824088124
0.54496,-1.2,-1.144,0.177966,-3.13138247389
0.549504,-1.2,-1.066,0.17964,-3.13216787205
0.554048,-1.2,-1.092,0.180972,-3.13609486286
0.558592,-1.2,-1.118,0.181962,-3.14002185367
0.563136,-1.2,-1.118,0.182772,-3.14159265
0.56768,-1.2,-1.092,0.18315,-3.14709043714
0.572224,-1.2,-1.118,0.183276,-3.15494441876
0.576768,-1.2,-1.118,0.183168,-3.15808601141
0.581312,-1.2,-1.092,0.18279,-3.16436919671
0.585856,-1.2,-1.118,0.182124,-3.1730085765
0.590336,-1.2,-1.144,0.181296,-3.18086255813
0.59488,-1.2,-1.144,0.180216,-3.18871653975
0.599424,-1.2,-1.222,0.17892,-3.19735591954
0.603968,-1.2,-1.092,0.177444,-3.204424503
0.608512,-1.2,-1.118,0.175734,-3.21777627176
0.613056,-1.2,-1.274,0.173826,-3.22720104971
0.6176,-1.2,-1.014,0.171756,-3.23505503134
0.622144,-1.2,-1.248,0.16947,-3.24683600377
0.626688,-1.2,-0.962,0.166932,-3.25861697621
0.631168,-1.2,-1.248,0.164412,-3.26647095784
0.635712,-1.2,-1.04,0.161514,-3.28060812476
0.640192,-1.2,-1.196,0.158526,-3.29474529169
0.644736,-1.2,-1.222,0.155358,-3.30417006964
0.64928,-1.2,-1.014,0.151974,-3.31830723656
0.653824,-1.2,-1.092,0.148446,-3.33165900533
0.658368,-1.2,-1.378,0.144774,-3.34343997776
0.662912,-1.2,-1.28,0.140886,-3.36071873734
0.667456,-1.2,-1.066,0.136872,-3.37249970978
0.672,-1.2,-0.962,0.132732,-3.38428068221
0.67648,1.2,-1.014,0.12843,-3.40077404363
0.680896,1.2,0.858,0.12429,-3.41255501606
0.685184,1.2,1.222,0.120528,-3.42197979401
0.689536,1.2,1.118,0.116802,-3.43847315543
0.693952,1.2,1.04,0.113526,-3.4494687297
0.698304,1.2,1.144,0.11052,-3.45967890581
0.702656,1.2,1.092,0.107784,-3.47224527641
0.707072,1.2,1.118,0.10539,-3.47931385987
