time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,400,104,0,-180000
10688,400,208,0,-180000
14592,400,256,36,-180000
18560,400,416,108,-179955
22656,400,416,198,-179955
26688,400,468,342,-179955
30784,400,598,522,-179910
34816,400,494,738,-179865
38848,400,156,954,-179865
42944,400,546,1224,-179820
47104,400,416,1530,-179775
51264,400,572,1818,-179775
55360,400,416,2142,-179685
59520,400,520,2502,-179640
63680,400,572,2844,-179595
67840,424,182,3240,-179595
71936,400,312,3618,-179505
76096,400,312,4068,-179460
80256,400,364,4518,-179415
84416,400,416,4950,-179325
88576,400,416,5472,-179280
92672,400,182,5940,-179235
96832,400,338,6444,-179100
100992,400,468,7002,-179055
105216,-3,572,7506,-179055
109376,101,130,8046,-178965
113600,43,52,8550,-178920
117696,4,-234,9018,-178830
121856,400,182,9468,-178875
126080,400,512,9846,-178740
130368,400,546,10278,-178605
134656,400,338,10674,-178695
139008,400,312,11034,-178605
143296,400,512,11538,-178470
147648,400,494,11952,-178470
152000,452,338,12366,-178470
156288,637,598,12888,-178335
160640,400,598,13392,-178290
164928,400,468,13914,-178335
169280,400,256,14508,-178200
173632,-100,546,15084,-178110
177984,54,-234,15660,-178110
182336,381,0,16200,-178065
186496,155,182,16686,-177930
190848,141,156,17172,-177930
195136,477,208,17586,-177930
199488,662,520,18036,-177840
203776,927,624,18504,-177750
208128,745,962,18990,-177750
212480,660,780,19602,-177705
216768,217,546,20250,-177615
221120,178,-52,20934,-177570
225408,-49,286,21636,-177525
229760,-30,-52,22320,-177435
234112,26,156,22914,-177390
238336,39,156,23454,-177345
242560,81,0,23940,-177300
246656,335,130,24336,-177300
250944,524,364,24714,-177300
255296,584,624,25110,-177210
259584,577,754,25506,-177210
263936,646,494,25902,-177255
268288,733,598,26370,-177120
272576,530,780,26892,-177120
276928,446,624,27414,-177165
281216,400,494,28026,-177030
285568,309,520,28692,-177030
289920,489,494,29304,-177075
294208,463,468,29952,-176940
298560,252,494,30654,-176895
302848,-100,234,31266,-176895
307264,104,-78,31914,-176805
311616,390,52,32508,-176805
315840,436,286,33048,-176805
320192,714,546,33642,-176670
324480,739,512,34218,-176715
328832,904,650,34830,-176715
333184,776,780,35532,-176625
337472,1079,832,36342,-176580
341888,970,988,37170,-176535
346240,960,936,38178,-176445
350528,901,1014,39276,-176310
354944,686,936,40482,-176265
359296,673,546,41796,-176130
363584,677,624,43128,-176040
367936,622,702,44568,-175950
372288,644,256,46044,-175815
376576,823,754,47556,-175635
380928,504,676,49176,-175545
385216,408,234,50760,-175455
389568,285,364,52398,-175275
393920,157,260,54144,-175050
398208,118,-52,55782,-175005
402560,161,52,57384,-174915
406784,-192,182,59058,-174645
411200,-602,0,60678,-174555
415424,-397,-546,62082,-174600
419968,-239,-572,63486,-174420
424448,-261,-390,64854,-174240
428928,-312,-130,66042,-174285
433408,-326,-234,67068,-174285
437952,-116,-416,68022,-174150
442432,45,-182,68886,-174195
446720,431,0,69624,-174285
450880,357,338,70290,-174240
455232,167,468,70974,-174240
