time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,0.104,0.0,-3.14159265
0.010688,0.4,0.208,0.0,-3.14159265
0.014592,0.4,0.256,3.6e-05,-3.14159265
0.01856,0.4,0.416,0.000108,-3.14080725184
0.022656,0.4,0.416,0.000198,-3.14080725184
0.026688,0.4,0.468,0.000342,-3.14080725184
0.030784,0.4,0.598,0.000522,-3.14002185367
0.034816,0.4,0.494,0.000738,-3.13923645551
0.038848,0.4,0.156,0.000954,-3.13923645551
0.042944,0.4,0.546,0.001224,-3.13845105735
0.047104,0.4,0.416,0.00153,-3.13766565919
0.051264,0.4,0.572,0.001818,-3.13766565919
0.05536,0.4,0.416,0.002142,-3.13609486286
0.05952,0.4,0.52,0.002502,-3.1353094647
0.06368,0.4,0.572,0.002844,-3.13452406654
0.06784,0.424,0.182,0.00324,-3.13452406654
0.071936,0.4,0.312,0.003618,-3.13295327021
0.076096,0.4,0.312,0.004068,-3.13216787205
0.080256,0.4,0.364,0.004518,-3.13138247389
0.084416,0.4,0.416,0.00495,-3.12981167756
0.088576,0.4,0.416,0.005472,-3.1290262794
0.092672,0.4,0.182,0.00594,-3.12824088124
0.096832,0.4,0.338,0.006444,-3.12588468675
0.100992,0.4,0.468,0.007002,-3.12509928859
0.105216,-0.003,0.572,0.007506,-3.12509928859
0.109376,0.101,0.13,0.008046,-3.12352849226
0.1136,0.043,0.052,0.00855,-3.1227430941
0.117696,0.004,-0.234,0.009018,-3.12117229778
0.121856,0.4,0.182,0.009468,-3.12195769594
0.12608,0.4,0.512,0.009846,-3.11960150145
0.130368,0.4,0.546,0.010278,-3.11724530696
0.134656,0.4,0.338,0.010674,-3.11881610329
0.139008,0.4,0.312,0.011034,-3.11724530696
0.143296,0.4,0.512,0.011538,-3.11488911248
0.147648,0.4,0.494,0.011952,-3.11488911248
0.152,0.452,0.338,0.012366,-3.11488911248
0.156288,0.637,0.598,0.012888,-3.11253291799
0.16064,0.4,0.598,0.013392,-3.11174751983
0.164928,0.4,0.468,0.013914,-3.11253291799
0.16928,0.4,0.256,0.014508,-3.1101767235
0.173632,-0.1,0.546,0.015084,-3.10860592718
0.177984,0.054,-0.234,0.01566,-3.10860592718
0.182336,0.381,0.0,0.0162,-3.10782052901
0.186496,0.155,0.182,0.016686,-3.10546433453
0.190848,0.141,0.156,0.017172,-3.10546433453
0.195136,0.477,0.208,0.017586,-3.10546433453
0.199488,0.662,0.52,0.018036,-3.1038935382
0.203776,0.927,0.624,0.018504,-3.10232274188
0.208128,0.745,0.962,0.01899,-3.10232274188
0.21248,0.66,0.78,0.019602,-3.10153734371
0.216768,0.217,0.546,0.02025,-3.09996654739
0.22112,0.178,-0.052,0.020934,-3.09918114923
0.225408,-0.049,0.286,0.021636,-3.09839575106
0.22976,-0.03,-0.052,0.02232,-3.09682495474
0.234112,0.026,0.156,0.022914,-3.09603955658
0.238336,0.039,0.156,0.023454,-3.09525415841
0.24256,0.081,0.0,0.02394,-3.09446876025
0.246656,0.335,0.13,0.024336,-3.09446876025
0.250944,0.524,0.364,0.024714,-3.09446876025
0.255296,0.584,0.624,0.02511,-3.09289796393
0.259584,0.577,0.754,0.025506,-3.09289796393
0.263936,0.646,0.494,0.025902,-3.09368336209
0.268288,0.733,0.598,0.02637,-3.0913271676
0.272576,0.53,0.78,0.026892,-3.0913271676
0.276928,0.446,0.624,0.027414,-3.09211256576
0.281216,0.4,0.494,0.028026,-3.08975637128
0.285568,0.309,0.52,0.028692,-3.08975637128
0.28992,0.489,0.494,0.029304,-3.09054176944
0.294208,0.463,0.468,0.029952,-3.08818557495
0.29856,0.252,0.494,0.030654,-3.08740017679
0.302848,-0.1,0.234,0.031266,-3.08740017679
0.307264,0.104,-0.078,0.031914,-3.08582938046
0.311616,0.39,0.052,0.032508,-3.08582938046
0.31584,0.436,0.286,0.033048,-3.08582938046
0.320192,0.714,0.546,0.033642,-3.08347318597
0.32448,0.739,0.512,0.034218,-3.08425858414
0.328832,0.904,0.65,0.03483,-3.08425858414
0.333184,0.776,0.78,0.035532,-3.08268778781
0.337472,1.079,0.832,0.036342,-3.08190238965
0.341888,0.97,0.988,0.03717,-3.08111699149
0.34624,0.96,0.936,0.038178,-3.07954619516
0.350528,0.901,1.014,0.039276,-3.07719000067
0.354944,0.686,0.936,0.040482,-3.07640460251
0.359296,0.673,0.546,0.041796,-3.07404840802
0.363584,0.677,0.624,0.043128,-3.0724776117
0.367936,0.622,0.702,0.044568,-3.07090681538
0.372288,0.644,0.256,0.046044,-3.06855062089
0.376576,0.823,0.754,0.047556,-3.06540902824
0.380928,0.504,0.676,0.049176,-3.06383823191
0.385216,0.408,0.234,0.05076,-3.06226743559
0.389568,0.285,0.364,0.052398,-3.05912584294
0.39392,0.157,0.26,0.054144,-3.05519885213
0.398208,0.118,-0.052,0.055782,-3.05441345396
0.40256,0.161,0.052,0.057384,-3.05284265764
0.406784,-0.192,0.182,0.059058,-3.04813026866
0.4112,-0.602,0.0,0.060678,-3.04655947234
0.415424,-0.397,-0.546,0.062082,-3.0473448705
0.419968,-0.239,-0.572,0.063486,-3.04420327785
0.424448,-0.261,-0.39,0.064854,-3.0410616852
0.428928,-0.312,-0.13,0.066042,-3.04184708336
0.433408,-0.326,-0.234,0.067068,-3.04184708336
0.437952,-0.116,-0.416,0.068022,-3.03949088888
0.442432,0.045,-0.182,0.068886,-3.04027628704
0.44672,0.431,0.0,0.069624,-3.04184708336
0.45088,0.357,0.338,0.07029,-3.0410616852
0.455232,0.167,0.468,0.070974,-3.0410616852
0.459584,0.246,0.156,0.071622,-3.04184708336
0.463872,0.125,0.256,0.072288,-3.04263248153
0.468224,0.145,0.156,0.072936,-3.04341787969
0.472512,0.066,-0.026,0.073548,-3.04420327785
0.4768,0.02,0.182,0.074142,-3.04420327785
0.481024,-0.019,0.052,0.074682,-3.04577407418
0.485248,-0.121,0.052,0.075168,-3.04655947234
0.4896,-0.27,-0.156,0.075636,-3.0473448705
0.49408,0.4,-0.078,0.076014,-3.04970106499
0.498432,0.4,0.078,0.076302,-3.05127186131
0.502656,0.4,0.52,0.076626,-3.05205725948
0.506944,0.4,0.26,0.076914,-3.05441345396
0.511296,0.4,0.286,0.077202,-3.05598425029
0.515648,0.4,0.312,0.077544,-3.05676964845
0.519936,0.4,0.468,0.077886,-3.05912584294
