time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,400,26,0,-180000
10624,400,-156,0,-180000
14592,400,390,36,-180000
18624,400,494,90,-180000
22592,400,520,126,-180000
26624,400,256,252,-180000
30720,400,130,360,-179955
34816,400,520,504,-179955
38848,400,546,702,-179910
42944,400,390,918,-179910
46976,400,364,1152,-179865
51136,400,520,1440,-179820
55296,400,312,1710,-179775
59456,400,494,1998,-179775
63616,400,156,2322,-179685
67776,400,338,2646,-179640
71936,400,650,2988,-179640
76096,400,260,3348,-179550
80256,400,520,3762,-179460
84416,400,416,4176,-179460
88576,400,390,4608,-179460
92736,400,260,5094,-179325
96896,400,520,5580,-179280
101056,400,256,6066,-179280
105280,400,364,6606,-179145
109504,158,572,7182,-179055
113792,147,156,7704,-179010
118016,73,104,8226,-178965
122176,-25,0,8748,-178875
126272,-84,78,9198,-178830
130432,400,-26,9612,-178785
134656,400,572,10008,-178740
139008,400,520,10422,-178695
143360,400,416,10818,-178650
147712,400,520,11232,-178605
152000,400,286,11682,-178515
156352,400,494,12096,-178515
160704,400,286,12564,-178470
165056,400,416,13032,-178335
169344,400,312,13482,-178335
173696,400,520,13968,-178290
178048,400,442,14490,-178200
182400,400,442,15012,-178155
186688,400,286,15552,-178110
191040,388,416,16128,-178020
195392,396,442,16686,-178020
199680,449,520,17244,-177975
204032,433,572,17856,-177885
208384,322,598,18468,-177795
212736,356,442,19116,-177750
217024,299,234,19728,-177705
221376,167,338,20412,-177615
225728,46,182,21060,-177615
229952,224,104,21654,-177525
234304,344,52,22302,-177435
238528,482,416,22878,-177435
242880,412,312,23472,-177345
247232,497,416,24066,-177210
251520,370,416,24696,-177255
255872,381,286,25344,-177210
260224,264,312,26028,-177030
264576,307,104,26748,-177075
268864,379,364,27378,-177075
273216,285,416,28098,-176940
277568,264,234,28800,-176850
281920,365,78,29448,-176850
286144,416,338,30132,-176805
290496,536,260,30852,-176715
294784,520,650,31572,-176670
299136,449,546,32328,-176625
303488,316,390,33120,-176580
307840,317,338,33948,-176490
312128,418,312,34794,-176400
316480,416,468,35640,-176445
320832,511,468,36486,-176310
325184,614,442,37422,-176220
329472,684,598,38358,-176220
333824,514,780,39312,-176085
338176,489,624,40392,-175995
342464,537,256,41436,-175950
346816,675,546,42552,-175815
351168,669,520,43722,-175725
355520,700,572,44928,-175680
359808,706,598,46170,-175545
364160,791,676,47502,-175455
368512,699,572,48888,-175365
372864,861,806,50364,-175185
377152,897,1066,51894,-175095
381568,732,988,53568,-174960
385920,655,494,55296,-174735
390272,485,650,57060,-174645
394624,414,624,58896,-174510
398912,397,416,60768,-174285
403264,391,598,62658,-174150
407616,226,468,64584,-174060
411968,111,260,66474,-173835
416256,54,286,68364,-173655
420544,85,104,70218,-173610
424768,12,0,71982,-173340
428864,-77,130,73692,-173295
433216,-104,-234,75402,-173250
437696,22,-182,77130,-173025
442048,-74,156,78768,-172980
446336,-85,26,80280,-172935
450624,-19,-338,81720,-172755
455040,-36,-52,83196,-172755
459392,-7,-78,84492,-172755
463616,-93,-104,85770,-172620
468032,-90,156,87048,-172620
472384,-25,104,88128,-172665
476736,32,-256,89244,-172575
481024,207,26,90306,-172575
485312,118,234,91206,-172665
489600,-51,156,92142,-172620
493952,10,26,93060,-172620
498112,21,-26,93852,-172710
502400,151,130,94626,-172755
506688,150,-26,95418,-172800
511040,147,260,96138,-172845
515392,48,156,96840,-172980
519616,103,-26,97506,-172980
523968,80,260,98154,-173070
528192,85,104,98748,-173205
532480,194,0,99306,-173295
536640,147,104,99828,-173340
540992,88,208,100350,-173520
545280,101,156,100800,-173655
549696,400,26,101304,-173700
554048,400,156,101754,-173835
558464,400,260,102204,-174015
562880,400,234,102690,-174105
567296,400,156,103212,-174240
571776,400,442,103698,-174420
576192,400,182,104256,-174510
580608,400,364,104850,-174600
585024,118,338,105390,-174825
589440,-17,104,106002,-174915
593856,-9,182,106560,-175005
598208,-57,-182,107100,-175230
602688,5,26,107586,-175410
606848,27,156,107964,-175500
611200,400,104,108342,-175680
615616,400,442,108648,-175905
620032,400,416,108990,-175995
624448,400,0,109350,-176220
628672,400,312,109656,-176445
633152,400,286,110070,-176580
637568,400,234,110502,-176715
641984,400,520,110970,-176940
646400,400,364,111438,-177120
650816,400,208,111924,-177255
655232,400,520,112500,-177390
659648,400,390,113040,-177570
664064,400,338,113580,-177795
668480,535,182,114174,-177930
672896,447,598,114768,-178065
677312,527,520,115416,-178245
681728,536,442,116064,-178380
686144,617,468,116766,-178560
690560,670,598,117522,-178695
694976,511,598,118332,-178785
699392,360,286,119196,-178920
703872,328,390,120060,-179100
708288,333,520,120996,-179190
712704,323,442,121950,-179280
717120,285,256,122868,-179460
721536,373,78,123840,-179595
725888,398,546,124776,-179640
730304,497,494,125766,-179820
734720,486,520,126738,-179910
739136,443,338,127800,-180000
743552,458,390,128880,-180135
747968,366,312,129942,-180225
752384,366,572,131112,-180315
756800,291,130,132228,-180450
761216,165,390,133398,-180540
765632,249,104,134568,-180585
770048,337,104,135702,-180720
774464,309,234,136836,-180810
778880,254,364,137988,-180810
783296,285,364,139086,-180990
787776,329,234,140220,-181080
792192,302,0,141390,-181125
796416,356,416,142470,-181305
800832,294,520,143622,-181350
805248,364,442,144810,-181395
809664,259,78,145980,-181530
814016,289,0,147168,-181620
818240,301,256,148338,-181665
822656,322,494,149562,-181755
827136,343,234,150768,-181845
831552,427,494,151974,-181890
835968,495,468,153234,-181980
840384,416,234,154458,-182025
844800,485,260,155754,-182115
849216,441,312,157050,-182205
853632,394,468,158364,-182250
858048,411,312,159732,-182250
862464,342,312,161082,-182385
866880,148,208,162450,-182385
871296,236,182,163890,-182385
875712,155,130,165258,-182475
880128,302,104,166644,-182565
884544,311,364,167994,-182565
888960,271,286,169380,-182610
893376,143,130,170730,-182655
897792,127,364,172080,-182700
902272,145,256,173412,-182790
906688,67,-104,174744,-182790
911104,58,26,176022,-182790
915328,-6,104,177192,-182925
919680,101,0,178362,-182970
923904,167,208,179478,-182970
928320,181,78,180630,-183060
932672,214,286,181656,-183195
937088,417,286,182718,-183195
941504,349,286,183798,-183240
945920,257,182,184878,-183330
950336,219,78,185940,-183420
954688,53,390,186984,-183465
959040,238,208,188064,-183510
963456,185,26,189108,-183600
967808,167,182,190134,-183645
