time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,0.026,0.0,-3.14159265
0.010624,0.4,-0.156,0.0,-3.14159265
0.014592,0.4,0.39,3.6e-05,-3.14159265
0.018624,0.4,0.494,9e-05,-3.14159265
0.022592,0.4,0.52,0.000126,-3.14159265
0.026624,0.4,0.256,0.000252,-3.14159265
0.03072,0.4,0.13,0.00036,-3.14080725184
0.034816,0.4,0.52,0.000504,-3.14080725184
0.038848,0.4,0.546,0.000702,-3.14002185367
0.042944,0.4,0.39,0.000918,-3.14002185367
0.046976,0.4,0.364,0.001152,-3.13923645551
0.051136,0.4,0.52,0.00144,-3.13845105735
0.055296,0.4,0.312,0.00171,-3.13766565919
0.059456,0.4,0.494,0.001998,-3.13766565919
0.063616,0.4,0.156,0.002322,-3.13609486286
0.067776,0.4,0.338,0.002646,-3.1353094647
0.071936,0.4,0.65,0.002988,-3.1353094647
0.076096,0.4,0.26,0.003348,-3.13373866837
0.080256,0.4,0.52,0.003762,-3.13216787205
0.084416,0.4,0.416,0.004176,-3.13216787205
0.088576,0.4,0.39,0.004608,-3.13216787205
0.092736,0.4,0.26,0.005094,-3.12981167756
0.096896,0.4,0.52,0.00558,-3.1290262794
0.101056,0.4,0.256,0.006066,-3.1290262794
0.10528,0.4,0.364,0.006606,-3.12667008491
0.109504,0.158,0.572,0.007182,-3.12509928859
0.113792,0.147,0.156,0.007704,-3.12431389043
0.118016,0.073,0.104,0.008226,-3.12352849226
0.122176,-0.025,0.0,0.008748,-3.12195769594
0.126272,-0.084,0.078,0.009198,-3.12117229778
0.130432,0.4,-0.026,0.009612,-3.12038689961
0.134656,0.4,0.572,0.010008,-3.11960150145
0.139008,0.4,0.52,0.010422,-3.11881610329
0.14336,0.4,0.416,0.010818,-3.11803070513
0.147712,0.4,0.52,0.011232,-3.11724530696
0.152,0.4,0.286,0.011682,-3.11567451064
0.156352,0.4,0.494,0.012096,-3.11567451064
0.160704,0.4,0.286,0.012564,-3.11488911248
0.165056,0.4,0.416,0.013032,-3.11253291799
0.169344,0.4,0.312,0.013482,-3.11253291799
0.173696,0.4,0.52,0.013968,-3.11174751983
0.178048,0.4,0.442,0.01449,-3.1101767235
0.1824,0.4,0.442,0.015012,-3.10939132534
0.186688,0.4,0.286,0.015552,-3.10860592718
0.19104,0.388,0.416,0.016128,-3.10703513085
0.195392,0.396,0.442,0.016686,-3.10703513085
0.19968,0.449,0.52,0.017244,-3.10624973269
0.204032,0.433,0.572,0.017856,-3.10467893636
0.208384,0.322,0.598,0.018468,-3.10310814004
0.212736,0.356,0.442,0.019116,-3.10232274188
0.217024,0.299,0.234,0.019728,-3.10153734371
0.221376,0.167,0.338,0.020412,-3.09996654739
0.225728,0.046,0.182,0.02106,-3.09996654739
0.229952,0.224,0.104,0.021654,-3.09839575106
0.234304,0.344,0.052,0.022302,-3.09682495474
0.238528,0.482,0.416,0.022878,-3.09682495474
0.24288,0.412,0.312,0.023472,-3.09525415841
0.247232,0.497,0.416,0.024066,-3.09289796393
0.25152,0.37,0.416,0.024696,-3.09368336209
0.255872,0.381,0.286,0.025344,-3.09289796393
0.260224,0.264,0.312,0.026028,-3.08975637128
0.264576,0.307,0.104,0.026748,-3.09054176944
0.268864,0.379,0.364,0.027378,-3.09054176944
0.273216,0.285,0.416,0.028098,-3.08818557495
0.277568,0.264,0.234,0.0288,-3.08661477862
0.28192,0.365,0.078,0.029448,-3.08661477862
0.286144,0.416,0.338,0.030132,-3.08582938046
0.290496,0.536,0.26,0.030852,-3.08425858414
0.294784,0.52,0.65,0.031572,-3.08347318597
0.299136,0.449,0.546,0.032328,-3.08268778781
0.303488,0.316,0.39,0.03312,-3.08190238965
0.30784,0.317,0.338,0.033948,-3.08033159332
0.312128,0.418,0.312,0.034794,-3.078760797
0.31648,0.416,0.468,0.03564,-3.07954619516
0.320832,0.511,0.468,0.036486,-3.07719000067
0.325184,0.614,0.442,0.037422,-3.07561920435
0.329472,0.684,0.598,0.038358,-3.07561920435
0.333824,0.514,0.78,0.039312,-3.07326300986
0.338176,0.489,0.624,0.040392,-3.07169221354
0.342464,0.537,0.256,0.041436,-3.07090681538
0.346816,0.675,0.546,0.042552,-3.06855062089
0.351168,0.669,0.52,0.043722,-3.06697982456
0.35552,0.7,0.572,0.044928,-3.0661944264
0.359808,0.706,0.598,0.04617,-3.06383823191
0.36416,0.791,0.676,0.047502,-3.06226743559
0.368512,0.699,0.572,0.048888,-3.06069663926
0.372864,0.861,0.806,0.050364,-3.05755504661
0.377152,0.897,1.066,0.051894,-3.05598425029
0.381568,0.732,0.988,0.053568,-3.0536280558
0.38592,0.655,0.494,0.055296,-3.04970106499
0.390272,0.485,0.65,0.05706,-3.04813026866
0.394624,0.414,0.624,0.058896,-3.04577407418
0.398912,0.397,0.416,0.060768,-3.04184708336
0.403264,0.391,0.598,0.062658,-3.03949088888
0.407616,0.226,0.468,0.064584,-3.03792009255
0.411968,0.111,0.26,0.066474,-3.03399310174
0.416256,0.054,0.286,0.068364,-3.03085150909
0.420544,0.085,0.104,0.070218,-3.03006611093
0.424768,0.012,0.0,0.071982,-3.02535372195
0.428864,-0.077,0.13,0.073692,-3.02456832379
0.433216,-0.104,-0.234,0.075402,-3.02378292562
0.437696,0.022,-0.182,0.07713,-3.01985593481
0.442048,-0.074,0.156,0.078768,-3.01907053665
0.446336,-0.085,0.026,0.08028,-3.01828513849
0.450624,-0.019,-0.338,0.08172,-3.01514354584
0.45504,-0.036,-0.052,0.083196,-3.01514354584
0.459392,-0.007,-0.078,0.084492,-3.01514354584
0.463616,-0.093,-0.104,0.08577,-3.01278735135
0.468032,-0.09,0.156,0.087048,-3.01278735135
0.472384,-0.025,0.104,0.088128,-3.01357274951
0.476736,0.032,-0.256,0.089244,-3.01200195319
0.481024,0.207,0.026,0.090306,-3.01200195319
0.485312,0.118,0.234,0.091206,-3.01357274951
0.4896,-0.051,0.156,0.092142,-3.01278735135
0.493952,0.01,0.026,0.09306,-3.01278735135
0.498112,0.021,-0.026,0.093852,-3.01435814768
0.5024,0.151,0.13,0.094626,-3.01514354584
0.506688,0.15,-0.026,0.095418,-3.015928944
0.51104,0.147,0.26,0.096138,-3.01671434216
0.515392,0.048,0.156,0.09684,-3.01907053665
0.519616,0.103,-0.026,0.097506,-3.01907053665
0.523968,0.08,0.26,0.098154,-3.02064133297
0.528192,0.085,0.104,0.098748,-3.02299752746
0.53248,0.194,0.0,0.099306,-3.02456832379
0.53664,0.147,0.104,0.099828,-3.02535372195
0.540992,0.088,0.208,0.10035,-3.0284953146
0.54528,0.101,0.156,0.1008,-3.03085150909
0.549696,0.4,0.026,0.101304,-3.03163690725
0.554048,0.4,0.156,0.101754,-3.03399310174
0.558464,0.4,0.26,0.102204,-3.03713469439
0.56288,0.4,0.234,0.10269,-3.03870549071
0.567296,0.4,0.156,0.103212,-3.0410616852
0.571776,0.4,0.442,0.103698,-3.04420327785
0.576192,0.4,0.182,0.104256,-3.04577407418
0.580608,0.4,0.364,0.10485,-3.0473448705
0.585024,0.118,0.338,0.10539,-3.05127186131
0.58944,-0.017,0.104,0.106002,-3.05284265764
0.593856,-0.009,0.182,0.10656,-3.05441345396
0.598208,-0.057,-0.182,0.1071,-3.05834044478
0.602688,0.005,0.026,0.107586,-3.06148203743
0.606848,0.027,0.156,0.107964,-3.06305283375
0.6112,0.4,0.104,0.108342,-3.0661944264
0.615616,0.4,0.442,0.108648,-3.07012141721
0.620032,0.4,0.416,0.10899,-3.07169221354
0.624448,0.4,0.0,0.10935,-3.07561920435
0.628672,0.4,0.312,0.109656,-3.07954619516
0.633152,0.4,0.286,0.11007,-3.08190238965
0.637568,0.4,0.234,0.110502,-3.08425858414
0.641984,0.4,0.52,0.11097,-3.08818557495
0.6464,0.4,0.364,0.111438,-3.0913271676
0.650816,0.4,0.208,0.111924,-3.09368336209
0.655232,0.4,0.52,0.1125,-3.09603955658
0.659648,0.4,0.39,0.11304,-3.09918114923
0.664064,0.4,0.338,0.11358,-3.10310814004
