time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,400,26,0,-180000
10624,400,286,0,-180000
14528,400,416,36,-179955
18496,400,104,90,-179955
22528,400,572,180,-179955
26560,400,286,342,-179955
30656,400,442,522,-179910
34688,400,286,756,-179910
38784,400,416,1044,-179865
42944,400,256,1332,-179820
47104,400,286,1656,-179775
51264,400,598,2016,-179775
55424,400,390,2358,-179730
59584,400,364,2718,-179640
63680,400,442,3132,-179595
67840,400,494,3546,-179550
72000,400,314,3960,-179505
76160,400,546,4446,-179415
80320,400,208,4914,-179325
84480,400,260,5418,-179325
88640,400,520,5940,-179280
92800,26,256,6480,-179100
96896,-122,0,7020,-179055
100928,56,-130,7452,-179145
105216,400,104,7920,-179010
109440,400,312,8406,-178830
113664,400,364,8766,-178875
117952,400,390,9144,-178875
122176,400,338,9612,-178695
126464,400,364,10044,-178695
130752,400,208,10494,-178695
135104,400,364,10980,-178605
139456,400,468,11466,-178560
143808,400,312,11970,-178515
148096,400,520,12492,-178380
152448,400,390,13032,-178380
156800,400,364,13500,-178380
161152,400,468,14076,-178245
165440,210,416,14670,-178200
169792,48,260,15138,-178200
174016,48,-26,15714,-178110
178304,64,78,16254,-177975
182464,222,-78,16650,-178020
186816,400,156,17082,-178020
191104,400,364,17514,-177885
195456,400,104,17910,-177885
199808,449,416,18324,-177885
204160,433,416,18774,-177795
208448,400,598,19206,-177795
212800,400,546,19710,-177705
217152,400,494,20232,-177660
221504,400,256,20736,-177660
225792,400,416,21276,-177570
230144,224,468,21852,-177525
234496,344,182,22392,-177525
238784,482,416,22896,-177480
243136,412,390,23490,-177390
247488,497,676,24066,-177345
251840,370,520,24624,-177345
256128,381,468,25236,-177300
260480,264,390,25848,-177210
264832,307,364,26496,-177165
269184,379,256,27090,-177165
273472,285,78,27702,-177075
277760,264,338,28350,-176985
282048,365,494,28962,-176985
286400,416,364,29592,-176985
290752,536,260,30258,-176895
295104,520,390,30924,-176850
299392,449,728,31644,-176850
303744,316,468,32364,-176715
308096,317,234,33138,-176670
312448,418,364,33912,-176670
316736,416,364,34704,-176625
321088,511,468,35532,-176490
325440,614,520,36360,-176490
329728,684,572,37188,-176400
334080,514,468,38142,-176310
338432,489,468,39096,-176265
342784,537,468,40068,-176265
347072,675,572,41148,-176085
351424,669,650,42246,-175995
355776,700,780,43362,-175995
360064,706,754,44586,-175860
364416,791,780,45882,-175725
368768,699,702,47214,-175635
