time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,0.026,0.0,-3.14159265
0.010624,0.4,0.286,0.0,-3.14159265
0.014528,0.4,0.416,3.6e-05,-3.14080725184
0.018496,0.4,0.104,9e-05,-3.14080725184
0.022528,0.4,0.572,0.00018,-3.14080725184
0.02656,0.4,0.286,0.000342,-3.14080725184
0.030656,0.4,0.442,0.000522,-3.14002185367
0.034688,0.4,0.286,0.000756,-3.14002185367
0.038784,0.4,0.416,0.001044,-3.13923645551
0.042944,0.4,0.256,0.001332,-3.13845105735
0.047104,0.4,0.286,0.001656,-3.13766565919
0.051264,0.4,0.598,0.002016,-3.13766565919
0.055424,0.4,0.39,0.002358,-3.13688026102
0.059584,0.4,0.364,0.002718,-3.1353094647
0.06368,0.4,0.442,0.003132,-3.13452406654
0.06784,0.4,0.494,0.003546,-3.13373866837
0.072,0.4,0.314,0.00396,-3.13295327021
0.07616,0.4,0.546,0.004446,-3.13138247389
0.08032,0.4,0.208,0.004914,-3.12981167756
0.08448,0.4,0.26,0.005418,-3.12981167756
0.08864,0.4,0.52,0.00594,-3.1290262794
0.0928,0.026,0.256,0.00648,-3.12588468675
0.096896,-0.122,0.0,0.00702,-3.12509928859
0.100928,0.056,-0.13,0.007452,-3.12667008491
0.105216,0.4,0.104,0.00792,-3.12431389043
0.10944,0.4,0.312,0.008406,-3.12117229778
0.113664,0.4,0.364,0.008766,-3.12195769594
0.117952,0.4,0.39,0.009144,-3.12195769594
0.122176,0.4,0.338,0.009612,-3.11881610329
0.126464,0.4,0.364,0.010044,-3.11881610329
0.130752,0.4,0.208,0.010494,-3.11881610329
0.135104,0.4,0.364,0.01098,-3.11724530696
0.139456,0.4,0.468,0.011466,-3.1164599088
0.143808,0.4,0.312,0.01197,-3.11567451064
0.148096,0.4,0.52,0.012492,-3.11331831615
0.152448,0.4,0.39,0.013032,-3.11331831615
0.1568,0.4,0.364,0.0135,-3.11331831615
0.161152,0.4,0.468,0.014076,-3.11096212166
0.16544,0.21,0.416,0.01467,-3.1101767235
0.169792,0.048,0.26,0.015138,-3.1101767235
0.174016,0.048,-0.026,0.015714,-3.10860592718
0.178304,0.064,0.078,0.016254,-3.10624973269
0.182464,0.222,-0.078,0.01665,-3.10703513085
0.186816,0.4,0.156,0.017082,-3.10703513085
0.191104,0.4,0.364,0.017514,-3.10467893636
0.195456,0.4,0.104,0.01791,-3.10467893636
0.199808,0.449,0.416,0.018324,-3.10467893636
0.20416,0.433,0.416,0.018774,-3.10310814004
0.208448,0.4,0.598,0.019206,-3.10310814004
0.2128,0.4,0.546,0.01971,-3.10153734371
0.217152,0.4,0.494,0.020232,-3.10075194555
0.221504,0.4,0.256,0.020736,-3.10075194555
0.225792,0.4,0.416,0.021276,-3.09918114923
0.230144,0.224,0.468,0.021852,-3.09839575106
0.234496,0.344,0.182,0.022392,-3.09839575106
0.238784,0.482,0.416,0.022896,-3.0976103529
0.243136,0.412,0.39,0.02349,-3.09603955658
0.247488,0.497,0.676,0.024066,-3.09525415841
0.25184,0.37,0.52,0.024624,-3.09525415841
0.256128,0.381,0.468,0.025236,-3.09446876025
0.26048,0.264,0.39,0.025848,-3.09289796393
0.264832,0.307,0.364,0.026496,-3.09211256576
0.269184,0.379,0.256,0.02709,-3.09211256576
0.273472,0.285,0.078,0.027702,-3.09054176944
0.27776,0.264,0.338,0.02835,-3.08897097311
0.282048,0.365,0.494,0.028962,-3.08897097311
0.2864,0.416,0.364,0.029592,-3.08897097311
0.290752,0.536,0.26,0.030258,-3.08740017679
0.295104,0.52,0.39,0.030924,-3.08661477862
0.299392,0.449,0.728,0.031644,-3.08661477862
0.303744,0.316,0.468,0.032364,-3.08425858414
0.308096,0.317,0.234,0.033138,-3.08347318597
0.312448,0.418,0.364,0.033912,-3.08347318597
0.316736,0.416,0.364,0.034704,-3.08268778781
0.321088,0.511,0.468,0.035532,-3.08033159332
0.32544,0.614,0.52,0.03636,-3.08033159332
0.329728,0.684,0.572,0.037188,-3.078760797
0.33408,0.514,0.468,0.038142,-3.07719000067
0.338432,0.489,0.468,0.039096,-3.07640460251
0.342784,0.537,0.468,0.040068,-3.07640460251
0.347072,0.675,0.572,0.041148,-3.07326300986
0.351424,0.669,0.65,0.042246,-3.07169221354
0.355776,0.7,0.78,0.043362,-3.07169221354
0.360064,0.706,0.754,0.044586,-3.06933601905
0.364416,0.791,0.78,0.045882,-3.06697982456
0.368768,0.699,0.702,0.047214,-3.06540902824
0.37312,0.861,0.728,0.048636,-3.06383823191
0.377408,0.897,0.832,0.050112,-3.06148203743
0.38176,0.732,0.858,0.051696,-3.05912584294
0.386112,0.655,0.598,0.053352,-3.05598425029
0.390464,0.485,0.806,0.05508,-3.05441345396
0.394752,0.414,0.546,0.056826,-3.05205725948
0.399104,0.397,0.572,0.058626,-3.04813026866
0.403456,0.391,0.338,0.060462,-3.04655947234
0.407808,0.226,0.494,0.062262,-3.04498867601
0.412096,0.111,0.416,0.064062,-3.04027628704
0.416448,0.054,0.13,0.065934,-3.03870549071
0.420736,0.085,0.104,0.067608,-3.03713469439
0.42496,0.012,0.078,0.069282,-3.03320770358
0.42912,-0.077,0.182,0.070956,-3.03163690725
0.433472,-0.104,-0.104,0.07254,-3.03085150909
0.437952,0.022,-0.052,0.074142,-3.0284953146
0.442176,-0.074,-0.182,0.075636,-3.02613912011
0.446656,-0.085,0.104,0.077058,-3.02613912011
0.450944,-0.019,0.0,0.07839,-3.02535372195
0.455104,-0.036,0.0,0.07965,-3.02378292562
0.459264,-0.007,0.156,0.080802,-3.02299752746
0.463552,-0.093,0.13,0.081918,-3.02378292562
0.467904,-0.09,0.0,0.083052,-3.0222121293
0.472064,-0.025,-0.052,0.084006,-3.0222121293
0.476352,0.032,-0.104,0.084942,-3.02299752746
0.480704,0.207,-0.256,0.085824,-3.02299752746
0.48512,0.118,0.156,0.086652,-3.02299752746
0.489472,-0.051,-0.026,0.087426,-3.02456832379
0.493824,0.01,-0.078,0.088128,-3.02535372195
0.498048,0.021,0.156,0.088776,-3.02535372195
0.502272,0.151,0.0,0.089406,-3.02692451827
0.506496,0.15,0.0,0.089946,-3.02770991644
0.510656,0.147,0.182,0.090468,-3.02928071276
0.514944,0.048,0.208,0.09099,-3.03085150909
0.519232,0.103,0.052,0.091458,-3.03320770358
0.523456,0.4,-0.026,0.091908,-3.0347784999
0.527808,0.4,0.234,0.092412,-3.03556389806
0.53216,0.4,0.624,0.09288,-3.03792009255
0.536448,0.4,0.364,0.09333,-3.03949088888
