time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7744,1000,52,0,-180000
11328,1000,312,0,-180000
15104,1000,806,90,-179955
18944,1000,1144,252,-179910
22976,1000,768,504,-179910
26880,1000,858,864,-179865
30848,1000,988,1332,-179775
34816,1000,1040,1908,-179685
38976,1000,768,2610,-179640
42944,1000,988,3420,-179460
46976,1000,1092,4302,-179370
51072,1000,936,5310,-179235
55104,1000,832,6390,-179100
59136,1000,1066,7560,-179010
63232,1000,676,8838,-178785
67264,1000,1014,10224,-178605
71424,1000,910,11718,-178470
75584,1000,1066,13284,-178200
79744,1000,910,14976,-177930
83840,1000,858,16722,-177750
87936,1000,988,18540,-177570
92032,1000,884,20466,-177255
96192,1000,1040,22500,-176985
100352,1000,650,24606,-176805
104576,1000,962,26856,-176445
108736,1000,1066,29196,-176130
113024,1000,1014,31626,-175860
117312,1000,702,34200,-175500
121536,1000,702,36810,-175185
125696,1000,936,39492,-174870
129920,1000,910,42264,-174555
134144,1000,1040,45162,-174150
138432,1000,936,48186,-173790
142592,1000,1014,51228,-173430
146880,1000,936,54450,-173025
151104,1000,884,57708,-172620
155264,1000,1040,61002,-172170
159552,1000,728,64494,-171855
163776,1000,1092,68004,-171405
168064,1000,1144,71640,-170955
172352,1000,1144,75384,-170550
176640,1000,806,79200,-170055
180800,1000,884,83034,-169605
185024,1000,832,86940,-169110
189248,1000,1248,90936,-168705
193536,1000,1040,95094,-168210
197824,1000,1144,99324,-167760
202112,1000,754,103680,-167130
206336,1000,702,108108,-166770
210624,1000,988,112608,-166320
214912,1000,962,117198,-165780
219200,1000,728,121878,-165240
223488,1000,598,126612,-164745
227776,1000,780,131454,-164205
232064,1000,988,136368,-163575
236352,1000,754,141336,-163170
240640,1000,858,146412,-162675
244928,1000,936,151560,-162000
249216,1000,572,156744,-161595
253504,1000,1014,162036,-161055
257856,1000,1196,167508,-160470
262272,-1000,1144,173052,-159930
266688,-1000,-390,178650,-159435
271168,-1000,-676,184086,-158985
275584,-1000,-1066,189396,-158490
