time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7744,1000,78,0,-180000
11328,1000,650,0,-180000
15104,1000,494,108,-179910
19008,1000,832,252,-179910
22976,1000,768,504,-179910
26880,1000,1092,864,-179820
30912,1000,650,1350,-179775
34944,1000,1014,1926,-179730
39040,1000,962,2628,-179640
43072,1000,1170,3402,-179550
47168,1000,1196,4338,-179415
51264,1000,702,5328,-179280
55296,1000,832,6426,-179100
59328,1000,858,7614,-178965
63296,1000,1024,8874,-178830
67456,1000,780,10278,-178650
71552,1000,520,11772,-178335
75648,1000,988,13338,-178245
79744,1000,858,15012,-178020
83840,1000,910,16758,-177750
87936,1000,1144,18630,-177525
92160,1000,768,20610,-177300
96256,1000,1040,22644,-176985
100416,1000,598,24840,-176625
104640,1000,884,27108,-176490
108864,1000,768,29502,-176175
113024,1000,988,31986,-175815
117248,1000,988,34560,-175455
121408,1000,1014,37224,-175230
125696,1000,676,40050,-174825
129920,1000,1092,42930,-174465
134208,1000,780,45954,-174105
138432,1000,650,49014,-173655
142592,1000,1024,52164,-173295
146880,1000,754,55476,-172845
151104,1000,1014,58824,-172530
155392,1000,910,62316,-172080
159552,1000,1170,65844,-171630
163840,1000,962,69516,-171270
168064,1000,936,73206,-170820
172224,1000,1024,77004,-170280
176512,1000,780,80928,-169875
180736,1000,1118,84888,-169425
185024,1000,832,89046,-168885
189248,1000,780,93150,-168480
193408,1000,806,97362,-167985
197632,1000,1196,101682,-167445
201984,1000,858,106218,-166905
206272,1000,1222,110754,-166455
210624,1000,1196,115506,-165870
215040,1000,884,120294,-165375
219328,1000,884,125064,-164880
223616,1000,962,129942,-164295
227904,1000,1144,134892,-163755
232256,1000,1066,140040,-163170
236608,1000,936,145260,-162720
240896,1000,1040,150462,-162180
245248,1000,806,155844,-161685
249536,1000,936,161226,-160965
253824,1000,650,166662,-160515
258112,-1000,962,172170,-159975
262464,-1000,-234,177768,-159480
266944,-1000,-598,183312,-158940
271424,-1000,-624,188730,-158490
275840,-1000,-702,193860,-157995
280320,-1000,-1040,198756,-157545
284864,-1000,-884,203472,-157230
289280,-1000,-728,207846,-156780
293760,-1000,-858,211968,-156510
298240,-1000,-1092,215820,-156285
302784,-1000,-884,219492,-156015
307200,-1000,-754,222876,-155880
311680,-1000,-806,225972,-155790
316096,-1000,-884,228816,-155655
320576,-1000,-1024,231426,-155610
325120,-1000,-702,233784,-155610
329536,-1000,-1024,235872,-155610
334080,-1000,-988,237708,-155655
338560,-1000,-988,239220,-155835
343040,-1000,-754,240516,-155970
347456,-1000,-754,241560,-156150
351936,-1000,-676,242334,-156465
356352,-1000,-728,242856,-156690
360832,-1000,-780,243144,-156960
365312,-1000,-806,243216,-157320
369728,-1000,-1144,243072,-157725
374272,-1000,-884,242712,-158130
378752,-1000,-988,242172,-158625
383168,-1000,-988,241470,-159075
387648,-1000,-884,240552,-159615
392128,-1000,-780,239472,-160200
396544,-1000,-806,238230,-160740
401024,-1000,-936,236826,-161505
405440,-1000,-754,235224,-162135
409920,-1000,-806,233496,-162675
414336,-1000,-1092,231588,-163350
418880,-1000,-1014,229464,-164295
423424,-1000,-1014,227196,-164880
427968,-1000,-1024,224748,-165645
432512,-1000,-832,222156,-166500
436992,-1000,-1118,219402,-167400
441536,-1000,-806,216504,-168165
445952,-1000,-702,213426,-169155
450432,-1000,-936,210240,-170190
454912,-1000,-988,206910,-170865
459328,-1000,-832,203400,-171900
463808,-1000,-650,199764,-172890
468224,-1000,-1024,195966,-173880
472768,-1000,-1066,191934,-174915
477312,-1000,-962,187740,-176040
481792,-1000,-832,183474,-177030
486208,-1000,-676,179064,-178110
490688,-1000,-936,174474,-179280
495168,-1000,-702,169776,-180360
499584,-1000,-806,164898,-181530
504064,-1000,-624,159840,-182745
508544,1000,-1024,154656,-183915
512960,1000,156,149508,-185040
517248,1000,768,144612,-186120
521536,1000,702,139878,-187425
525824,1000,780,135414,-188325
530112,1000,858,131130,-189405
534400,1000,936,127170,-190350
538688,1000,884,123426,-191520
542976,1000,728,119898,-192240
547264,1000,728,116604,-193320
551552,1000,624,113562,-194040
555840,1000,754,110754,-194940
560128,1000,728,108162,-195660
564416,1000,936,105804,-196425
568704,1000,910,103680,-197280
572928,1000,962,101772,-197820
577216,1000,768,100116,-198405
581504,1000,1118,98658,-199170
585792,1000,1014,97452,-199620
590080,1000,832,96480,-200205
594304,1000,936,95688,-200655
598528,1000,1040,95130,-201195
602752,1000,780,94752,-201555
606976,1000,988,94608,-202005
611200,1000,728,94608,-202320
615360,1000,1024,94788,-202680
619648,1000,512,95166,-202905
623872,1000,832,95652,-203220
628096,1000,676,96264,-203535
632256,1000,832,97020,-203715
636480,1000,728,97902,-203985
640640,1000,624,98892,-204120
644864,1000,910,100062,-204255
649152,1000,806,101340,-204435
653440,1000,832,102762,-204480
657728,1000,1040,104292,-204570
662080,1000,768,105984,-204660
666368,1000,702,107748,-204660
670656,1000,1196,109656,-204660
675008,1000,780,111672,-204705
679296,1000,1066,113796,-204615
683712,1000,962,116100,-204525
688000,1000,1092,118440,-204525
692352,1000,832,120978,-204390
696640,1000,1040,123570,-204165
700992,1000,728,126342,-204075
705280,1000,1092,129150,-203940
709632,1000,858,132174,-203670
713920,1000,754,135234,-203445
718208,1000,1144,138402,-203265
722624,1000,780,141768,-202905
726848,1000,780,145170,-202545
731136,1000,1066,148680,-202365
735552,1000,962,152388,-201960
739840,1000,754,156132,-201555
744128,1000,936,159966,-201195
748416,1000,1170,163926,-200835
752768,1000,806,168084,-200295
757056,1000,1170,172278,-199800
761408,-1000,1092,176634,-199395
765888,-1000,-182,181116,-198855
770304,-1000,-910,185418,-198450
774784,-1000,-910,189612,-198000
779264,-1000,-1040,193572,-197460
783744,-1000,-598,197352,-197010
788224,-1000,-728,200826,-196605
792704,-1000,-988,204120,-196200
797120,-1000,-832,207144,-195840
801600,-1000,-910,209916,-195570
806016,-1000,-702,212508,-195210
810496,-1000,-1280,214848,-194895
815040,-1000,-650,216990,-194580
819520,-1000,-910,218862,-194265
823936,-1000,-988,220500,-194085
828416,-1000,-806,221886,-193860
832832,-1000,-910,223056,-193680
837312,-1000,-884,224010,-193455
841792,-1000,-988,224730,-193365
846208,-1000,-936,225216,-193230
850688,-1000,-702,225486,-193140
855168,-1000,-702,225540,-193050
859584,-1000,-936,225414,-192960
864064,-1000,-702,225090,-192915
868480,-1000,-832,224604,-192870
872960,-1000,-988,223956,-192825
877440,-1000,-806,223164,-192915
881856,-1000,-936,222228,-192915
886336,-1000,-910,221148,-192870
890752,-1000,-1280,219906,-192960
895296,-1000,-1014,218484,-193050
899840,-1000,-1144,216918,-193050
904384,-1000,-936,215190,-193140
908864,-1000,-754,213354,-193230
913280,-1000,-936,211410,-193320
917760,-1000,-650,209304,-193500
922240,-1000,-832,207072,-193590
926656,-1000,-572,204696,-193770
931136,-1000,-1024,202194,-193905
935680,-1000,-858,199512,-194040
940096,-1000,-936,196740,-194220
944576,-1000,-884,193842,-194400
949056,-1000,-754,190800,-194625
953472,-1000,-936,187650,-194760
957952,-1000,-728,184338,-194985
962368,-1000,-1144,180882,-195255
966912,-1000,-936,177246,-195480
971392,-1000,-1280,173538,-195750
975936,-1000,-754,169596,-195975
980416,-1000,-572,165618,-196200
984832,-1000,-754,161478,-196515
989312,-1000,-1092,157230,-196830
993856,-1000,-936,152784,-197190
998272,-1000,-858,148248,-197370
1002752,-1000,-1014,143586,-197685
1007360,1000,-1118,138618,-198045
1011904,1000,260,133740,-198315
1016320,1000,598,129168,-198540
1020672,1000,1014,124722,-198855
1025152,1000,832,120510,-199035
1029504,1000,754,116586,-199170
1033920,1000,624,112932,-199350
1038272,1000,702,109512,-199440
1042688,1000,936,106290,-199530
1047040,1000,780,103374,-199575
1051456,1000,806,100620,-199575
1055808,1000,910,98154,-199485
1060096,1000,884,95940,-199350
1064384,1000,780,93942,-199350
1068672,1000,676,92178,-199125
1072960,1000,936,90648,-198900
1077312,1000,754,89298,-198765
1081600,1000,728,88218,-198405
1085888,1000,768,87354,-198135
1090176,1000,1144,86688,-197865
1094528,1000,1014,86310,-197415
1098944,1000,676,86040,-197010
1103232,1000,858,86004,-196650
1107520,1000,806,86184,-196110
1111808,1000,936,86490,-195615
1116096,1000,988,86958,-195165
1120384,1000,624,87498,-194625
1124672,1000,936,88254,-193950
1128960,1000,1040,89136,-193455
1133376,1000,1066,90126,-192870
1137728,1000,910,91332,-192150
1142016,1000,832,92574,-191565
1146304,1000,988,93978,-190845
1150656,1000,1118,95526,-190080
1155008,1000,962,97164,-189495
1159296,1000,1040,98964,-188550
1163648,1000,1092,100926,-187740
1168128,1000,754,102978,-187155
1172544,1000,858,105192,-186300
1176896,1000,832,107496,-185400
1181248,1000,624,109890,-184635
1185664,1000,832,112446,-183690
1190016,1000,1040,115092,-182790
1194496,1000,1040,117900,-182025
1198976,1000,1040,120816,-181080
1203456,1000,754,123858,-180045
1207808,1000,768,126936,-179010
1212160,1000,1014,130104,-178020
1216640,1000,1066,133488,-177165
1221120,1000,884,136926,-176040
1225472,1000,1066,140418,-175275
1229952,1000,1144,144108,-174150
1234432,1000,1196,147852,-173205
1238912,1000,768,151722,-172125
