time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007744,1.0,-0.13,0.0,-3.14159265
0.01152,1.0,-0.156,0.0,-3.14159265
0.01536,1.0,0.13,0.0,-3.14159265
0.019136,1.0,0.052,0.0,-3.14159265
0.022784,1.0,-0.182,0.0,-3.14159265
0.026624,1.0,0.0,0.0,-3.14159265
0.030208,1.0,0.052,1.8e-05,-3.14080725184
0.033984,1.0,0.312,5.4e-05,-3.14080725184
0.037824,1.0,0.364,0.000108,-3.14080725184
0.041792,1.0,0.364,0.000216,-3.14080725184
0.045696,1.0,0.416,0.000324,-3.14080725184
0.049664,1.0,0.512,0.000486,-3.14002185367
0.053568,1.0,0.468,0.000684,-3.14002185367
0.057536,1.0,0.364,0.0009,-3.13923645551
0.06144,1.0,0.546,0.00117,-3.13845105735
0.065472,1.0,0.546,0.001512,-3.13766565919
0.069504,1.0,0.546,0.001872,-3.13688026102
0.073536,1.0,0.754,0.002286,-3.13688026102
0.077568,1.0,0.65,0.00279,-3.13452406654
0.081536,1.0,0.468,0.003312,-3.13373866837
0.085568,1.0,0.676,0.00387,-3.13373866837
0.0896,1.0,0.728,0.0045,-3.13138247389
0.093632,1.0,0.468,0.005184,-3.1290262794
0.097664,1.0,0.728,0.005904,-3.12824088124
0.101632,1.0,0.52,0.006678,-3.12667008491
0.105792,1.0,0.52,0.007506,-3.12431389043
0.109888,1.0,0.768,0.008406,-3.1227430941
0.113984,1.0,0.754,0.009342,-3.12117229778
0.118144,1.0,0.572,0.010332,-3.11803070513
0.122304,1.0,0.702,0.011394,-3.11567451064
0.126528,1.0,0.702,0.012492,-3.11410371431
0.130752,1.0,0.728,0.013698,-3.11096212166
0.134912,1.0,0.78,0.014886,-3.10782052901
0.139136,1.0,0.494,0.016146,-3.10467893636
0.143296,1.0,0.702,0.017478,-3.10232274188
0.14752,1.0,0.364,0.018828,-3.09918114923
0.151744,1.0,0.512,0.02025,-3.09682495474
0.155904,1.0,0.546,0.021726,-3.09289796393
0.160128,1.0,0.598,0.02322,-3.08975637128
0.164288,1.0,0.78,0.024786,-3.08582938046
0.168512,1.0,0.546,0.026406,-3.08268778781
0.172736,1.0,0.728,0.028098,-3.078760797
0.176896,1.0,0.676,0.02979,-3.07640460251
0.18112,1.0,0.256,0.031554,-3.0724776117
0.185344,1.0,0.728,0.033426,-3.06697982456
0.189504,1.0,0.572,0.035298,-3.06462363008
0.193728,1.0,0.728,0.037206,-3.06148203743
0.197888,1.0,0.512,0.039222,-3.05519885213
0.202112,1.0,0.728,0.041274,-3.05205725948
0.206336,1.0,0.858,0.043344,-3.04813026866
0.210496,1.0,0.676,0.045504,-3.04263248153
0.21472,1.0,0.936,0.0477,-3.03870549071
0.218944,1.0,0.65,0.049986,-3.0347784999
0.223104,1.0,0.572,0.052326,-3.0284953146
0.227328,1.0,0.768,0.054666,-3.02456832379
0.231488,1.0,0.806,0.057096,-3.01985593481
0.235712,1.0,0.728,0.05958,-3.01435814768
0.239936,1.0,0.65,0.0621,-3.00886036054
0.244096,1.0,0.512,0.064656,-3.00493336973
0.24832,1.0,0.884,0.067266,-3.00022098075
0.25248,1.0,0.598,0.06993,-2.99550859178
0.256704,1.0,0.624,0.072648,-2.99001080464
0.260928,-1.0,0.624,0.075402,-2.98529841566
0.265216,-1.0,0.624,0.078246,-2.97901523036
0.269504,-1.0,0.364,0.081108,-2.97508823955
0.273792,-1.0,0.156,0.083934,-2.96880505425
0.278016,-1.0,0.0,0.08676,-2.96409266527
0.282176,-1.0,-0.026,0.089424,-2.9593802763
0.286464,-1.0,-0.026,0.092088,-2.95545328549
0.290752,-1.0,-0.234,0.094716,-2.95074089651
0.295104,-1.0,-0.052,0.097362,-2.94602850754
0.299392,-1.0,0.13,0.09981,-2.94367231305
0.30368,-1.0,-0.104,0.102204,-2.93895992408
0.308096,-1.0,-0.026,0.104598,-2.93581833143
0.312512,-1.0,-0.364,0.106848,-2.93267673878
0.316928,-1.0,-0.312,0.109008,-2.93032054429
0.321408,-1.0,-0.078,0.111096,-2.9279643498
0.32576,-1.0,-0.208,0.113004,-2.92560815531
0.33024,-1.0,-0.13,0.114804,-2.92403735899
0.334656,-1.0,-0.234,0.116568,-2.9216811645
0.339136,-1.0,-0.512,0.118098,-2.9216811645
0.343616,-1.0,-0.364,0.119556,-2.9216811645
0.348032,-1.0,-0.468,0.120888,-2.92011036818
0.352512,-1.0,-0.468,0.122058,-2.92089576634
0.356928,-1.0,-0.39,0.123138,-2.9216811645
0.361408,-1.0,-0.26,0.124074,-2.9216811645
0.365888,-1.0,-0.364,0.124866,-2.92325196083
0.370304,-1.0,-0.416,0.125514,-2.92639355348
0.374784,-1.0,-0.182,0.126054,-2.92717895164
0.3792,-1.0,-0.156,0.126414,-2.93032054429
0.38368,-1.0,-0.182,0.126684,-2.93346213694
0.38816,-1.0,-0.364,0.126882,-2.93581833143
0.392576,-1.0,-0.312,0.126954,-2.93974532224
0.397056,-1.0,-0.26,0.126936,-2.94524310938
0.401472,-1.0,-0.234,0.126864,-2.9468139057
0.405952,-1.0,-0.286,0.126702,-2.95152629468
0.410432,-1.0,-0.52,0.126432,-2.95780947997
0.414848,-1.0,-0.624,0.126126,-2.96252186895
0.419328,-1.0,-0.512,0.12573,-2.96801965609
0.423744,-1.0,-0.26,0.125226,-2.97351744323
0.428224,-1.0,-0.494,0.124686,-2.97744443404
0.432704,-1.0,-0.702,0.124038,-2.98372761934
