time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007744,1.0,0.052,0.0,-3.14159265
0.011328,1.0,0.312,0.0,-3.14159265
0.015104,1.0,0.806,9e-05,-3.14080725184
0.018944,1.0,1.144,0.000252,-3.14002185367
0.022976,1.0,0.768,0.000504,-3.14002185367
0.02688,1.0,0.858,0.000864,-3.13923645551
0.030848,1.0,0.988,0.001332,-3.13766565919
0.034816,1.0,1.04,0.001908,-3.13609486286
0.038976,1.0,0.768,0.00261,-3.1353094647
0.042944,1.0,0.988,0.00342,-3.13216787205
0.046976,1.0,1.092,0.004302,-3.13059707572
0.051072,1.0,0.936,0.00531,-3.12824088124
0.055104,1.0,0.832,0.00639,-3.12588468675
0.059136,1.0,1.066,0.00756,-3.12431389043
0.063232,1.0,0.676,0.008838,-3.12038689961
0.067264,1.0,1.014,0.010224,-3.11724530696
0.071424,1.0,0.91,0.011718,-3.11488911248
0.075584,1.0,1.066,0.013284,-3.1101767235
0.079744,1.0,0.91,0.014976,-3.10546433453
0.08384,1.0,0.858,0.016722,-3.10232274188
0.087936,1.0,0.988,0.01854,-3.09918114923
0.092032,1.0,0.884,0.020466,-3.09368336209
0.096192,1.0,1.04,0.0225,-3.08897097311
0.100352,1.0,0.65,0.024606,-3.08582938046
0.104576,1.0,0.962,0.026856,-3.07954619516
0.108736,1.0,1.066,0.029196,-3.07404840802
0.113024,1.0,1.014,0.031626,-3.06933601905
0.117312,1.0,0.702,0.0342,-3.06305283375
0.121536,1.0,0.702,0.03681,-3.05755504661
0.125696,1.0,0.936,0.039492,-3.05205725948
0.12992,1.0,0.91,0.042264,-3.04655947234
0.134144,1.0,1.04,0.045162,-3.03949088888
0.138432,1.0,0.936,0.048186,-3.03320770358
0.142592,1.0,1.014,0.051228,-3.02692451827
0.14688,1.0,0.936,0.05445,-3.01985593481
0.151104,1.0,0.884,0.057708,-3.01278735135
0.155264,1.0,1.04,0.061002,-3.00493336973
0.159552,1.0,0.728,0.064494,-2.99943558259
0.163776,1.0,1.092,0.068004,-2.99158160096
0.168064,1.0,1.144,0.07164,-2.98372761934
0.172352,1.0,1.144,0.075384,-2.97665903588
0.17664,1.0,0.806,0.0792,-2.96801965609
0.1808,1.0,0.884,0.083034,-2.96016567446
0.185024,1.0,0.832,0.08694,-2.95152629468
0.189248,1.0,1.248,0.090936,-2.94445771121
0.193536,1.0,1.04,0.095094,-2.93581833143
0.197824,1.0,1.144,0.099324,-2.9279643498
0.202112,1.0,0.754,0.10368,-2.91696877553
0.206336,1.0,0.702,0.108108,-2.91068559022
0.210624,1.0,0.988,0.112608,-2.9028316086
0.214912,1.0,0.962,0.117198,-2.89340683065
0.2192,1.0,0.728,0.121878,-2.8839820527
0.223488,1.0,0.598,0.126612,-2.87534267291
0.227776,1.0,0.78,0.131454,-2.86591789496
0.232064,1.0,0.988,0.136368,-2.85492232069
0.236352,1.0,0.754,0.141336,-2.84785373722
0.24064,1.0,0.858,0.146412,-2.83921435744
0.244928,1.0,0.936,0.15156,-2.827433385
0.249216,1.0,0.572,0.156744,-2.82036480154
0.253504,1.0,1.014,0.162036,-2.81094002359
0.257856,1.0,1.196,0.167508,-2.80072984747
0.262272,-1.0,1.144,0.173052,-2.79130506952
0.266688,-1.0,-0.39,0.17865,-2.78266568974
0.271168,-1.0,-0.676,0.184086,-2.77481170811
0.275584,-1.0,-1.066,0.189396,-2.76617232833
0.280128,-1.0,-0.988,0.194526,-2.7583183467
0.284608,-1.0,-0.806,0.199278,-2.75124976324
0.289024,-1.0,-0.962,0.203814,-2.74496657794
0.293504,-1.0,-0.936,0.20808,-2.73868339264
