time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7744,1000,208,0,-180000
11392,1000,624,54,-180000
15232,1000,832,216,-179910
19200,1000,1092,396,-179910
23232,1000,910,738,-179910
27136,1000,1092,1206,-179820
31232,1000,1144,1782,-179730
35328,1000,806,2502,-179685
39360,1000,754,3294,-179595
43392,1000,988,4230,-179415
47424,1000,1092,5238,-179325
51520,1000,858,6390,-179190
55552,1000,910,7632,-179010
59584,1000,1014,8946,-178785
63680,1000,910,10368,-178695
67776,1000,832,11916,-178470
71872,1000,1092,13590,-178155
76096,1000,910,15336,-177975
80192,1000,768,17154,-177795
84288,1000,1014,19116,-177480
88448,1000,780,21186,-177165
92544,1000,1222,23256,-176940
96768,1000,910,25542,-176715
100864,1000,962,27864,-176355
105088,1000,768,30330,-175995
109248,1000,1222,32868,-175770
113536,1000,858,35622,-175410
117760,1000,1144,38394,-175005
122048,1000,1014,41328,-174690
126336,1000,1014,44388,-174285
130624,1000,1092,47520,-173835
134912,1000,962,50778,-173520
139072,1000,1040,54072,-173070
143360,1000,884,57546,-172665
147584,1000,728,61002,-172215
151744,1000,780,64602,-171765
155968,1000,1170,68310,-171315
160256,1000,768,72126,-170910
164480,1000,988,76014,-170415
168640,1000,768,79992,-169965
172864,1000,936,84078,-169515
177024,1000,962,88236,-168930
181248,1000,962,92484,-168480
185472,1000,1274,96840,-167985
189760,1000,1144,101376,-167490
194112,1000,1248,106110,-166905
198464,1000,1066,110934,-166365
202880,1000,936,115848,-165780
207104,1000,1144,120762,-165285
211520,1000,1274,125892,-164610
215872,1000,1066,131076,-164205
220224,1000,1014,136386,-163620
224640,1000,962,141786,-162900
228864,1000,910,147150,-162450
233152,1000,988,152586,-161865
237440,1000,1014,158130,-161145
241856,1000,1248,163854,-160605
246208,1000,1066,169686,-160065
250560,1000,936,175554,-159480
254848,1000,936,181440,-158895
259136,-1000,1040,187362,-158220
263616,-1000,-442,193410,-157815
268032,-1000,-884,199260,-157320
272512,-1000,-1066,204984,-156735
277056,-1000,-858,210420,-156195
281472,-1000,-936,215514,-155880
285952,-1000,-962,220302,-155430
290432,-1000,-910,224838,-155070
294848,-1000,-1144,229140,-154845
299392,-1000,-988,233172,-154575
303872,-1000,-1024,236916,-154305
308416,-1000,-988,240426,-154170
312832,-1000,-884,243594,-154080
317312,-1000,-780,246528,-153945
321792,-1000,-1170,249156,-153900
326272,-1000,-910,251568,-153900
330752,-1000,-910,253710,-153900
335232,-1000,-1014,255564,-154035
339776,-1000,-962,257166,-154260
344192,-1000,-1024,258480,-154305
348736,-1000,-858,259560,-154530
353216,-1000,-1144,260352,-154845
357760,-1000,-702,260892,-155115
362176,-1000,-1014,261180,-155520
366720,-1000,-858,261216,-155925
371200,-1000,-1066,261036,-156285
375744,-1000,-884,260622,-156690
380160,-1000,-1014,260010,-157230
384704,-1000,-884,259236,-157725
389184,-1000,-806,258264,-158355
393600,-1000,-988,257148,-158895
398080,-1000,-1066,255852,-159480
402624,-1000,-1092,254358,-160245
407168,-1000,-806,252684,-160965
411584,-1000,-1014,250848,-161685
416128,-1000,-780,248832,-162405
420608,-1000,-884,246690,-163215
425088,-1000,-768,244332,-163980
429504,-1000,-858,241884,-164610
433984,-1000,-910,239184,-165690
438400,-1000,-936,236412,-166410
442880,-1000,-1024,233388,-167310
447424,-1000,-832,230202,-168210
451904,-1000,-910,226890,-169200
456320,-1000,-1014,223398,-170190
460864,-1000,-768,219744,-171180
465344,-1000,-1280,215928,-172260
469888,-1000,-1248,211950,-173250
474432,-1000,-1040,207756,-174375
478976,-1000,-910,203454,-175680
483392,-1000,-702,199062,-176805
487872,-1000,-910,194544,-177975
492288,-1000,-702,189900,-179145
496768,-1000,-1014,185058,-180045
501312,-1000,-806,180036,-181305
505792,-1000,-858,174924,-182520
510208,1000,-936,169686,-183735
514560,1000,650,164610,-184905
518848,1000,780,159768,-185940
523136,1000,1066,155070,-187200
527552,1000,910,150642,-188235
531840,1000,1066,146502,-189225
536192,1000,884,142560,-190350
540480,1000,858,138942,-191340
544768,1000,1040,135594,-192150
549120,1000,1014,132444,-193410
553472,1000,1092,129528,-194085
557888,1000,1092,126918,-194805
562240,1000,936,124524,-195705
566528,1000,962,122454,-196560
570816,1000,780,120654,-197100
575104,1000,962,119016,-197910
579392,1000,884,117684,-198540
583680,1000,858,116586,-198990
587968,1000,858,115668,-199800
592256,1000,832,115038,-200160
596480,1000,832,114624,-200565
600768,1000,1092,114426,-201105
605184,1000,1040,114444,-201510
609536,1000,962,114696,-201870
613824,1000,806,115092,-202275
618112,1000,936,115632,-202635
622400,1000,1014,116352,-202860
626752,1000,884,117198,-203175
631040,1000,1040,118188,-203445
635392,1000,832,119358,-203535
639680,1000,1222,120618,-203805
644096,1000,1066,122040,-204030
648448,1000,962,123642,-204075
652736,1000,1014,125316,-204165
657088,1000,910,127134,-204300
661376,1000,1274,129078,-204345
665728,1000,988,131184,-204345
670016,1000,1014,133398,-204435
674432,1000,1066,135738,-204435
678784,1000,832,138222,-204300
683072,1000,1118,140778,-204300
687424,1000,1118,143478,-204210
691776,1000,832,146340,-204030
696064,1000,1170,149238,-203985
700480,1000,728,152316,-203850
704768,1000,806,155502,-203535
709056,1000,1170,158742,-203400
713408,1000,728,162144,-203265
717696,1000,832,165690,-202815
721984,1000,910,169308,-202590
726272,1000,1196,173016,-202410
730624,1000,1066,176958,-201915
734976,1000,780,181008,-201600
739264,1000,884,185094,-201285
743552,1000,988,189270,-200835
747840,1000,1040,193572,-200430
752192,1000,1092,198090,-200025
756608,1000,1196,202716,-199530
760960,-1000,1066,207468,-199035
765440,-1000,-494,212202,-198675
769856,-1000,-910,216792,-198180
774336,-1000,-988,221256,-197505
778752,-1000,-962,225324,-197100
783232,-1000,-936,229176,-196875
787712,-1000,-1092,232848,-196380
792256,-1000,-676,236268,-195930
796672,-1000,-754,239382,-195750
801152,-1000,-1144,242262,-195255
805696,-1000,-832,244944,-195030
810112,-1000,-1066,247338,-194805
814656,-1000,-832,249498,-194490
819136,-1000,-780,251424,-194220
823552,-1000,-910,253044,-194085
828032,-1000,-884,254448,-193905
832512,-1000,-884,255636,-193725
836928,-1000,-1040,256536,-193680
841472,-1000,-936,257202,-193590
845952,-1000,-910,257652,-193410
850368,-1000,-988,257796,-193410
854848,-1000,-858,257724,-193410
859328,-1000,-884,257454,-193365
863744,-1000,-884,256968,-193410
868224,-1000,-858,256320,-193455
872640,-1000,-936,255510,-193455
877120,-1000,-768,254520,-193500
881600,-1000,-910,253404,-193635
886016,-1000,-1144,252126,-193680
890560,-1000,-1222,250668,-193815
895104,-1000,-1040,249048,-193950
899648,-1000,-1014,247302,-194040
904192,-1000,-1040,245376,-194130
908736,-1000,-754,243306,-194445
913216,-1000,-988,241128,-194535
917632,-1000,-650,238842,-194670
922112,-1000,-1040,236376,-194940
926656,-1000,-768,233730,-195120
931072,-1000,-1378,231012,-195300
935616,-1000,-728,228078,-195615
940096,-1000,-832,225054,-195750
944576,-1000,-1326,221904,-195975
949056,-1000,-884,218556,-196290
953536,-1000,-884,215100,-196560
958016,-1000,-1066,211590,-196830
962560,-1000,-1280,207810,-197100
967104,-1000,-910,203940,-197415
971520,-1000,-858,200016,-197595
976000,-1000,-1118,195930,-198000
980544,-1000,-1144,191664,-198405
985088,-1000,-988,187272,-198630
989504,-1000,-1560,182808,-198945
994048,-1000,-1280,178128,-199395
998592,-1000,-1170,173358,-199665
1003136,-1000,-1040,168408,-200025
1007744,1000,-1092,163224,-200475
1012352,1000,806,158238,-200655
1016704,1000,1092,153576,-200880
