time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007744,1.0,0.208,0.0,-3.14159265
0.011392,1.0,0.624,5.4e-05,-3.14159265
0.015232,1.0,0.832,0.000216,-3.14002185367
0.0192,1.0,1.092,0.000396,-3.14002185367
0.023232,1.0,0.91,0.000738,-3.14002185367
0.027136,1.0,1.092,0.001206,-3.13845105735
0.031232,1.0,1.144,0.001782,-3.13688026102
0.035328,1.0,0.806,0.002502,-3.13609486286
0.03936,1.0,0.754,0.003294,-3.13452406654
0.043392,1.0,0.988,0.00423,-3.13138247389
0.047424,1.0,1.092,0.005238,-3.12981167756
0.05152,1.0,0.858,0.00639,-3.12745548308
0.055552,1.0,0.91,0.007632,-3.12431389043
0.059584,1.0,1.014,0.008946,-3.12038689961
0.06368,1.0,0.91,0.010368,-3.11881610329
0.067776,1.0,0.832,0.011916,-3.11488911248
0.071872,1.0,1.092,0.01359,-3.10939132534
0.076096,1.0,0.91,0.015336,-3.10624973269
0.080192,1.0,0.768,0.017154,-3.10310814004
0.084288,1.0,1.014,0.019116,-3.0976103529
0.088448,1.0,0.78,0.021186,-3.09211256576
0.092544,1.0,1.222,0.023256,-3.08818557495
0.096768,1.0,0.91,0.025542,-3.08425858414
0.100864,1.0,0.962,0.027864,-3.07797539884
0.105088,1.0,0.768,0.03033,-3.07169221354
0.109248,1.0,1.222,0.032868,-3.06776522273
0.113536,1.0,0.858,0.035622,-3.06148203743
0.11776,1.0,1.144,0.038394,-3.05441345396
0.122048,1.0,1.014,0.041328,-3.04891566683
0.126336,1.0,1.014,0.044388,-3.04184708336
0.130624,1.0,1.092,0.04752,-3.03399310174
0.134912,1.0,0.962,0.050778,-3.0284953146
0.139072,1.0,1.04,0.054072,-3.02064133297
0.14336,1.0,0.884,0.057546,-3.01357274951
0.147584,1.0,0.728,0.061002,-3.00571876789
0.151744,1.0,0.78,0.064602,-2.99786478626
0.155968,1.0,1.17,0.06831,-2.99001080464
0.160256,1.0,0.768,0.072126,-2.98294222118
0.16448,1.0,0.988,0.076014,-2.97430284139
0.16864,1.0,0.768,0.079992,-2.96644885976
0.172864,1.0,0.936,0.084078,-2.95859487814
0.177024,1.0,0.962,0.088236,-2.94838470203
0.181248,1.0,0.962,0.092484,-2.9405307204
0.185472,1.0,1.274,0.09684,-2.93189134061
0.18976,1.0,1.144,0.101376,-2.92325196083
0.194112,1.0,1.248,0.10611,-2.91304178471
0.198464,1.0,1.066,0.110934,-2.90361700676
0.20288,1.0,0.936,0.115848,-2.89340683065
0.207104,1.0,1.144,0.120762,-2.88476745086
0.21152,1.0,1.274,0.125892,-2.87298647843
0.215872,1.0,1.066,0.131076,-2.86591789496
0.220224,1.0,1.014,0.136386,-2.85570771885
0.22464,1.0,0.962,0.141786,-2.84314134825
0.228864,1.0,0.91,0.14715,-2.83528736663
0.233152,1.0,0.988,0.152586,-2.82507719051
0.23744,1.0,1.014,0.15813,-2.81251081991
0.241856,1.0,1.248,0.163854,-2.80308604196
0.246208,1.0,1.066,0.169686,-2.79366126401
0.25056,1.0,0.936,0.175554,-2.7834510879
0.254848,1.0,0.936,0.18144,-2.77324091179
0.259136,-1.0,1.04,0.187362,-2.76145993935
0.263616,-1.0,-0.442,0.19341,-2.75439135589
0.268032,-1.0,-0.884,0.19926,-2.7457519761
0.272512,-1.0,-1.066,0.204984,-2.73554179999
0.277056,-1.0,-0.858,0.21042,-2.72611702204
0.281472,-1.0,-0.936,0.215514,-2.7206192349
0.285952,-1.0,-0.962,0.220302,-2.71276525328
0.290432,-1.0,-0.91,0.224838,-2.70648206798
0.294848,-1.0,-1.144,0.22914,-2.70255507716
0.299392,-1.0,-0.988,0.233172,-2.69784268819
0.303872,-1.0,-1.024,0.236916,-2.69313029921
0.308416,-1.0,-0.988,0.240426,-2.69077410473
0.312832,-1.0,-0.884,0.243594,-2.6892033084
0.317312,-1.0,-0.78,0.246528,-2.68684711391
0.321792,-1.0,-1.17,0.249156,-2.68606171575
0.326272,-1.0,-0.91,0.251568,-2.68606171575
0.330752,-1.0,-0.91,0.25371,-2.68606171575
0.335232,-1.0,-1.014,0.255564,-2.68841791024
0.339776,-1.0,-0.962,0.257166,-2.69234490105
0.344192,-1.0,-1.024,0.25848,-2.69313029921
0.348736,-1.0,-0.858,0.25956,-2.69705729003
0.353216,-1.0,-1.144,0.260352,-2.70255507716
0.35776,-1.0,-0.702,0.260892,-2.70726746614
0.362176,-1.0,-1.014,0.26118,-2.7143360496
0.36672,-1.0,-0.858,0.261216,-2.72140463306
0.3712,-1.0,-1.066,0.261036,-2.72768781836
0.375744,-1.0,-0.884,0.260622,-2.73475640182
0.38016,-1.0,-1.014,0.26001,-2.74418117977
0.384704,-1.0,-0.884,0.259236,-2.75282055956
0.389184,-1.0,-0.806,0.258264,-2.76381613384
0.3936,-1.0,-0.988,0.257148,-2.77324091179
0.39808,-1.0,-1.066,0.255852,-2.7834510879
0.402624,-1.0,-1.092,0.254358,-2.79680285666
0.407168,-1.0,-0.806,0.252684,-2.80936922726
0.411584,-1.0,-1.014,0.250848,-2.82193559786
0.416128,-1.0,-0.78,0.248832,-2.83450196846
0.420608,-1.0,-0.884,0.24669,-2.84863913539
0.425088,-1.0,-0.768,0.244332,-2.86199090415
0.429504,-1.0,-0.858,0.241884,-2.87298647843
0.433984,-1.0,-0.91,0.239184,-2.89183603433
0.4384,-1.0,-0.936,0.236412,-2.90440240492
0.44288,-1.0,-1.024,0.233388,-2.92011036818
0.447424,-1.0,-0.832,0.230202,-2.93581833143
0.451904,-1.0,-0.91,0.22689,-2.953097091
0.45632,-1.0,-1.014,0.223398,-2.97037585057
0.460864,-1.0,-0.768,0.219744,-2.98765461015
0.465344,-1.0,-1.28,0.215928,-3.00650416605
0.469888,-1.0,-1.248,0.21195,-3.02378292562
0.474432,-1.0,-1.04,0.207756,-3.04341787969
0.478976,-1.0,-0.91,0.203454,-3.0661944264
0.483392,-1.0,-0.702,0.199062,-3.08582938046
0.487872,-1.0,-0.91,0.194544,-3.10624973269
0.492288,-1.0,-0.702,0.1899,-3.12667008491
0.496768,-1.0,-1.014,0.185058,-3.14237804816
0.501312,-1.0,-0.806,0.180036,-3.16436919671
0.505792,-1.0,-0.858,0.174924,-3.1855749471
0.510208,1.0,-0.936,0.169686,-3.20678069749
0.51456,1.0,0.65,0.16461,-3.22720104971
0.518848,1.0,0.78,0.159768,-3.24526520745
0.523136,1.0,1.066,0.15507,-3.267256356
0.527552,1.0,0.91,0.150642,-3.28532051374
0.53184,1.0,1.066,0.146502,-3.30259927331
0.536192,1.0,0.884,0.14256,-3.32223422738
0.54048,1.0,0.858,0.138942,-3.33951298695
0.544768,1.0,1.04,0.135594,-3.35365015388
0.54912,1.0,1.014,0.132444,-3.37564130243
0.553472,1.0,1.092,0.129528,-3.38742227486
0.557888,1.0,1.092,0.126918,-3.39998864546
0.56224,1.0,0.936,0.124524,-3.41569660871
0.566528,1.0,0.962,0.122454,-3.4306191738
0.570816,1.0,0.78,0.120654,-3.44004395175
0.575104,1.0,0.962,0.119016,-3.45418111868
0.579392,1.0,0.884,0.117684,-3.46517669295
0.58368,1.0,0.858,0.116586,-3.47303067457
0.587968,1.0,0.858,0.115668,-3.4871678415
0.592256,1.0,0.832,0.115038,-3.4934510268
0.59648,1.0,0.832,0.114624,-3.50051961026
0.600768,1.0,1.092,0.114426,-3.50994438821
0.605184,1.0,1.04,0.114444,-3.51701297168
0.609536,1.0,0.962,0.114696,-3.52329615698
0.613824,1.0,0.806,0.115092,-3.53036474044
0.618112,1.0,0.936,0.115632,-3.53664792574
0.6224,1.0,1.014,0.116352,-3.54057491655
0.626752,1.0,0.884,0.117198,-3.54607270369
0.63104,1.0,1.04,0.118188,-3.55078509266
0.635392,1.0,0.832,0.119358,-3.55235588899
0.63968,1.0,1.222,0.120618,-3.55706827796
0.644096,1.0,1.066,0.12204,-3.56099526878
0.648448,1.0,0.962,0.123642,-3.56178066694
0.652736,1.0,1.014,0.125316,-3.56335146326
0.657088,1.0,0.91,0.127134,-3.56570765775
0.661376,1.0,1.274,0.129078,-3.56649305591
0.665728,1.0,0.988,0.131184,-3.56649305591
0.670016,1.0,1.014,0.133398,-3.56806385224
0.674432,1.0,1.066,0.135738,-3.56806385224
0.678784,1.0,0.832,0.138222,-3.56570765775
0.683072,1.0,1.118,0.140778,-3.56570765775
0.687424,1.0,1.118,0.143478,-3.56413686143
0.691776,1.0,0.832,0.14634,-3.56099526878
0.696064,1.0,1.17,0.149238,-3.56020987061
0.70048,1.0,0.728,0.152316,-3.55785367613
0.704768,1.0,0.806,0.155502,-3.55235588899
0.709056,1.0,1.17,0.158742,-3.5499996945
0.713408,1.0,0.728,0.162144,-3.54764350001
0.717696,1.0,0.832,0.16569,-3.53978951839
0.721984,1.0,0.91,0.169308,-3.53586252757
0.726272,1.0,1.196,0.173016,-3.53272093492
0.730624,1.0,1.066,0.176958,-3.52408155514
0.734976,1.0,0.78,0.181008,-3.518583768
0.739264,1.0,0.884,0.185094,-3.51308598086
0.743552,1.0,0.988,0.18927,-3.50523199924
0.74784,1.0,1.04,0.193572,-3.49816341578
0.752192,1.0,1.092,0.19809,-3.49109483231
0.756608,1.0,1.196,0.202716,-3.48245545252
0.76096,-1.0,1.066,0.207468,-3.47381607274
0.76544,-1.0,-0.494,0.212202,-3.46753288744
0.769856,-1.0,-0.91,0.216792,-3.45889350765
0.774336,-1.0,-0.988,0.221256,-3.44711253521
0.778752,-1.0,-0.962,0.225324,-3.44004395175
0.783232,-1.0,-0.936,0.229176,-3.43611696094
0.787712,-1.0,-1.092,0.232848,-3.42747758115
0.792256,-1.0,-0.676,0.236268,-3.41962359952
0.796672,-1.0,-0.754,0.239382,-3.41648200687
0.801152,-1.0,-1.144,0.242262,-3.40784262709
0.805696,-1.0,-0.832,0.244944,-3.40391563628
0.810112,-1.0,-1.066,0.247338,-3.39998864546
0.814656,-1.0,-0.832,0.249498,-3.39449085833
0.819136,-1.0,-0.78,0.251424,-3.38977846935
0.823552,-1.0,-0.91,0.253044,-3.38742227486
0.828032,-1.0,-0.884,0.254448,-3.38428068221
0.832512,-1.0,-0.884,0.255636,-3.38113908956
0.836928,-1.0,-1.04,0.256536,-3.3803536914
0.841472,-1.0,-0.936,0.257202,-3.37878289508
