time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

6912,0,-15,0,-180000

10624,88,-36,0,-180000

14464,205,90,0,-180000

18368,333,238,36,-180000

22400,450,344,72,-180000

26432,568,513,180,-179955

30528,696,661,360,-179955

34624,803,745,612,-179865

38784,921,914,1008,-179820

43008,1068,999,1494,-179775

47296,1196,1210,2160,-179685

51648,1303,1316,2988,-179505

56000,1431,1442,3996,-179415

60416,1529,1633,5220,-179280

64768,1647,1823,6660,-179055

69184,1764,1949,8334,-178830

73536,1872,1992,10278,-178605

78016,1970,2372,12564,-178290

82432,2039,2309,15120,-177930

86912,2127,2224,18036,-177570

91392,2196,2499,21240,-177165

95872,2254,2520,24840,-176670

100288,2323,2604,28782,-176130

104832,2372,2668,33138,-175590

109440,2421,2562,38016,-174960

113984,2450,2266,43146,-174330

118528,2470,2034,48636,-173655

123072,2490,1928,54486,-172890

127616,2500,1907,60552,-172080

132224,2490,1611,66834,-171315

136768,2480,1379,73332,-170505

141312,2450,1485,79992,-169650

145856,2431,1147,86814,-168660

150400,2382,1210,93744,-167940

155008,2313,1062,100818,-167040

159616,2264,1083,108090,-166050

164288,2186,914,115434,-165285

168832,2107,1020,122742,-164385

173440,2019,766,130230,-163530

178048,1911,893,137646,-162630

182592,1823,639,145116,-161730

187136,1696,872,152586,-160695

191680,1578,639,160128,-159975

196288,1460,766,167706,-159120

200832,1333,724,175266,-158085

205376,1176,618,182862,-157365

209920,1009,787,190476,-156510

214464,892,492,198090,-155700

218944,725,766,205578,-154890

223424,568,597,213066,-153945

227904,421,745,220554,-153315

232384,235,682,228096,-152460

236864,117,154,235566,-151650

241344,-88,238,242982,-150975

245824,-205,-99,250344,-150300

250368,-392,-205,257670,-149580

255040,-568,-585,265032,-148815

259648,-725,-585,272160,-148185

264320,-892,-923,279036,-147510

268992,-1068,-965,285678,-146970

273728,-1196,-1155,292158,-146520

278528,-1362,-1388,298368,-146070

283328,-1509,-1472,304200,-145620

288192,-1647,-1557,309618,-145215

292992,-1803,-1726,314550,-144945

297792,-1892,-1937,318996,-144765

302656,-2000,-2022,322974,-144585

307456,-2127,-2127,326430,-144450

312256,-2215,-2212,329292,-144450

317120,-2294,-2254,331596,-144675

321920,-2362,-2296,333252,-144720

