time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,0,0,0,-180000
10432,88,0,0,-180000
14144,205,62,0,-180000
17984,333,105,18,-180000
22016,450,379,54,-179955
26048,568,527,144,-179955
30208,696,633,306,-179955
34304,803,759,540,-179910
38464,921,886,846,-179820
42560,1039,1013,1296,-179775
46912,1196,1182,1908,-179730
51328,1303,1245,2682,-179595
55680,1411,1393,3654,-179460
60096,1529,1562,4806,-179370
64448,1647,1605,6210,-179100
68800,1745,1922,7884,-178830
73216,1872,1964,9702,-178740
77568,1950,2112,11916,-178425
82048,2039,2260,14454,-177930
86528,2107,2386,17262,-177660
90944,2196,2281,20412,-177165
95424,2254,2471,23958,-176715
99904,2303,2513,27828,-176265
104384,2372,2682,32040,-175725
108928,2421,2851,36792,-175050
113472,2450,2619,41886,-174330
118016,2470,2238,47340,-173655
122560,2490,1922,53136,-173025
127168,2500,1605,59166,-172305
131712,2490,1626,65466,-171315
136256,2480,1499,71964,-170595
140800,2460,1182,78606,-169830
145344,2431,1351,85410,-168975
149952,2382,1055,92358,-168120
154496,2343,1140,99432,-167085
159040,2264,950,106578,-166365
163584,2196,1013,113814,-165465
168256,2107,802,121266,-164565
172800,2039,950,128628,-163665
177344,1931,675,136062,-162765
181888,1843,992,143514,-161865
186496,1715,633,151020,-161010
191040,1578,802,158580,-159975
195584,1480,654,166140,-159075
200128,1333,654,173736,-158400
204672,1196,759,181350,-157500
209280,1039,443,188982,-156690
213824,921,823,196614,-155790
218304,754,590,204102,-154890
222784,598,717,211590,-154215
227200,421,675,219096,-153405
231680,303,633,226638,-152460
236160,117,421,234144,-151830
240640,-29,20,241578,-151110
245056,-205,20,248778,-150435
249472,-362,-296,256050,-149715
254144,-539,-148,263412,-148995
258816,-696,-718,270594,-148185
263488,-862,-782,277542,-147600
268096,-1039,-1014,284238,-147105
272896,-1176,-1014,290880,-146565
277760,-1333,-1120,297180,-146025
282560,-1480,-1585,303066,-145575
287360,-1627,-1564,308538,-145260
292224,-1764,-1754,313596,-144945
297024,-1892,-1902,318150,-144720
301888,-1980,-2007,322200,-144495
306688,-2088,-1923,325728,-144405
311488,-2196,-2176,328698,-144405
316352,-2284,-2155,331092,-144450
321152,-2352,-2409,332928,-144585
