time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00448,-0.832,-0.294,0.00027,-0.0871791960375
0.008832,-0.844,-0.442,0.000216,-0.086393797875
0.013184,-0.741,-0.4,0.000126,-0.08482300155
0.017664,-0.762,-0.315,-1.8e-05,-0.0840376033875
0.02208,-0.716,-0.336,-0.000198,-0.083252205225
0.026624,-0.672,-0.294,-0.000414,-0.0816814089
0.031168,-0.724,-0.294,-0.000648,-0.0808960107375
0.035712,-0.668,-0.336,-0.0009,-0.0793252144125
0.040192,1.038,-0.358,0.00158,-0.07853981625
0.044736,-0.606,0.571,0.001292,-0.0761836217625
0.049216,-0.396,-0.294,0.00122,-0.073827427275
0.053696,-0.757,-0.231,0.000932,-0.0761836217625
0.058176,-0.516,-0.379,0.000806,-0.0730420291125
0.062592,-0.609,-0.252,0.00068,-0.07225663095
0.067072,-0.787,-0.252,0.0005,-0.07225663095
0.071488,-0.521,-0.273,0.000302,-0.070685834625
0.075968,-0.666,-0.294,0.000122,-0.0699004364625
0.080384,1.229,-0.358,0.00296,-0.0683296401375
0.084928,-0.565,0.613,0.002726,-0.067544241975
0.089344,-0.403,-0.21,0.002708,-0.0651880474875
0.093888,-0.681,-0.21,0.002564,-0.067544241975
0.098432,-0.528,-0.4,0.002492,-0.064402649325
0.102976,-0.556,-0.294,0.002474,-0.064402649325
0.107584,-0.681,-0.358,0.002384,-0.0636172511625
0.112192,-0.49,-0.252,0.002258,-0.062831853
0.1168,-0.626,-0.231,0.00215,-0.0620464548375
0.121472,1.255,-0.315,0.005078,-0.0604756585125
0.12608,-0.567,0.592,0.004952,-0.0604756585125
0.130624,0.192,-0.252,0.005024,-0.0589048621875
0.135168,-0.643,0.064,0.004952,-0.0604756585125
0.139584,0.08,-0.315,0.00497,-0.058119464025
0.144064,0.088,0.043,0.005006,-0.058119464025
0.148288,-0.017,0.022,0.005024,-0.058119464025
0.15264,0.144,-0.02,0.005042,-0.0573340658625
0.15712,-0.007,0.127,0.005078,-0.0573340658625
0.161472,1.301,0.127,0.008168,-0.0565486677
