time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.004544,-0.884,-0.405,0.000198,-0.0871791960375
0.008704,-0.91,-0.405,0.000126,-0.0871791960375
0.012928,-0.79,-0.511,5.4e-05,-0.0856083997125
0.017088,-0.865,-0.405,-7.2e-05,-0.0856083997125
0.021376,-0.829,-0.405,-0.000252,-0.08482300155
0.025728,-0.786,-0.384,-0.000468,-0.0840376033875
0.03008,-0.847,-0.384,-0.00072,-0.083252205225
0.034432,-0.797,-0.384,-0.00099,-0.0824668070625
0.038784,-0.756,-0.384,-0.001314,-0.0808960107375
0.043264,-0.767,-0.405,-0.001674,-0.080110612575
0.04768,-0.704,-0.363,-0.002034,-0.07853981625
0.05216,-0.643,-0.278,-0.002394,-0.076969019925
0.056576,-0.656,-0.363,-0.002826,-0.0753982236
0.061056,-0.52,-0.236,-0.003204,-0.0730420291125
0.065472,-0.575,-0.257,-0.003618,-0.07225663095
0.069952,-0.569,-0.299,-0.004032,-0.070685834625
0.074368,-0.481,-0.257,-0.00441,-0.0683296401375
0.078848,-0.646,-0.278,-0.004806,-0.0683296401375
0.083264,-0.575,-0.278,-0.005184,-0.0667588438125
0.087744,-0.494,-0.278,-0.005526,-0.064402649325
0.09216,-0.609,-0.257,-0.005922,-0.0636172511625
0.09664,-0.478,-0.278,-0.006264,-0.0620464548375
0.101056,-0.412,-0.278,-0.006624,-0.05969026035
0.1056,-0.475,-0.215,-0.00702,-0.058119464025
0.110144,-0.399,-0.236,-0.00738,-0.0565486677
0.114688,-0.443,-0.215,-0.00774,-0.0557632695375
0.119232,-0.477,-0.236,-0.008082,-0.0541924732125
0.123776,-0.4,-0.236,-0.008406,-0.051836278725
0.12832,-0.381,-0.194,-0.008712,-0.0502654824
0.132864,-0.37,-0.194,-0.009,-0.0494800842375
0.137408,-0.408,-0.194,-0.00927,-0.048694686075
0.141952,-0.362,-0.173,-0.009468,-0.0463384915875
0.146496,-0.357,-0.215,-0.009684,-0.0447676952625
0.15104,-0.357,-0.194,-0.009918,-0.0439822971
0.155584,-0.261,-0.173,-0.010062,-0.042411500775
0.160192,-0.38,-0.109,-0.01026,-0.0416261026125
0.1648,-0.292,-0.194,-0.010404,-0.039269908125
0.169408,-0.272,-0.173,-0.010512,-0.0384845099625
0.17408,-0.32,-0.151,-0.01062,-0.0376991118
0.178688,-0.24,-0.194,-0.010692,-0.036128315475
0.183296,-0.277,-0.109,-0.010764,-0.03455751915
0.187968,-0.261,-0.13,-0.0108,-0.0337721209875
0.192576,-0.244,-0.13,-0.010818,-0.032986722825
0.197184,0.391,-0.13,-0.010818,-0.0314159265
0.201728,-0.267,0.207,-0.010818,-0.0306305283375
0.206272,0.434,-0.13,-0.010764,-0.0290597320125
0.210816,0.313,0.228,-0.010746,-0.029845130175
0.215232,0.425,0.143,-0.010638,-0.0274889356875
0.219712,0.357,0.101,-0.010566,-0.0274889356875
0.224128,0.393,0.186,-0.01044,-0.0259181393625
0.228544,0.444,0.186,-0.010314,-0.0259181393625
0.233024,0.359,0.228,-0.010152,-0.0251327412
0.23744,0.436,0.186,-0.009954,-0.0243473430375
0.241792,0.387,0.207,-0.009774,-0.023561944875
0.246144,0.467,0.207,-0.00954,-0.0227765467125
0.250496,0.4,0.249,-0.009342,-0.0227765467125
0.254912,0.358,0.207,-0.009108,-0.0227765467125
0.259264,0.386,0.186,-0.008838,-0.02199114855
0.263616,0.376,0.186,-0.008604,-0.0212057503875
0.267968,0.451,0.186,-0.008334,-0.020420352225
0.27232,0.451,0.228,-0.008064,-0.020420352225
0.276672,0.392,0.228,-0.007812,-0.020420352225
0.281088,0.475,0.207,-0.007506,-0.0188495559
0.28544,0.427,0.249,-0.0072,-0.0188495559
0.289792,0.406,0.186,-0.006948,-0.0188495559
0.294144,0.481,0.207,-0.00666,-0.0180641577375
0.298496,0.448,0.27,-0.006336,-0.017278759575
0.302784,0.496,0.249,-0.006048,-0.0164933614125
0.307008,0.427,0.249,-0.005796,-0.017278759575
0.311296,0.453,0.207,-0.00549,-0.0164933614125
0.315584,0.518,0.249,-0.005184,-0.0149225650875
0.319808,0.448,0.249,-0.004932,-0.0149225650875
0.324096,0.513,0.186,-0.004644,-0.0149225650875
0.328384,0.526,0.249,-0.004338,-0.014137166925
0.332672,0.464,0.27,-0.004068,-0.0133517687625
0.336896,0.53,0.228,-0.003798,-0.0125663706
0.341184,0.594,0.418,-0.00351,-0.0117809724375
0.345472,0.531,0.27,-0.00324,-0.0117809724375
0.34976,0.592,0.312,-0.002988,-0.0102101761125
0.354048,0.545,0.27,-0.002718,-0.0102101761125
0.358272,0.572,0.312,-0.002412,-0.00942477795
0.36256,0.621,0.27,-0.002124,-0.0086393797875
0.366848,0.5,0.397,-0.001872,-0.0086393797875
0.371072,0.647,0.249,-0.001566,-0.0070685834625
0.37536,0.581,0.397,-0.001278,-0.0070685834625
0.379648,0.589,0.27,-0.00099,-0.0062831853
0.383808,0.659,0.312,-0.000702,-0.0054977871375
0.388032,0.537,0.376,-0.000432,-0.0054977871375
0.392192,0.671,0.291,-0.000144,-0.0039269908125
0.396416,0.664,0.418,0.000126,-0.00314159265
0.400512,0.681,0.376,0.000396,-0.0023561944875
0.404608,0.69,0.355,0.000684,-0.0023561944875
0.408704,0.623,0.397,0.000936,-0.001570796325
0.412736,0.706,0.27,0.001206,0.0
0.41664,0.725,0.334,0.001476,0.0007853981625
0.420608,0.783,0.376,0.001746,0.001570796325
0.42464,0.792,0.439,0.002034,0.0023561944875
0.428736,0.744,0.481,0.00234,0.00314159265
0.432832,0.743,0.376,0.002628,0.0039269908125
0.436928,0.709,0.418,0.00297,0.0039269908125
0.441024,0.717,0.376,0.003312,0.004712388975
0.44512,0.707,0.376,0.003618,0.0054977871375
0.449216,0.785,0.418,0.003942,0.0070685834625
0.453312,0.811,0.418,0.00432,0.0070685834625
0.457408,0.817,0.418,0.004698,0.007853981625
0.461504,0.809,0.418,0.00504,0.0086393797875
0.465664,0.838,0.46,0.005436,0.0102101761125
0.469696,0.914,0.376,0.005832,0.010995574275
0.473856,0.861,0.481,0.006264,0.010995574275
0.477952,0.812,0.46,0.006696,0.010995574275
0.482048,0.849,0.503,0.007182,0.0125663706
0.486144,0.864,0.418,0.007686,0.0133517687625
0.49024,0.867,0.46,0.00819,0.0133517687625
0.494336,0.969,0.481,0.008784,0.014137166925
0.498432,0.904,0.545,0.009342,0.0149225650875
0.502528,0.778,0.46,0.009882,0.014137166925
0.506624,0.943,0.46,0.010512,0.01570796325
0.510784,0.953,0.566,0.01116,0.0164933614125
0.514944,0.762,0.503,0.011772,0.0149225650875
0.519168,1.023,0.376,0.012456,0.017278759575
0.523456,0.971,0.545,0.01314,0.0180641577375
0.52768,0.863,0.503,0.013824,0.017278759575
0.531904,0.997,0.481,0.014562,0.017278759575
0.536064,0.895,0.503,0.015282,0.0180641577375
0.540352,0.9,0.503,0.01602,0.0188495559
0.544576,1.036,0.46,0.016794,0.0196349540625
0.548928,0.98,0.566,0.017604,0.0188495559
0.553216,0.987,0.587,0.018396,0.0196349540625
0.557504,1.018,0.481,0.019242,0.020420352225
0.561856,0.968,0.418,0.020106,0.020420352225
0.566144,1.053,0.545,0.021024,0.020420352225
0.570496,1.0,0.587,0.02196,0.020420352225
0.574848,0.957,0.524,0.022914,0.020420352225
0.579072,1.046,0.503,0.023904,0.0212057503875
0.583424,1.006,0.524,0.024966,0.020420352225
0.587776,1.018,0.524,0.026046,0.020420352225
0.592128,1.048,0.566,0.027198,0.020420352225
0.59648,0.998,0.566,0.02835,0.020420352225
0.600768,0.994,0.545,0.029484,0.0196349540625
0.605056,0.98,0.545,0.030726,0.0188495559
0.609344,1.05,0.524,0.031986,0.0196349540625
0.613696,1.048,0.566,0.033246,0.0196349540625
0.618048,1.074,0.524,0.034578,0.0188495559
0.6224,1.056,0.587,0.036018,0.017278759575
0.626688,1.006,0.545,0.03744,0.017278759575
0.630912,0.931,0.587,0.038808,0.0164933614125
0.635136,0.916,0.524,0.040284,0.0149225650875
0.639296,1.018,0.566,0.041868,0.014137166925
0.643584,0.853,0.545,0.043362,0.0125663706
0.647744,0.95,0.418,0.044928,0.0125663706
0.651968,0.966,0.566,0.046566,0.010995574275
0.656128,0.964,0.566,0.048186,0.0102101761125
0.660352,1.015,0.524,0.049824,0.00942477795
0.66464,0.998,0.608,0.05157,0.0086393797875
