time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,0,31,0,-180000
10496,17,-10,0,-180000
14400,52,10,0,-180000
18176,88,73,0,-180000
21952,123,52,0,-180000
25792,164,158,0,-180000
29760,200,158,18,-180000
33792,235,221,54,-180000
37824,270,221,108,-180000
41920,305,284,198,-180000
46080,341,327,306,-179955
50176,400,411,450,-179955
54336,435,453,630,-179910
58432,464,474,828,-179910
62528,500,474,1080,-179865
66752,535,559,1386,-179820
70976,588,601,1764,-179775
75200,623,686,2196,-179685
79360,652,707,2700,-179595
83584,688,707,3258,-179595
87808,717,770,3870,-179505
91968,770,855,4608,-179370
96192,817,834,5364,-179280
100416,847,939,6192,-179190
104704,876,1003,7218,-179055
109120,917,960,8316,-178830
113408,947,1045,9486,-178785
117760,976,1066,10800,-178605
122240,1017,1108,12330,-178335
126784,1047,1256,13968,-178155
131392,1082,1193,15714,-177975
135936,1123,1341,17676,-177660
140480,1147,1256,19782,-177345
145024,1182,1467,21996,-177165
149568,1200,1341,24426,-176760
154112,1235,1573,27018,-176400
158720,1252,1362,29790,-176175
163264,1282,1510,32706,-175815
167808,1311,1341,35838,-175320
172352,1329,1510,39186,-174960
176960,1352,1489,42660,-174510
181504,1376,1700,46458,-173970
186048,1388,1531,50346,-173565
190592,1411,1552,54468,-173070
195136,1429,1552,58914,-172350
199744,1435,1679,63450,-171945
204288,1452,1531,68220,-171405
208832,1464,1742,73296,-170685
213376,1470,1552,78498,-170055
217920,1482,1615,83970,-169425
222528,1488,1763,89658,-168570
227072,1494,1742,95526,-167940
231616,1494,1763,101664,-167175
236288,1494,1489,108090,-166500
240896,1494,1510,114714,-165645
245568,1494,1425,121554,-164970
250176,1488,1193,128484,-164025
254848,1488,1235,135540,-163395
259456,1476,982,142740,-162540
264000,1470,1214,149904,-161550
268672,1458,960,157248,-160875
273216,1441,1045,164520,-160110
277888,1429,1024,172008,-159255
282496,1411,918,179532,-158310
287040,1388,960,186948,-157680
291648,1376,707,194418,-156825
296192,1352,876,201924,-156060
300736,1329,686,209430,-155160
305280,1300,918,216972,-154485
309824,1276,665,224532,-153720
314432,1247,728,232110,-152955
318976,1211,791,239706,-152235
323520,1188,686,247320,-151470
