time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.0,0.031,0.0,-3.14159265
0.010496,0.017,-0.01,0.0,-3.14159265
0.0144,0.052,0.01,0.0,-3.14159265
0.018176,0.088,0.073,0.0,-3.14159265
0.021952,0.123,0.052,0.0,-3.14159265
0.025792,0.164,0.158,0.0,-3.14159265
0.02976,0.2,0.158,1.8e-05,-3.14159265
0.033792,0.235,0.221,5.4e-05,-3.14159265
0.037824,0.27,0.221,0.000108,-3.14159265
0.04192,0.305,0.284,0.000198,-3.14159265
0.04608,0.341,0.327,0.000306,-3.14080725184
0.050176,0.4,0.411,0.00045,-3.14080725184
0.054336,0.435,0.453,0.00063,-3.14002185367
0.058432,0.464,0.474,0.000828,-3.14002185367
0.062528,0.5,0.474,0.00108,-3.13923645551
0.066752,0.535,0.559,0.001386,-3.13845105735
0.070976,0.588,0.601,0.001764,-3.13766565919
0.0752,0.623,0.686,0.002196,-3.13609486286
0.07936,0.652,0.707,0.0027,-3.13452406654
0.083584,0.688,0.707,0.003258,-3.13452406654
0.087808,0.717,0.77,0.00387,-3.13295327021
0.091968,0.77,0.855,0.004608,-3.13059707572
0.096192,0.817,0.834,0.005364,-3.1290262794
0.100416,0.847,0.939,0.006192,-3.12745548308
0.104704,0.876,1.003,0.007218,-3.12509928859
0.10912,0.917,0.96,0.008316,-3.12117229778
0.113408,0.947,1.045,0.009486,-3.12038689961
0.11776,0.976,1.066,0.0108,-3.11724530696
0.12224,1.017,1.108,0.01233,-3.11253291799
0.126784,1.047,1.256,0.013968,-3.10939132534
0.131392,1.082,1.193,0.015714,-3.10624973269
0.135936,1.123,1.341,0.017676,-3.10075194555
0.14048,1.147,1.256,0.019782,-3.09525415841
0.145024,1.182,1.467,0.021996,-3.09211256576
0.149568,1.2,1.341,0.024426,-3.0850439823
0.154112,1.235,1.573,0.027018,-3.078760797
0.15872,1.252,1.362,0.02979,-3.07483380619
0.163264,1.282,1.51,0.032706,-3.06855062089
0.167808,1.311,1.341,0.035838,-3.0599112411
0.172352,1.329,1.51,0.039186,-3.0536280558
0.17696,1.352,1.489,0.04266,-3.04577407418
0.181504,1.376,1.7,0.046458,-3.03634929623
0.186048,1.388,1.531,0.050346,-3.02928071276
0.190592,1.411,1.552,0.054468,-3.02064133297
0.195136,1.429,1.552,0.058914,-3.00807496238
0.199744,1.435,1.679,0.06345,-3.00100637891
0.204288,1.452,1.531,0.06822,-2.99158160096
0.208832,1.464,1.742,0.073296,-2.97901523036
0.213376,1.47,1.552,0.078498,-2.96801965609
0.21792,1.482,1.615,0.08397,-2.95702408181
0.222528,1.488,1.763,0.089658,-2.94210151673
0.227072,1.494,1.742,0.095526,-2.93110594245
0.231616,1.494,1.763,0.101664,-2.91775417369
0.236288,1.494,1.489,0.10809,-2.90597320125
0.240896,1.494,1.51,0.114714,-2.89105063616
0.245568,1.494,1.425,0.121554,-2.87926966373
0.250176,1.488,1.193,0.128484,-2.86277630231
0.254848,1.488,1.235,0.13554,-2.85178072804
0.259456,1.476,0.982,0.14274,-2.83685816295
0.264,1.47,1.214,0.149904,-2.81957940338
0.268672,1.458,0.96,0.157248,-2.80779843094
0.273216,1.441,1.045,0.16452,-2.79444666217
0.277888,1.429,1.024,0.172008,-2.77952409709
0.282496,1.411,0.918,0.179532,-2.76303073568
0.28704,1.388,0.96,0.186948,-2.7520351614
0.291648,1.376,0.707,0.194418,-2.73711259631
0.296192,1.352,0.876,0.201924,-2.72376082755
0.300736,1.329,0.686,0.20943,-2.7080528643
0.30528,1.3,0.918,0.216972,-2.69627189186
0.309824,1.276,0.665,0.224532,-2.6829201231
0.314432,1.247,0.728,0.23211,-2.66956835434
0.318976,1.211,0.791,0.239706,-2.65700198374
0.32352,1.188,0.686,0.24732,-2.64365021498
0.328064,1.147,0.813,0.254934,-2.62951304805
0.332608,1.123,0.58,0.262566,-2.61930287194
0.337216,1.082,0.939,0.270198,-2.6075218995
0.34176,1.047,0.601,0.27783,-2.5949555289
0.346304,1.005,0.855,0.285426,-2.5823891583
0.350848,0.964,0.876,0.293076,-2.57217898219
0.355328,0.917,0.643,0.300582,-2.55961261159
0.359808,0.876,0.96,0.308088,-2.5509732318
0.364288,0.829,0.643,0.315594,-2.53997765753
0.368768,0.8,0.791,0.3231,-2.52898208325
0.373248,0.735,0.686,0.330624,-2.51877190714
0.377728,0.688,0.622,0.338148,-2.51013252735
0.382208,0.641,0.749,0.345672,-2.49913695308
0.386688,0.588,0.559,0.353178,-2.49049757329
0.391104,0.535,0.96,0.360684,-2.4818581935
0.395584,0.482,0.538,0.368226,-2.47164801739
0.400064,0.435,0.77,0.375732,-2.46457943393
0.404544,0.376,0.686,0.383256,-2.45515465597
0.409024,0.323,0.453,0.390744,-2.44651527619
0.413504,0.27,0.601,0.398232,-2.44180288721
0.417984,0.217,0.221,0.405648,-2.43473430375
0.422464,0.164,0.39,0.41301,-2.42688032213
0.42688,0.123,0.094,0.420318,-2.42138253499
0.431296,0.052,0.221,0.42741,-2.41588474785
0.435648,0.0,0.031,0.43443,-2.40960156255
0.439872,-0.052,0.115,0.441108,-2.40488917357
0.444352,-0.105,-0.116,0.448092,-2.40096218276
0.449024,-0.164,-0.116,0.455238,-2.39624979379
0.453696,-0.217,-0.264,0.462276,-2.39310820114
0.458304,-0.288,-0.243,0.469134,-2.38996660849
0.462976,-0.341,-0.327,0.475866,-2.387610414
0.467648,-0.4,-0.496,0.482436,-2.38603961768
0.472256,-0.464,-0.475,0.488844,-2.38525421951
0.476928,-0.517,-0.37,0.495072,-2.38368342319
0.4816,-0.57,-0.644,0.501084,-2.38368342319
