time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,0,16,0,-180000
10496,23,-4,0,-180000
14272,70,-25,0,-180000
18176,117,37,0,-180000
22016,164,185,0,-180000
25984,219,143,18,-180000
30016,266,227,54,-179955
34048,313,270,108,-179955
38208,360,312,180,-179955
42304,407,417,288,-179955
46400,454,481,432,-179910
50560,533,523,612,-179910
54656,580,565,828,-179865
58752,619,608,1116,-179865
62976,690,671,1494,-179775
67200,737,734,1944,-179730
71424,784,798,2466,-179640
75584,831,819,3096,-179550
79808,870,924,3798,-179460
84032,941,882,4590,-179370
88256,980,1009,5526,-179280
92544,1027,1094,6570,-179055
96896,1090,1115,7776,-178965
101248,1129,1157,9090,-178830
105728,1168,1199,10620,-178515
110336,1223,1347,12366,-178335
114880,1262,1263,14202,-178110
119424,1317,1326,16308,-177795
123968,1372,1495,18630,-177525
128512,1411,1474,21006,-177300
133056,1458,1558,23796,-176805
137664,1498,1685,26694,-176445
142208,1545,1601,29790,-176085
146752,1576,1748,33246,-175635
151296,1615,1748,36864,-175140
155840,1647,1791,40716,-174780
160448,1686,1833,44928,-174060
164992,1725,1833,49356,-173565
169536,1756,1896,54018,-173070
174080,1796,1981,59022,-172215
178624,1811,1981,64278,-171675
183232,1843,1918,69786,-171000
187776,1858,1939,75654,-170145
192320,1890,1833,81738,-169560
196864,1905,1558,88002,-168705
201408,1921,1495,94518,-167985
206016,1945,1432,101196,-167175
210624,1960,1094,108108,-166410
215296,1968,1220,115218,-165330
219904,1976,903,122418,-164610
224448,1984,1115,129528,-163800
229120,1992,755,136926,-162945
233664,1992,1051,144234,-162090
238336,1992,777,151704,-161280
242880,1992,903,159156,-160245
247424,1992,777,166608,-159525
251968,1984,798,174078,-158760
256512,1976,755,181638,-157725
261120,1968,523,189216,-157005
265664,1952,798,196776,-156195
270208,1937,565,204390,-155385
274752,1913,755,212004,-154575
279296,1898,713,219654,-153675
283904,1882,671,227286,-153045
288448,1850,671,234936,-152280
292992,1827,460,242622,-151470
297536,1796,713,250308,-150615
302080,1756,713,257958,-149940
306688,1725,586,265644,-149265
311232,1686,586,273348,-148500
315776,1662,439,281034,-147780
320320,1600,692,288756,-147195
324928,1560,650,296460,-146520
329472,1529,544,304164,-145800
334016,1474,671,311922,-145125
338560,1427,460,319608,-144585
343104,1356,671,327348,-144000
347712,1317,608,335088,-143415
352256,1262,481,342810,-142740
356800,1207,755,350550,-142290
361344,1145,481,358290,-141705
365888,1090,692,366030,-141210
370496,1027,650,373770,-140625
375040,941,396,381528,-140085
379520,894,713,389142,-139635
383936,831,502,396756,-139275
388416,760,608,404334,-138735
392896,690,650,411948,-138375
397376,619,460,419562,-137925
401856,580,755,427158,-137610
406336,478,460,434790,-137205
410816,407,692,442386,-136800
415232,337,502,450000,-136485
419712,266,333,457596,-136170
424192,188,164,465138,-135945
428672,117,100,472644,-135630
433152,47,270,480096,-135405
437504,-23,-46,487314,-135135
441984,-117,143,494622,-135000
446592,-164,-131,501912,-134820
451200,-266,-110,509274,-134685
455872,-337,-279,516474,-134595
460544,-407,-194,523512,-134505
465152,-478,-511,530424,-134415
469824,-580,-469,537138,-134460
474496,-643,-659,543654,-134460
479104,-713,-723,549972,-134505
483776,-784,-659,556020,-134685
488448,-870,-638,561852,-134775
493056,-941,-976,567432,-135000
497728,-1027,-1082,572724,-135225
502528,-1090,-1145,577908,-135585
507392,-1168,-1230,582786,-135900
512192,-1223,-1272,587340,-136305
516992,-1301,-1335,591498,-136710
521856,-1341,-1251,595314,-137340
526656,-1411,-1356,598752,-137835
531456,-1474,-1525,601812,-138420
536320,-1529,-1568,604404,-139185
541120,-1584,-1631,606600,-139905
545920,-1631,-1568,608364,-140760
550784,-1670,-1694,609714,-141615
555584,-1733,-1737,610578,-142560
560384,-1772,-1800,610956,-143550
565248,-1811,-1821,610938,-144810
570048,-1843,-1779,610434,-145755
574848,-1874,-1885,609516,-147150
579712,-1905,-1885,608166,-148230
584512,-1929,-1842,606384,-149625
589376,-1952,-1779,604206,-151200
594176,-1968,-1885,601596,-152640
598976,-1984,-1842,598572,-153990
603840,-1992,-2117,595116,-155475
608640,-1992,-2011,591246,-157140
613440,-1992,-1906,586944,-158985
618304,-1992,-1927,582228,-160695
623104,-1984,-1906,577116,-162540
627904,-1976,-1969,571536,-164430
632768,-1960,-1842,565650,-166275
637568,-1945,-1399,559368,-168300
642432,-1913,-1187,552780,-170370
647232,-1890,-1208,545994,-172395
652032,-1850,-828,538938,-174960
656768,-1827,-997,531864,-176985
661504,-1796,-680,524646,-178740
666240,-1749,-849,517338,-180945
670976,-1701,-575,509940,-183060
675712,-1647,-765,502488,-185130
680448,-1584,-596,494964,-187380
685184,-1545,-638,487440,-189495
689920,-1474,-680,479862,-192015
694656,-1411,-469,472248,-193815
699392,-1356,-638,464634,-196290
704128,-1286,-427,457020,-198090
708864,-1207,-701,449370,-200655
713600,-1129,-532,441756,-202320
718336,-1066,-490,434124,-204795
723072,-956,-786,426510,-206595
727744,-894,-553,419094,-208530
732416,-807,-723,411660,-210960
737024,-713,-511,404244,-212670
741696,-643,-659,396864,-214605
746368,-556,-596,389484,-216630
751040,-454,-765,382158,-218565
