time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.0,0.016,0.0,-3.14159265
0.010496,0.023,-0.004,0.0,-3.14159265
0.014272,0.07,-0.025,0.0,-3.14159265
0.018176,0.117,0.037,0.0,-3.14159265
0.022016,0.164,0.185,0.0,-3.14159265
0.025984,0.219,0.143,1.8e-05,-3.14159265
0.030016,0.266,0.227,5.4e-05,-3.14080725184
0.034048,0.313,0.27,0.000108,-3.14080725184
0.038208,0.36,0.312,0.00018,-3.14080725184
0.042304,0.407,0.417,0.000288,-3.14080725184
0.0464,0.454,0.481,0.000432,-3.14002185367
0.05056,0.533,0.523,0.000612,-3.14002185367
0.054656,0.58,0.565,0.000828,-3.13923645551
0.058752,0.619,0.608,0.001116,-3.13923645551
0.062976,0.69,0.671,0.001494,-3.13766565919
0.0672,0.737,0.734,0.001944,-3.13688026102
0.071424,0.784,0.798,0.002466,-3.1353094647
0.075584,0.831,0.819,0.003096,-3.13373866837
0.079808,0.87,0.924,0.003798,-3.13216787205
0.084032,0.941,0.882,0.00459,-3.13059707572
0.088256,0.98,1.009,0.005526,-3.1290262794
0.092544,1.027,1.094,0.00657,-3.12509928859
0.096896,1.09,1.115,0.007776,-3.12352849226
0.101248,1.129,1.157,0.00909,-3.12117229778
0.105728,1.168,1.199,0.01062,-3.11567451064
0.110336,1.223,1.347,0.012366,-3.11253291799
0.11488,1.262,1.263,0.014202,-3.10860592718
0.119424,1.317,1.326,0.016308,-3.10310814004
0.123968,1.372,1.495,0.01863,-3.09839575106
0.128512,1.411,1.474,0.021006,-3.09446876025
0.133056,1.458,1.558,0.023796,-3.08582938046
0.137664,1.498,1.685,0.026694,-3.07954619516
0.142208,1.545,1.601,0.02979,-3.07326300986
0.146752,1.576,1.748,0.033246,-3.06540902824
0.151296,1.615,1.748,0.036864,-3.05676964845
0.15584,1.647,1.791,0.040716,-3.05048646315
0.160448,1.686,1.833,0.044928,-3.03792009255
0.164992,1.725,1.833,0.049356,-3.02928071276
0.169536,1.756,1.896,0.054018,-3.02064133297
0.17408,1.796,1.981,0.059022,-3.00571876789
0.178624,1.811,1.981,0.064278,-2.99629398994
0.183232,1.843,1.918,0.069786,-2.9845130175
0.187776,1.858,1.939,0.075654,-2.96959045241
0.19232,1.89,1.833,0.081738,-2.9593802763
0.196864,1.905,1.558,0.088002,-2.94445771121
0.201408,1.921,1.495,0.094518,-2.93189134061
0.206016,1.945,1.432,0.101196,-2.91775417369
0.210624,1.96,1.094,0.108108,-2.90440240492
0.215296,1.968,1.22,0.115218,-2.88555284903
0.219904,1.976,0.903,0.122418,-2.87298647843
0.224448,1.984,1.115,0.129528,-2.8588493115
0.22912,1.992,0.755,0.136926,-2.84392674641
0.233664,1.992,1.051,0.144234,-2.82900418133
0.238336,1.992,0.777,0.151704,-2.8148670144
0.24288,1.992,0.903,0.159156,-2.79680285666
0.247424,1.992,0.777,0.166608,-2.78423648606
0.251968,1.984,0.798,0.174078,-2.7708847173
0.256512,1.976,0.755,0.181638,-2.75282055956
0.26112,1.968,0.523,0.189216,-2.74025418896
0.265664,1.952,0.798,0.196776,-2.72611702204
0.270208,1.937,0.565,0.20439,-2.71197985511
0.274752,1.913,0.755,0.212004,-2.69784268819
0.279296,1.898,0.713,0.219654,-2.68213472494
0.283904,1.882,0.671,0.227286,-2.67113915066
0.288448,1.85,0.671,0.234936,-2.6577873819
0.292992,1.827,0.46,0.242622,-2.64365021498
0.297536,1.796,0.713,0.250308,-2.62872764989
0.30208,1.756,0.713,0.257958,-2.61694667745
0.306688,1.725,0.586,0.265644,-2.60516570501
0.311232,1.686,0.586,0.273348,-2.59181393625
0.315776,1.662,0.439,0.281034,-2.57924756565
0.32032,1.6,0.692,0.288756,-2.56903738954
0.324928,1.56,0.65,0.29646,-2.5572564171
0.329472,1.529,0.544,0.304164,-2.5446900465
0.334016,1.474,0.671,0.311922,-2.53290907406
0.33856,1.427,0.46,0.319608,-2.52348429611
0.343104,1.356,0.671,0.327348,-2.51327412
0.347712,1.317,0.608,0.335088,-2.50306394389
0.352256,1.262,0.481,0.34281,-2.49128297145
0.3568,1.207,0.755,0.35055,-2.48342898983
0.361344,1.145,0.481,0.35829,-2.47321881371
0.365888,1.09,0.692,0.36603,-2.46457943393
0.370496,1.027,0.65,0.37377,-2.45436925781
0.37504,0.941,0.396,0.381528,-2.44494447986
0.37952,0.894,0.713,0.389142,-2.43709049824
0.383936,0.831,0.502,0.396756,-2.43080731294
0.388416,0.76,0.608,0.404334,-2.42138253499
0.392896,0.69,0.65,0.411948,-2.41509934969
0.397376,0.619,0.46,0.419562,-2.40724536806
0.401856,0.58,0.755,0.427158,-2.40174758092
0.406336,0.478,0.46,0.43479,-2.39467899746
0.410816,0.407,0.692,0.442386,-2.387610414
0.415232,0.337,0.502,0.45,-2.38211262686
0.419712,0.266,0.333,0.457596,-2.37661483973
0.424192,0.188,0.164,0.465138,-2.37268784891
0.428672,0.117,0.1,0.472644,-2.36719006178
0.433152,0.047,0.27,0.480096,-2.36326307096
0.437504,-0.023,-0.046,0.487314,-2.35855068199
0.441984,-0.117,0.143,0.494622,-2.3561944875
0.446592,-0.164,-0.131,0.501912,-2.35305289485
0.4512,-0.266,-0.11,0.509274,-2.35069670036
0.455872,-0.337,-0.279,0.516474,-2.34912590404
0.460544,-0.407,-0.194,0.523512,-2.34755510771
0.465152,-0.478,-0.511,0.530424,-2.34598431139
0.469824,-0.58,-0.469,0.537138,-2.34676970955
0.474496,-0.643,-0.659,0.543654,-2.34676970955
0.479104,-0.713,-0.723,0.549972,-2.34755510771
0.483776,-0.784,-0.659,0.55602,-2.35069670036
0.488448,-0.87,-0.638,0.561852,-2.35226749669
0.493056,-0.941,-0.976,0.567432,-2.3561944875
0.497728,-1.027,-1.082,0.572724,-2.36012147831
0.502528,-1.09,-1.145,0.577908,-2.36640466361
0.507392,-1.168,-1.23,0.582786,-2.37190245075
0.512192,-1.223,-1.272,0.58734,-2.37897103421
0.516992,-1.301,-1.335,0.591498,-2.38603961768
0.521856,-1.341,-1.251,0.595314,-2.39703519195
0.526656,-1.411,-1.356,0.598752,-2.40567457174
0.531456,-1.474,-1.525,0.601812,-2.41588474785
0.53632,-1.529,-1.568,0.604404,-2.42923651661
0.54112,-1.584,-1.631,0.6066,-2.44180288721
0.54592,-1.631,-1.568,0.608364,-2.4567254523
0.550784,-1.67,-1.694,0.609714,-2.47164801739
0.555584,-1.733,-1.737,0.610578,-2.4881413788
0.560384,-1.772,-1.8,0.610956,-2.50542013837
0.565248,-1.811,-1.821,0.610938,-2.52741128693
0.570048,-1.843,-1.779,0.610434,-2.54390464834
0.574848,-1.874,-1.885,0.609516,-2.56825199137
0.579712,-1.905,-1.885,0.608166,-2.58710154728
0.584512,-1.929,-1.842,0.606384,-2.61144889031
0.589376,-1.952,-1.779,0.604206,-2.638937826
0.594176,-1.968,-1.885,0.601596,-2.6640705672
0.598976,-1.984,-1.842,0.598572,-2.68763251207
0.60384,-1.992,-2.117,0.595116,-2.71355065144
0.60864,-1.992,-2.011,0.591246,-2.74261038345
0.61344,-1.992,-1.906,0.586944,-2.77481170811
0.618304,-1.992,-1.927,0.582228,-2.80465683829
0.623104,-1.984,-1.906,0.577116,-2.83685816295
0.627904,-1.976,-1.969,0.571536,-2.86984488578
0.632768,-1.96,-1.842,0.56565,-2.90204621044
0.637568,-1.945,-1.399,0.559368,-2.93738912775
0.642432,-1.913,-1.187,0.55278,-2.97351744323
0.647232,-1.89,-1.208,0.545994,-3.00886036054
0.652032,-1.85,-0.828,0.538938,-3.0536280558
0.656768,-1.827,-0.997,0.531864,-3.08897097311
0.661504,-1.796,-0.68,0.524646,-3.11960150145
0.66624,-1.749,-0.849,0.517338,-3.15808601141
0.670976,-1.701,-0.575,0.50994,-3.19499972505
0.675712,-1.647,-0.765,0.502488,-3.23112804053
0.680448,-1.584,-0.596,0.494964,-3.27039794865
0.685184,-1.545,-0.638,0.48744,-3.30731166229
0.68992,-1.474,-0.68,0.479862,-3.35129395939
0.694656,-1.411,-0.469,0.472248,-3.38270988589
0.699392,-1.356,-0.638,0.464634,-3.42590678482
0.704128,-1.286,-0.427,0.45702,-3.45732271133
0.708864,-1.207,-0.701,0.44937,-3.50209040659
0.7136,-1.129,-0.532,0.441756,-3.5311501386
0.718336,-1.066,-0.49,0.434124,-3.57434703754
0.723072,-0.956,-0.786,0.42651,-3.60576296404
0.727744,-0.894,-0.553,0.419094,-3.63953508503
0.732416,-0.807,-0.723,0.41166,-3.6819465858
0.737024,-0.713,-0.511,0.404244,-3.71179171598
0.741696,-0.643,-0.659,0.396864,-3.74556383696
0.746368,-0.556,-0.596,0.389484,-3.78090675428
0.75104,-0.454,-0.765,0.382158,-3.81467887526
0.755648,-0.36,-0.469,0.374832,-3.84766559809
0.76032,-0.266,-0.321,0.367614,-3.88143771908
0.764992,-0.164,-0.321,0.360486,-3.9144244419
0.7696,-0.094,-0.173,0.353466,-3.9458403684
0.774208,0.0,0.016,0.346716,-3.98275408204
0.778368,0.094,-0.089,0.34056,-4.00553062875
0.782784,0.164,0.079,0.334314,-4.03930274974
0.7872,0.266,0.227,0.328212,-4.06757708359
0.791616,0.337,0.27,0.322128,-4.09113902846
0.796096,0.431,0.27,0.316242,-4.11862796415
0.800576,0.533,0.46,0.310536,-4.15004389065
0.805056,0.619,0.523,0.305064,-4.1720350392
0.809536,0.69,0.671,0.299808,-4.20188016938
0.814016,0.784,0.671,0.29475,-4.2223005216
0.818496,0.87,0.84,0.289962,-4.2474332628
0.822912,0.956,0.861,0.285444,-4.27099520767
0.827392,1.043,0.988,0.281196,-4.29298635623
0.831936,1.129,1.072,0.277128,-4.32047529191
0.836608,1.184,1.199,0.273312,-4.33932484781
0.84128,1.262,1.22,0.26982,-4.3605305982
0.845888,1.341,1.241,0.266688,-4.38487794124
0.85056,1.427,1.41,0.263862,-4.40294209898
0.855168,1.498,1.474,0.261396,-4.42493324752
0.85984,1.545,1.558,0.259308,-4.44064121078
0.864448,1.6,1.622,0.257562,-4.46341775749
0.86912,1.662,1.664,0.256266,-4.47676952625
0.873728,1.709,1.748,0.25533,-4.49326288766
0.8784,1.772,1.791,0.254718,-4.5113270454
0.883008,1.811,1.918,0.254592,-4.52860580498
0.88768,1.843,1.918,0.25479,-4.54117217558
0.892352,1.89,1.981,0.255348,-4.55609474066
0.89696,1.913,2.065,0.256302,-4.56944650943
0.901632,1.945,2.15,0.257544,-4.58279827819
0.90624,1.96,1.96,0.259074,-4.59850624144
0.910912,1.976,2.044,0.260982,-4.60950181571
0.91552,1.992,2.171,0.26325,-4.62049738999
