time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.0,-0.015,0.0,-3.14159265
0.010624,0.088,-0.036,0.0,-3.14159265
0.014464,0.205,0.09,0.0,-3.14159265
0.018368,0.333,0.238,3.6e-05,-3.14159265
0.0224,0.45,0.344,7.2e-05,-3.14159265
0.026432,0.568,0.513,0.00018,-3.14080725184
0.030528,0.696,0.661,0.00036,-3.14080725184
0.034624,0.803,0.745,0.000612,-3.13923645551
0.038784,0.921,0.914,0.001008,-3.13845105735
0.043008,1.068,0.999,0.001494,-3.13766565919
0.047296,1.196,1.21,0.00216,-3.13609486286
0.051648,1.303,1.316,0.002988,-3.13295327021
0.056,1.431,1.442,0.003996,-3.13138247389
0.060416,1.529,1.633,0.00522,-3.1290262794
0.064768,1.647,1.823,0.00666,-3.12509928859
0.069184,1.764,1.949,0.008334,-3.12117229778
0.073536,1.872,1.992,0.010278,-3.11724530696
0.078016,1.97,2.372,0.012564,-3.11174751983
0.082432,2.039,2.309,0.01512,-3.10546433453
0.086912,2.127,2.224,0.018036,-3.09918114923
0.091392,2.196,2.499,0.02124,-3.09211256576
0.095872,2.254,2.52,0.02484,-3.08347318597
0.100288,2.323,2.604,0.028782,-3.07404840802
0.104832,2.372,2.668,0.033138,-3.06462363008
0.10944,2.421,2.562,0.038016,-3.0536280558
0.113984,2.45,2.266,0.043146,-3.04263248153
0.118528,2.47,2.034,0.048636,-3.03085150909
0.123072,2.49,1.928,0.054486,-3.01749974032
0.127616,2.5,1.907,0.060552,-3.0033625734
0.132224,2.49,1.611,0.066834,-2.99001080464
0.136768,2.48,1.379,0.073332,-2.97587363771
0.141312,2.45,1.485,0.079992,-2.96095107262
0.145856,2.431,1.147,0.086814,-2.94367231305
0.1504,2.382,1.21,0.093744,-2.93110594245
0.155008,2.313,1.062,0.100818,-2.9153979792
0.159616,2.264,1.083,0.10809,-2.89811921963
0.164288,2.186,0.914,0.115434,-2.88476745086
0.168832,2.107,1.02,0.122742,-2.86905948761
0.17344,2.019,0.766,0.13023,-2.85413692252
0.178048,1.911,0.893,0.137646,-2.83842895928
0.182592,1.823,0.639,0.145116,-2.82272099603
0.187136,1.696,0.872,0.152586,-2.80465683829
0.19168,1.578,0.639,0.160128,-2.79209046769
0.196288,1.46,0.766,0.167706,-2.7771679026
0.200832,1.333,0.724,0.175266,-2.75910374486
0.205376,1.176,0.618,0.182862,-2.74653737426
0.20992,1.009,0.787,0.190476,-2.73161480917
0.214464,0.892,0.492,0.19809,-2.71747764225
