time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,-0.019,0.0,-3.14159265
0.010816,0.425,0.423,0.0,-3.14159265
0.014848,0.4,0.444,9e-05,-3.14080725184
0.01888,0.4,0.444,0.00018,-3.14080725184
0.022976,0.4,0.444,0.000288,-3.14080725184
0.027136,0.4,0.423,0.000486,-3.14002185367
0.031232,0.4,0.402,0.000702,-3.14002185367
0.035328,0.4,0.402,0.000936,-3.13923645551
0.039488,0.4,0.444,0.001224,-3.13923645551
0.043648,0.4,0.381,0.001548,-3.13766565919
0.047872,0.4,0.444,0.001908,-3.13766565919
0.052096,0.426,0.487,0.002286,-3.13688026102
0.056384,0.4,0.444,0.0027,-3.13373866837
0.060608,0.4,0.444,0.003168,-3.13373866837
0.064768,0.4,0.466,0.0036,-3.13373866837
0.068992,0.42,0.444,0.004104,-3.13138247389
0.07328,0.4,0.444,0.004698,-3.12981167756
0.077504,0.4,0.466,0.005238,-3.1290262794
0.081728,0.4,0.466,0.005778,-3.1290262794
0.085952,0.4,0.402,0.00639,-3.12667008491
0.090112,0.4,0.423,0.007074,-3.12431389043
0.094336,0.483,0.423,0.007686,-3.12431389043
0.098624,0.588,0.571,0.008334,-3.12195769594
0.102912,0.488,0.656,0.009126,-3.11960150145
0.107328,0.4,0.592,0.009918,-3.11803070513
0.111616,0.449,0.423,0.010674,-3.11724530696
0.116096,0.4,0.508,0.011538,-3.11488911248
0.120448,0.4,0.402,0.012438,-3.11331831615
0.124864,0.4,0.423,0.013302,-3.11174751983
0.129216,0.4,0.423,0.014202,-3.10939132534
0.133632,0.4,0.444,0.015156,-3.10703513085
0.138048,0.4,0.444,0.01611,-3.10546433453
0.1424,0.4,0.55,0.017064,-3.1038935382
0.146816,0.444,0.487,0.018054,-3.10075194555
0.151296,0.4,0.466,0.019062,-3.09918114923
0.155648,0.4,0.402,0.020088,-3.09682495474
0.160064,0.4,0.466,0.021132,-3.09446876025
0.164416,0.4,0.487,0.022194,-3.09289796393
0.168832,0.4,0.487,0.023256,-3.09054176944
0.173184,0.4,0.487,0.024354,-3.08740017679
0.1776,0.4,0.444,0.025488,-3.08582938046
0.181952,0.4,0.402,0.026604,-3.08347318597
0.186368,0.4,0.466,0.027774,-3.08111699149
0.190784,0.592,0.444,0.028962,-3.07954619516
0.1952,0.719,0.698,0.030186,-3.07719000067
0.19968,0.681,0.846,0.031518,-3.07404840802
0.20416,0.792,0.761,0.03294,-3.07090681538
0.20864,0.668,0.93,0.034344,-3.06855062089
0.21312,0.55,0.677,0.035928,-3.06462363008
0.2176,0.39,0.635,0.03762,-3.06226743559
0.22208,0.6,0.402,0.039258,-3.0599112411
0.22656,0.673,0.677,0.040968,-3.05598425029
0.23104,0.734,0.761,0.04284,-3.05048646315
0.235456,0.741,0.804,0.044694,-3.04813026866
0.239936,0.663,0.846,0.046602,-3.04577407418
0.244416,0.739,0.74,0.04869,-3.04027628704
0.248896,0.801,0.783,0.050778,-3.03713469439
0.253376,0.856,0.867,0.05301,-3.03242230541
0.257856,0.758,0.973,0.05535,-3.02770991644
0.262336,0.608,0.888,0.057762,-3.02299752746
0.266816,0.499,0.698,0.060264,-3.01985593481
0.271296,0.579,0.74,0.062802,-3.01435814768
0.275712,0.572,0.698,0.06543,-3.0096457587
0.280192,0.681,0.656,0.068112,-3.00493336973
0.284672,0.62,0.846,0.070794,-2.99943558259
0.289152,0.586,0.677,0.073602,-2.99472319361
0.293632,0.392,0.74,0.076428,-2.99001080464
0.298112,0.45,0.444,0.079326,-2.9845130175
0.302592,0.395,0.466,0.082224,-2.97980062853
0.307072,0.387,0.508,0.08514,-2.97430284139
0.311488,0.377,0.381,0.08811,-2.96880505425
0.315968,0.187,0.466,0.091062,-2.96487806344
0.320448,0.1,0.212,0.093996,-2.96016567446
0.324928,-0.031,0.085,0.096912,-2.95466788733
0.329344,0.008,-0.019,0.099774,-2.95074089651
0.333632,0.05,-0.019,0.102456,-2.9468139057
0.338112,0.126,0.064,0.105228,-2.94210151673
0.342592,0.124,0.128,0.107982,-2.93817452591
0.347136,0.11,0.17,0.1107,-2.9342475351
0.35168,0.114,0.106,0.113364,-2.93110594245
0.356224,0.321,0.128,0.115992,-2.9279643498
0.360768,0.51,0.381,0.11862,-2.92403735899
