time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,0.001,0.0,-3.14159265
0.010624,0.425,0.424,0.0,-3.14159265
0.014656,0.4,0.466,9e-05,-3.14080725184
0.018688,0.4,0.445,0.000162,-3.14080725184
0.022848,0.4,0.403,0.00027,-3.14080725184
0.026944,0.4,0.466,0.000468,-3.14002185367
0.03104,0.4,0.445,0.000702,-3.13923645551
0.0352,0.4,0.382,0.000954,-3.13923645551
0.039296,0.4,0.424,0.001224,-3.13923645551
0.04352,0.4,0.382,0.001548,-3.13766565919
0.047744,0.4,0.445,0.00189,-3.13688026102
0.051904,0.426,0.403,0.002268,-3.13688026102
0.056192,0.4,0.445,0.002682,-3.13452406654
0.060416,0.4,0.466,0.003132,-3.13373866837
0.06464,0.4,0.445,0.0036,-3.13373866837
0.068864,0.42,0.424,0.004104,-3.13216787205
0.073152,0.4,0.487,0.004644,-3.13138247389
0.077312,0.4,0.466,0.005202,-3.12981167756
0.081536,0.4,0.445,0.00576,-3.12824088124
0.08576,0.4,0.382,0.006336,-3.12745548308
0.089984,0.4,0.445,0.006966,-3.12588468675
0.094144,0.483,0.424,0.00765,-3.12352849226
0.098432,0.588,0.508,0.008316,-3.1227430941
0.10272,0.488,0.656,0.009036,-3.12117229778
0.107136,0.4,0.466,0.009864,-3.11881610329
0.111424,0.449,0.403,0.010638,-3.11724530696
0.115904,0.4,0.445,0.011484,-3.11567451064
0.12032,0.4,0.487,0.01242,-3.11331831615
0.124672,0.4,0.466,0.013284,-3.11174751983
0.129088,0.4,0.382,0.014202,-3.10939132534
0.13344,0.4,0.466,0.015192,-3.10782052901
0.137856,0.4,0.445,0.016128,-3.10624973269
0.142208,0.4,0.445,0.017118,-3.1038935382
0.146624,0.444,0.445,0.018162,-3.10075194555
0.151104,0.4,0.508,0.019188,-3.09918114923
0.155456,0.4,0.508,0.020232,-3.0976103529
0.159872,0.4,0.466,0.021294,-3.09446876025
0.164288,0.4,0.445,0.02241,-3.09211256576
0.16864,0.4,0.466,0.023526,-3.0913271676
0.173056,0.4,0.403,0.024642,-3.08818557495
0.177408,0.4,0.424,0.025794,-3.08582938046
0.181824,0.4,0.424,0.027,-3.08425858414
0.186176,0.4,0.382,0.028188,-3.08033159332
0.190592,0.592,0.487,0.029394,-3.078760797
0.195072,0.719,0.635,0.030672,-3.07719000067
0.199552,0.681,0.762,0.032076,-3.0724776117
0.203968,0.792,0.762,0.033534,-3.06933601905
0.208448,0.668,0.868,0.034956,-3.06855062089
0.212928,0.55,0.699,0.036558,-3.06462363008
0.217408,0.39,0.635,0.03834,-3.0599112411
0.221888,0.6,0.382,0.040014,-3.05834044478
0.226368,0.673,0.72,0.041724,-3.05519885213
0.230784,0.734,0.783,0.04365,-3.05048646315
0.235264,0.741,0.825,0.045558,-3.04655947234
0.239744,0.663,0.825,0.047538,-3.04420327785
0.244224,0.739,0.762,0.049608,-3.03949088888
0.248704,0.801,0.868,0.05175,-3.0347784999
0.253184,0.856,0.91,0.05409,-3.03085150909
0.257664,0.758,0.973,0.05643,-3.02613912011
0.262144,0.608,0.804,0.058878,-3.0222121293
0.26656,0.499,0.699,0.061398,-3.01828513849
0.27104,0.579,0.551,0.064026,-3.01200195319
0.27552,0.572,0.635,0.066672,-3.00807496238
0.28,0.681,0.593,0.069372,-3.0033625734
0.28448,0.62,0.762,0.072126,-2.9970793881
0.28896,0.586,0.72,0.074988,-2.99236699913
0.29344,0.392,0.593,0.077832,-2.98765461015
0.29792,0.45,0.487,0.080748,-2.98215682301
0.302336,0.395,0.424,0.0837,-2.9782298322
0.306816,0.387,0.466,0.08667,-2.97273204506
0.311296,0.377,0.487,0.089676,-2.96723425792
0.315776,0.187,0.318,0.092682,-2.96330726711
0.320256,0.1,0.255,0.095652,-2.95859487814
0.324736,-0.031,0.065,0.09864,-2.95231169284
0.329088,0.008,-0.04,0.101538,-2.94917010019
0.333504,0.05,0.023,0.104346,-2.94445771121
0.33792,0.126,0.065,0.107118,-2.93895992408
0.342336,0.124,0.192,0.109926,-2.93581833143
0.346944,0.11,0.086,0.11268,-2.93189134061
0.351424,0.114,0.128,0.115326,-2.92874974796
0.355968,0.321,0.107,0.118044,-2.92482275715
0.360512,0.51,0.403,0.120708,-2.9216811645
0.365056,0.565,0.635,0.123372,-2.91853957185
0.3696,0.391,0.551,0.12609,-2.9153979792
0.374208,0.372,0.445,0.12879,-2.91225638655
0.378752,0.23,0.403,0.131526,-2.90990019206
0.383296,0.3,0.234,0.13428,-2.90754399757
0.38784,0.312,0.318,0.136998,-2.90361700676
0.392384,0.246,0.339,0.139752,-2.90047541411
0.396992,0.354,0.297,0.142452,-2.89890461779
0.401536,0.344,0.403,0.145116,-2.89576302514
0.40608,0.248,0.572,0.147852,-2.89340683065
0.410624,0.27,0.234,0.150534,-2.89105063616
0.415168,0.198,0.339,0.15318,-2.88947983984
0.419776,0.238,0.192,0.155862,-2.88790904351
0.42432,0.081,0.234,0.15849,-2.88555284903
0.4288,0.081,0.086,0.161064,-2.8839820527
