time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,0.005,0.0,-3.14159265
0.010624,0.425,0.448,1.8e-05,-3.14159265
0.01472,0.4,0.469,0.000108,-3.14080725184
0.01888,0.4,0.448,0.00018,-3.14080725184
0.022976,0.4,0.491,0.000306,-3.14080725184
0.027136,0.4,0.427,0.000522,-3.13923645551
0.031232,0.4,0.406,0.000756,-3.13845105735
0.035328,0.4,0.406,0.001044,-3.13845105735
0.039552,0.4,0.364,0.00135,-3.13766565919
0.043776,0.4,0.427,0.001692,-3.13688026102
0.048,0.4,0.469,0.002088,-3.13609486286
0.05216,0.426,0.385,0.002502,-3.1353094647
0.056448,0.4,0.491,0.002952,-3.13373866837
0.060672,0.4,0.427,0.003474,-3.13295327021
0.064896,0.4,0.427,0.003978,-3.13216787205
0.06912,0.42,0.491,0.004518,-3.13059707572
0.073408,0.4,0.469,0.005112,-3.1290262794
0.077568,0.4,0.385,0.005706,-3.12824088124
0.081792,0.4,0.3,0.006318,-3.12745548308
0.086016,0.4,0.448,0.006948,-3.12509928859
0.09024,0.4,0.469,0.007632,-3.12431389043
0.0944,0.483,0.406,0.008298,-3.12195769594
0.098688,0.588,0.491,0.009018,-3.11960150145
0.102976,0.488,0.681,0.009774,-3.11881610329
0.107392,0.4,0.533,0.010566,-3.11724530696
0.111808,0.449,0.448,0.011412,-3.11567451064
0.116224,0.4,0.469,0.012312,-3.11331831615
0.12064,0.4,0.427,0.013194,-3.11174751983
0.125056,0.4,0.406,0.014076,-3.10939132534
0.129408,0.4,0.427,0.01503,-3.10782052901
0.133824,0.4,0.448,0.015966,-3.10624973269
0.138176,0.4,0.406,0.01692,-3.10310814004
0.142592,0.4,0.533,0.017928,-3.10075194555
0.146944,0.444,0.406,0.018918,-3.09918114923
0.151424,0.4,0.512,0.019944,-3.09682495474
0.15584,0.4,0.406,0.021006,-3.09525415841
0.160192,0.4,0.448,0.02205,-3.09289796393
0.164608,0.4,0.448,0.023112,-3.09054176944
0.16896,0.4,0.469,0.02421,-3.08818557495
0.173376,0.4,0.512,0.025326,-3.08582938046
0.177792,0.4,0.491,0.02646,-3.08425858414
0.182144,0.4,0.427,0.027612,-3.08111699149
0.18656,0.4,0.469,0.028818,-3.078760797
0.190912,0.592,0.448,0.030024,-3.07719000067
0.195392,0.719,0.638,0.031284,-3.07404840802
0.199872,0.681,0.807,0.032652,-3.07169221354
0.204352,0.792,0.807,0.034092,-3.06933601905
0.208832,0.668,0.85,0.03555,-3.0661944264
0.213312,0.55,0.744,0.037188,-3.06305283375
0.217792,0.39,0.596,0.03888,-3.05912584294
0.222208,0.6,0.427,0.040572,-3.05676964845
0.226688,0.673,0.66,0.042336,-3.05441345396
0.231168,0.734,0.744,0.044226,-3.04813026866
0.235648,0.741,0.807,0.046116,-3.04498867601
