time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007808,0.8,0.015,0.0,-3.14159265
0.011456,0.8,0.902,7.2e-05,-3.14159265
0.015296,0.8,0.881,0.000252,-3.13923645551
0.019328,0.8,0.881,0.000432,-3.14080725184
0.023296,0.8,0.881,0.000738,-3.14080725184
0.027264,0.8,0.86,0.00117,-3.13845105735
0.03136,0.8,0.881,0.001674,-3.13766565919
0.035392,0.8,0.86,0.002232,-3.13766565919
0.039488,0.8,0.881,0.002952,-3.1353094647
0.04352,0.8,0.881,0.003726,-3.13295327021
0.047616,0.8,0.902,0.00459,-3.13216787205
0.051712,0.8,0.86,0.00558,-3.1290262794
0.055744,0.8,0.881,0.006624,-3.12588468675
0.05984,0.8,0.881,0.00774,-3.12431389043
0.063872,0.8,0.923,0.008946,-3.12195769594
0.067968,0.8,0.902,0.010278,-3.11803070513
0.072128,0.8,0.923,0.011682,-3.11488911248
0.076288,0.8,0.944,0.013122,-3.11253291799
0.080384,0.8,0.923,0.014706,-3.10782052901
0.084544,0.8,0.86,0.016398,-3.1038935382
0.088704,0.8,0.944,0.018108,-3.10075194555
0.092864,0.8,0.86,0.019926,-3.09682495474
0.097024,0.8,0.881,0.021834,-3.0913271676
0.101184,0.8,0.944,0.023814,-3.08818557495
0.105408,0.8,0.902,0.025902,-3.08347318597
0.109696,0.8,0.965,0.028116,-3.07797539884
0.11392,0.8,0.944,0.030384,-3.07404840802
0.118208,0.8,0.881,0.032724,-3.06933601905
0.122432,0.8,0.881,0.035208,-3.06305283375
0.126656,0.8,0.965,0.037746,-3.05676964845
0.130944,0.8,0.86,0.040338,-3.05205725948
0.135168,0.8,0.986,0.043074,-3.04498867601
0.139456,0.8,0.881,0.045882,-3.03792009255
0.14368,0.8,0.944,0.048762,-3.03320770358
0.147904,0.8,0.902,0.051714,-3.02770991644
0.152192,0.8,0.902,0.054774,-3.02064133297
0.156416,0.8,0.965,0.057924,-3.01435814768
0.16064,0.8,0.839,0.061128,-3.00807496238
0.164928,0.8,0.839,0.06444,-3.00100637891
0.169152,0.8,0.986,0.06786,-2.99393779545
0.17344,0.8,0.944,0.071334,-2.98686921199
0.177664,0.8,0.902,0.074862,-2.97980062853
0.181888,0.8,0.923,0.078534,-2.97037585057
0.186176,0.8,0.965,0.082242,-2.96409266527
0.1904,0.8,1.008,0.08604,-2.95780947997
0.194752,0.8,0.881,0.090018,-2.94759930386
0.198976,0.8,0.881,0.093978,-2.93974532224
0.203264,0.8,0.923,0.09801,-2.93189134061
0.207488,0.8,0.923,0.102132,-2.92403735899
0.21184,0.8,0.965,0.106416,-2.91618337736
0.216192,0.8,0.986,0.110754,-2.90832939574
0.22048,0.8,1.05,0.115182,-2.90047541411
0.224896,0.8,0.944,0.11979,-2.89183603433
0.229248,0.8,1.113,0.12438,-2.88162585821
