time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.233,0.005,-7.2e-05,-0.0871791960375,0.0004
0.004928,-1.363,-1.199,-9e-05,-0.0871791960375,0.0008
0.009664,-1.633,-1.325,-0.000378,-0.0871791960375,0.0012
0.014528,-1.178,-1.41,-0.000792,-0.0840376033875,0.0016
0.01952,-1.293,-1.156,-0.001656,-0.083252205225,0.002
0.02464,-1.106,-1.283,-0.0027,-0.07853981625,0.0024
0.029696,-1.029,-1.072,-0.004104,-0.0761836217625,0.0028
0.034816,-0.752,-0.86,-0.005544,-0.0699004364625,0.0032
0.039744,-0.979,-0.713,-0.007254,-0.0683296401375,0.0036
0.044608,-0.776,-0.882,-0.008964,-0.061261056675,0.004
0.049536,-0.488,-0.755,-0.010872,-0.0573340658625,0.0044
0.054528,-0.574,-0.417,-0.012834,-0.0510508805625,0.0048
0.05952,-0.306,-0.501,-0.01485,-0.045553093425,0.0052
0.064576,-0.438,-0.332,-0.016992,-0.0400553062875,0.0056
0.069568,-0.18,-0.353,-0.019008,-0.0337721209875,0.006
0.07456,-0.432,-0.121,-0.021132,-0.029845130175,0.0064
0.079552,-0.061,-0.438,-0.023166,-0.02199114855,0.0068
0.08448,-0.142,-0.1,-0.0252,-0.0188495559,0.0072
0.089472,0.0,-0.163,-0.027108,-0.010995574275,0.0076
0.094144,-0.034,-0.058,-0.02898,-0.0086393797875,0.008
0.09888,0.003,-0.015,-0.030672,-0.001570796325,0.0084
0.10336,0.081,-0.036,-0.032328,0.0007853981625,0.0088
0.107904,-0.354,0.068,-0.033894,0.004712388975,0.0092
0.11264,0.641,-0.29,-0.035388,0.0125663706,0.0096
0.117504,-0.069,0.639,-0.037008,0.0125663706,0.01
0.122368,0.233,-0.036,-0.038232,0.020420352225,0.0104
0.127232,0.243,0.195,-0.039672,0.0212057503875,0.0108
0.13216,0.527,0.258,-0.040734,0.0290597320125,0.0112
0.137088,0.032,0.533,-0.04176,0.026703537525,0.0116
0.141888,-0.026,0.005,-0.042588,0.032986722825,0.012
0.146624,0.511,-0.036,-0.043362,0.0337721209875,0.0124
0.151552,0.023,0.533,-0.04392,0.036128315475,0.0128
0.156416,0.482,0.026,-0.04437,0.039269908125,0.0132
0.161216,-0.192,0.47,-0.04491,0.0376991118,0.0136
0.166208,0.45,-0.184,-0.045018,0.0431968989375,0.014
0.171264,0.042,0.448,-0.045378,0.0400553062875,0.0144
0.176064,0.821,0.047,-0.04527,0.0447676952625,0.0148
0.180864,-0.079,0.892,-0.045432,0.04084070445,0.0152
0.185792,0.658,-0.036,-0.045162,0.0447676952625,0.0156
0.19072,0.635,0.723,-0.04509,0.0416261026125,0.016
0.195648,1.146,0.723,-0.044622,0.04712388975,0.0164
0.20064,0.655,1.23,-0.04428,0.0416261026125,0.0168
0.205632,0.703,0.808,-0.043488,0.045553093425,0.0172
0.210496,0.435,0.765,-0.04284,0.039269908125,0.0176
0.215424,0.515,0.554,-0.041886,0.042411500775,0.018
0.220352,0.957,0.491,-0.040932,0.039269908125,0.0184
0.22528,0.141,1.125,-0.039888,0.0369137136375,0.0188
0.230272,0.743,0.174,-0.03861,0.0369137136375,0.0192
0.2352,0.079,0.892,-0.037566,0.0314159265,0.0196
0.24,1.091,0.174,-0.036108,0.036128315475,0.02
0.244992,0.235,1.315,-0.034902,0.026703537525,0.0204
0.249984,0.363,0.258,-0.033318,0.0306305283375,0.0208
0.254912,0.48,0.448,-0.03204,0.023561944875,0.0212
0.25984,0.46,0.575,-0.030402,0.0259181393625,0.0216
0.264768,0.049,0.575,-0.028908,0.017278759575,0.022
0.269504,0.043,0.026,-0.027468,0.0196349540625,0.0224
0.27424,1.185,0.026,-0.025956,0.0180641577375,0.0228
0.279168,-0.247,1.272,-0.024462,0.0117809724375,0.0232
0.28416,0.135,-0.332,-0.022698,0.0117809724375,0.0236
0.289088,0.213,0.11,-0.021384,0.007853981625,0.024
0.293888,0.736,0.237,-0.019602,0.00942477795,0.0244
0.298752,-0.833,0.808,-0.018216,-0.0023561944875,0.0248
0.303744,0.244,-0.818,-0.01656,0.004712388975,0.0252
0.308672,0.646,0.258,-0.015354,-0.0023561944875,0.0256
0.313536,0.209,0.829,-0.01368,0.0,0.026
0.318208,-0.389,0.195,-0.012456,-0.0086393797875,0.0264
0.3232,-0.105,-0.375,-0.011034,-0.0054977871375,0.0268
0.32832,0.393,-0.121,-0.009666,-0.0102101761125,0.0272
