#time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0,-1233,5,-72,-4995,400
4928,-1363,-1199,-90,-4995,800
9664,-1633,-1325,-378,-4995,1200
14528,-1178,-1410,-792,-4815,1600
19520,-1293,-1156,-1656,-4770,2000
24640,-1106,-1283,-2700,-4500,2400
29696,-1029,-1072,-4104,-4365,2800
34816,-752,-860,-5544,-4005,3200
39744,-979,-713,-7254,-3915,3600
44608,-776,-882,-8964,-3510,4000
49536,-488,-755,-10872,-3285,4400
54528,-574,-417,-12834,-2925,4800
59520,-306,-501,-14850,-2610,5200
64576,-438,-332,-16992,-2295,5600
69568,-180,-353,-19008,-1935,6000
74560,-432,-121,-21132,-1710,6400
79552,-61,-438,-23166,-1260,6800
84480,-142,-100,-25200,-1080,7200
89472,0,-163,-27108,-630,7600
94144,-34,-58,-28980,-495,8000
98880,3,-15,-30672,-90,8400
103360,81,-36,-32328,45,8800
107904,-354,68,-33894,270,9200
112640,641,-290,-35388,720,9600
117504,-69,639,-37008,720,10000
122368,233,-36,-38232,1170,10400
127232,243,195,-39672,1215,10800
132160,527,258,-40734,1665,11200
137088,32,533,-41760,1530,11600
141888,-26,5,-42588,1890,12000
146624,511,-36,-43362,1935,12400
151552,23,533,-43920,2070,12800
156416,482,26,-44370,2250,13200
161216,-192,470,-44910,2160,13600
166208,450,-184,-45018,2475,14000
171264,42,448,-45378,2295,14400
176064,821,47,-45270,2565,14800
180864,-79,892,-45432,2340,15200
185792,658,-36,-45162,2565,15600
190720,635,723,-45090,2385,16000
195648,1146,723,-44622,2700,16400
200640,655,1230,-44280,2385,16800
205632,703,808,-43488,2610,17200
210496,435,765,-42840,2250,17600
215424,515,554,-41886,2430,18000
220352,957,491,-40932,2250,18400
225280,141,1125,-39888,2115,18800
230272,743,174,-38610,2115,19200
235200,79,892,-37566,1800,19600
240000,1091,174,-36108,2070,20000
244992,235,1315,-34902,1530,20400
249984,363,258,-33318,1755,20800
254912,480,448,-32040,1350,21200
259840,460,575,-30402,1485,21600
264768,49,575,-28908,990,22000
269504,43,26,-27468,1125,22400
274240,1185,26,-25956,1035,22800
279168,-247,1272,-24462,675,23200
284160,135,-332,-22698,675,23600
289088,213,110,-21384,450,24000
293888,736,237,-19602,540,24400
298752,-833,808,-18216,-135,24800
303744,244,-818,-16560,270,25200
308672,646,258,-15354,-135,25600
313536,209,829,-13680,0,26000
318208,-389,195,-12456,-495,26400
323200,-105,-375,-11034,-315,26800
328320,393,-121,-9666,-585,27200
333248,-369,491,-8388,-675,27600
338176,347,-311,-7110,-675,28000
343104,178,343,-6120,-765,28400
347904,345,216,-4842,-765,28800
352768,-865,406,-3834,-1215,29200
357760,118,-839,-2682,-900,29600
362688,349,89,-1908,-1170,30000
367488,35,470,-882,-1035,30400
372288,-314,47,-162,-1350,30800
377088,-417,-311,558,-1260,31200
382016,385,-396,1206,-1260,31600
386944,-49,385,1728,-1305,32000
391808,131,26,2340,-1260,32400
396544,-25,132,2664,-1305,32800
401344,58,5,3132,-1260,33200
405888,2,89,3492,-1305,33600
410496,-347,5,3708,-1350,34000
415232,486,-332,3996,-1125,34400
420160,64,554,4032,-1260,34800
424896,94,-15,4266,-1080,35200
429632,89,89,4302,-1170,35600
434304,-613,110,4302,-1035,36000
439232,371,-607,4374,-990,36400
