time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.474,-0.008,0.0,-0.0871791960375,0.0004
0.005248,-1.474,-1.402,-1.8e-05,-0.086393797875,0.0008
0.010688,-1.489,-1.317,-0.000432,-0.0856083997125,0.0012
0.016512,-1.315,-1.444,-0.001098,-0.0808960107375,0.0016
0.022336,-0.997,-1.233,-0.002268,-0.0777544180875,0.002
0.028096,-0.659,-0.937,-0.003726,-0.0730420291125,0.0024
0.033792,-0.314,-0.62,-0.005346,-0.0667588438125,0.0028
0.039424,-0.004,-0.303,-0.00711,-0.062831853,0.0032
0.044928,0.168,0.013,-0.008748,-0.058119464025,0.0036
0.050368,0.27,0.118,-0.010296,-0.051836278725,0.004
0.055936,0.329,0.308,-0.0117,-0.048694686075,0.0044
0.061504,0.27,0.33,-0.012906,-0.045553093425,0.0048
0.067136,0.155,0.245,-0.013968,-0.04084070445,0.0052
0.072704,0.052,0.118,-0.014742,-0.0384845099625,0.0056
0.078208,-0.093,0.055,-0.015426,-0.0369137136375,0.006
0.083712,-0.234,-0.134,-0.015966,-0.0337721209875,0.0064
0.089472,-0.315,-0.24,-0.016452,-0.0314159265,0.0068
0.095232,-0.377,-0.261,-0.016902,-0.0306305283375,0.0072
0.100992,-0.437,-0.324,-0.017334,-0.02827433385,0.0076
0.10688,-0.458,-0.43,-0.017838,-0.026703537525,0.008
0.112704,-0.466,-0.472,-0.018288,-0.0251327412,0.0084
0.118592,-0.456,-0.43,-0.018828,-0.023561944875,0.0088
0.12448,-0.399,-0.472,-0.019404,-0.0188495559,0.0092
0.130304,-0.277,-0.388,-0.020034,-0.0188495559,0.0096
0.136192,-0.236,-0.282,-0.020664,-0.0149225650875,0.01
0.142016,-0.146,-0.261,-0.02133,-0.0133517687625,0.0104
0.147904,-0.109,-0.177,-0.021924,-0.0102101761125,0.0108
0.153792,-0.074,-0.134,-0.0225,-0.00942477795,0.0112
0.159552,-0.1,-0.071,-0.022932,-0.0062831853,0.0116
0.165312,-0.106,-0.134,-0.023382,-0.0054977871375,0.012
0.171136,-0.153,-0.113,-0.023706,-0.00314159265,0.0124
0.177024,-0.165,-0.177,-0.024066,-0.001570796325,0.0128
0.182784,-0.196,-0.155,-0.0243,-0.0007853981625,0.0132
0.188544,-0.242,-0.198,-0.024588,0.0,0.0136
0.194048,-0.288,-0.282,-0.024822,0.001570796325,0.014
0.199744,-0.304,-0.324,-0.025038,0.0023561944875,0.0144
0.205504,-0.305,-0.346,-0.025272,0.0039269908125,0.0148
0.211328,-0.27,-0.303,-0.025488,0.0054977871375,0.0152
0.217088,-0.219,-0.282,-0.025722,0.0070685834625,0.0156
0.222848,-0.181,-0.24,-0.025938,0.0070685834625,0.016
0.228608,-0.182,-0.177,-0.026154,0.00942477795,0.0164
0.234368,-0.146,-0.198,-0.026334,0.0102101761125,0.0168
0.240128,-0.146,-0.177,-0.026424,0.010995574275,0.0172
0.245888,-0.151,-0.177,-0.026514,0.0125663706,0.0176
0.251712,0.445,-0.134,-0.026514,0.0133517687625,0.018
0.257344,0.447,0.477,-0.026496,0.014137166925,0.0184
0.262912,0.489,0.456,-0.026316,0.0149225650875,0.0188
0.268544,0.453,0.541,-0.026028,0.014137166925,0.0192
0.274112,0.368,0.477,-0.025578,0.014137166925,0.0196
0.27968,0.267,0.414,-0.02502,0.0133517687625,0.02
0.285312,0.16,0.287,-0.024408,0.0125663706,0.0204
0.29088,0.058,0.139,-0.023724,0.0117809724375,0.0208
0.29632,-0.025,0.097,-0.023076,0.0102101761125,0.0212
0.301824,-0.083,-0.029,-0.022428,0.0102101761125,0.0216
0.307456,-0.08,-0.092,-0.021852,0.0102101761125,0.022
0.313088,-0.036,-0.071,-0.02133,0.00942477795,0.0224
0.318656,0.005,-0.029,-0.020862,0.00942477795,0.0228
0.324096,0.059,-0.008,-0.020484,0.00942477795,0.0232
0.329536,0.114,0.055,-0.020106,0.00942477795,0.0236
0.33504,0.153,0.118,-0.019818,0.00942477795,0.024
0.340608,0.18,0.16,-0.019512,0.00942477795,0.0244
0.34624,0.197,0.139,-0.01926,0.0102101761125,0.0248
0.351808,0.218,0.182,-0.018972,0.0102101761125,0.0252
0.357376,0.225,0.224,-0.018702,0.0102101761125,0.0256
0.362944,0.211,0.16,-0.01845,0.0102101761125,0.026
0.368576,0.194,0.224,-0.018126,0.010995574275,0.0264
0.374144,0.202,0.16,-0.017892,0.010995574275,0.0268
0.379712,0.189,0.203,-0.017586,0.010995574275,0.0272
0.385344,0.18,0.076,-0.017262,0.010995574275,0.0276
0.390848,0.167,0.182,-0.016956,0.0117809724375,0.028
0.396416,0.19,0.16,-0.016614,0.0117809724375,0.0284
0.401984,0.19,0.16,-0.01629,0.0117809724375,0.0288
0.407616,0.19,0.203,-0.015912,0.0125663706,0.0292
0.413184,0.207,0.203,-0.015588,0.0125663706,0.0296
0.418752,0.196,0.224,-0.01521,0.0117809724375,0.03
0.42432,0.161,0.182,-0.014832,0.0125663706,0.0304
0.429952,0.166,0.16,-0.014508,0.0133517687625,0.0308
0.43552,0.182,0.16,-0.014112,0.0125663706,0.0312
0.441088,0.162,0.16,-0.01377,0.0125663706,0.0316
0.446656,0.155,0.203,-0.013446,0.0133517687625,0.032
0.452288,0.17,0.16,-0.013086,0.0133517687625,0.0324
