#time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0,-1474,-8,0,-4995,400
5248,-1474,-1402,-18,-4950,800
10688,-1489,-1317,-432,-4905,1200
16512,-1315,-1444,-1098,-4635,1600
22336,-997,-1233,-2268,-4455,2000
28096,-659,-937,-3726,-4185,2400
33792,-314,-620,-5346,-3825,2800
39424,-4,-303,-7110,-3600,3200
44928,168,13,-8748,-3330,3600
50368,270,118,-10296,-2970,4000
55936,329,308,-11700,-2790,4400
61504,270,330,-12906,-2610,4800
67136,155,245,-13968,-2340,5200
72704,52,118,-14742,-2205,5600
78208,-93,55,-15426,-2115,6000
83712,-234,-134,-15966,-1935,6400
89472,-315,-240,-16452,-1800,6800
95232,-377,-261,-16902,-1755,7200
100992,-437,-324,-17334,-1620,7600
106880,-458,-430,-17838,-1530,8000
112704,-466,-472,-18288,-1440,8400
118592,-456,-430,-18828,-1350,8800
124480,-399,-472,-19404,-1080,9200
130304,-277,-388,-20034,-1080,9600
136192,-236,-282,-20664,-855,10000
142016,-146,-261,-21330,-765,10400
147904,-109,-177,-21924,-585,10800
153792,-74,-134,-22500,-540,11200
159552,-100,-71,-22932,-360,11600
165312,-106,-134,-23382,-315,12000
171136,-153,-113,-23706,-180,12400
177024,-165,-177,-24066,-90,12800
182784,-196,-155,-24300,-45,13200
188544,-242,-198,-24588,0,13600
194048,-288,-282,-24822,90,14000
199744,-304,-324,-25038,135,14400
205504,-305,-346,-25272,225,14800
211328,-270,-303,-25488,315,15200
217088,-219,-282,-25722,405,15600
222848,-181,-240,-25938,405,16000
228608,-182,-177,-26154,540,16400
234368,-146,-198,-26334,585,16800
240128,-146,-177,-26424,630,17200
245888,-151,-177,-26514,720,17600
251712,445,-134,-26514,765,18000
257344,447,477,-26496,810,18400
262912,489,456,-26316,855,18800
268544,453,541,-26028,810,19200
274112,368,477,-25578,810,19600
279680,267,414,-25020,765,20000
285312,160,287,-24408,720,20400
290880,58,139,-23724,675,20800
296320,-25,97,-23076,585,21200
301824,-83,-29,-22428,585,21600
307456,-80,-92,-21852,585,22000
313088,-36,-71,-21330,540,22400
318656,5,-29,-20862,540,22800
324096,59,-8,-20484,540,23200
329536,114,55,-20106,540,23600
335040,153,118,-19818,540,24000
340608,180,160,-19512,540,24400
346240,197,139,-19260,585,24800
351808,218,182,-18972,585,25200
357376,225,224,-18702,585,25600
362944,211,160,-18450,585,26000
368576,194,224,-18126,630,26400
374144,202,160,-17892,630,26800
379712,189,203,-17586,630,27200
385344,180,76,-17262,630,27600
390848,167,182,-16956,675,28000
396416,190,160,-16614,675,28400
401984,190,160,-16290,675,28800
407616,190,203,-15912,720,29200
413184,207,203,-15588,720,29600
418752,196,224,-15210,675,30000
424320,161,182,-14832,720,30400
429952,166,160,-14508,765,30800
435520,182,160,-14112,720,31200
441088,162,160,-13770,720,31600
446656,155,203,-13446,765,32000
452288,170,160,-13086,765,32400
457856,164,160,-12798,720,32800
463424,153,160,-12474,810,33200
468992,190,139,-12186,810,33600
474624,199,203,-11916,765,34000
480192,192,182,-11610,855,34400
485760,223,224,-11322,855,34800
491328,234,203,-10980,855,35200
496960,235,245,-10674,900,35600
502528,260,266,-10314,945,36000
508096,271,287,-9972,900,36400
513600,246,224,-9630,945,36800
519104,248,266,-9270,990,37200
524608,268,245,-8928,990,37600
530112,265,287,-8568,990,38000
535616,264,245,-8208,1035,38400
541248,271,245,-7866,1035,38800
546816,270,351,-7452,1035,39200
552384,271,287,-7074,1080,39600
558016,278,308,-6660,1080,40000
563584,265,287,-6192,1035,40400
569152,243,266,-5742,1125,40800
574784,268,245,-5238,1080,41200
580352,256,245,-4680,1080,41600
585920,250,245,-4194,1080,42000
591552,255,245,-3636,1125,42400
597120,276,287,-3114,1080,42800
602688,263,287,-2574,1080,43200
