time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.0,-1.032,0.021,-0.000288,-0.0871791960375
0.011904,-1.161,-0.971,-0.000288,-0.086393797875
0.01632,-1.239,-1.098,-0.000486,-0.086393797875
0.020864,-1.133,-1.204,-0.000756,-0.08482300155
0.025408,-1.14,-0.992,-0.001278,-0.0840376033875
0.029952,-0.787,-1.119,-0.001944,-0.080110612575
0.034432,-0.888,-0.718,-0.002808,-0.0793252144125
0.038912,-0.844,-0.866,-0.003672,-0.0753982236
0.043328,-0.808,-0.844,-0.004734,-0.073827427275
0.047808,-0.962,-0.76,-0.005886,-0.070685834625
0.052224,-0.539,-0.866,-0.007074,-0.0667588438125
0.056704,-1.049,-0.506,-0.00846,-0.06597344565
0.061248,-0.578,-0.908,-0.009828,-0.05969026035
0.065664,-0.545,-0.591,-0.011412,-0.058119464025
0.070208,-0.175,-0.443,-0.012942,-0.0502654824
0.074752,-0.096,-0.168,-0.014598,-0.0479092879125
0.079168,-0.484,-0.126,-0.016128,-0.0431968989375
0.083712,-0.189,-0.422,-0.017658,-0.039269908125
0.088256,-0.468,-0.211,-0.019278,-0.036128315475
0.092736,-0.035,-0.422,-0.020718,-0.0306305283375
0.097216,-0.498,-0.042,-0.022284,-0.029845130175
0.101632,-0.053,-0.443,-0.023688,-0.0227765467125
0.106176,-0.017,-0.042,-0.025254,-0.0212057503875
0.110656,-0.39,-0.042,-0.02664,-0.017278759575
0.115136,0.071,-0.38,-0.02799,-0.0133517687625
0.119488,-0.484,0.063,-0.029394,-0.0125663706
0.12384,0.269,-0.485,-0.030582,-0.0054977871375
0.12832,0.01,0.274,-0.03195,-0.0054977871375
0.132608,0.269,-0.02,-0.033048,0.001570796325
0.136768,0.308,0.232,-0.03411,0.001570796325
0.140992,-0.461,0.338,-0.035082,0.0039269908125
0.145344,0.501,-0.464,-0.03591,0.0086393797875
0.149696,-0.429,0.528,-0.036882,0.0062831853
0.154048,0.283,-0.38,-0.037476,0.0133517687625
0.1584,-0.041,0.317,-0.038322,0.0102101761125
0.162688,0.061,-0.02,-0.038898,0.0164933614125
0.166912,0.779,0.105,-0.039456,0.017278759575
0.171136,-0.646,0.845,-0.040032,0.01570796325
0.175552,0.441,-0.591,-0.040266,0.0212057503875
0.179968,-0.208,0.422,-0.040842,0.017278759575
0.18432,0.569,-0.084,-0.04095,0.0251327412
0.188672,-0.042,0.655,-0.041274,0.0188495559
0.193088,-0.547,-0.042,-0.0414,0.0227765467125
0.197504,0.693,-0.527,-0.041472,0.023561944875
0.201984,-0.36,0.697,-0.041724,0.02199114855
0.2064,1.513,-0.316,-0.04149,0.02827433385
0.210944,-0.312,1.732,-0.041652,0.0212057503875
0.215488,0.972,-0.189,-0.041202,0.0290597320125
0.219968,0.505,1.035,-0.041184,0.0212057503875
0.224384,0.344,0.76,-0.040626,0.0259181393625
0.228736,1.043,0.465,-0.040194,0.0227765467125
0.233152,0.193,1.141,-0.039834,0.0227765467125
0.237632,1.581,0.253,-0.03897,0.0259181393625
0.242048,-0.306,1.859,-0.03843,0.0164933614125
0.246528,0.752,-0.274,-0.037368,0.023561944875
0.250944,-0.057,0.803,-0.036774,0.0117809724375
0.255232,0.105,0.0,-0.035784,0.0180641577375
0.259456,1.982,0.126,-0.034902,0.017278759575
0.263808,-0.39,2.366,-0.034164,0.010995574275
0.268224,1.139,-0.358,-0.032778,0.0164933614125
0.272704,-0.629,1.331,-0.032112,0.00314159265
0.27712,0.618,-0.591,-0.030636,0.0125663706
0.281536,0.276,0.655,-0.029718,0.0
0.285632,-0.942,0.19,-0.028728,0.0023561944875
0.289984,1.721,-0.95,-0.027522,0.0039269908125
0.2944,-0.708,1.88,-0.02682,-0.0054977871375
0.298944,1.212,-0.612,-0.025272,0.0039269908125
0.303424,-0.583,1.289,-0.024714,-0.0117809724375
0.307968,0.801,-0.464,-0.023166,0.001570796325
0.312256,0.913,0.845,-0.022392,-0.0102101761125
0.316608,-0.926,1.077,-0.021312,-0.0086393797875
0.321152,1.146,-0.866,-0.019854,-0.00942477795
0.325696,-1.649,1.204,-0.019188,-0.0212057503875
0.330368,1.382,-1.563,-0.017532,-0.007853981625
0.334976,-0.791,1.542,-0.017082,-0.0274889356875
0.339584,0.517,-0.654,-0.01557,-0.010995574275
0.344064,-0.076,0.486,-0.015192,-0.0290597320125
0.348544,-0.351,-0.042,-0.014166,-0.017278759575
0.35296,0.873,-0.358,-0.013356,-0.026703537525
0.357504,-1.131,1.056,-0.012852,-0.0259181393625
0.36224,0.813,-1.013,-0.011862,-0.0251327412
0.366848,-0.029,0.929,-0.011448,-0.0274889356875
0.371264,-0.421,0.0,-0.010746,-0.029845130175
0.37568,0.691,-0.422,-0.010044,-0.0259181393625
0.380224,-0.708,0.739,-0.009774,-0.03455751915
0.38464,0.658,-0.654,-0.008928,-0.0251327412
0.38912,0.235,0.739,-0.008622,-0.0337721209875
0.393472,-1.295,0.211,-0.008172,-0.0337721209875
0.398016,1.431,-1.225,-0.007488,-0.0274889356875
0.402624,-1.625,1.5,-0.007506,-0.039269908125
0.407232,0.491,-1.309,-0.006642,-0.0274889356875
0.411776,-1.493,0.486,-0.00702,-0.042411500775
0.41632,0.271,-1.246,-0.006552,-0.0274889356875
0.420864,0.201,0.19,-0.006822,-0.036128315475
0.425216,-1.19,0.232,-0.006876,-0.0306305283375
0.42976,0.272,-1.056,-0.006912,-0.0306305283375
0.434304,-1.215,0.274,-0.00747,-0.0322013246625
0.438848,-0.072,-1.077,-0.007488,-0.0274889356875
0.443392,-1.202,-0.063,-0.007992,-0.0337721209875
0.447936,-0.981,-1.204,-0.008442,-0.02827433385
0.452544,0.082,-0.929,-0.009072,-0.0274889356875
0.456896,0.05,0.063,-0.009684,-0.0227765467125
0.46112,-0.681,0.084,-0.010314,-0.0259181393625
0.465536,0.125,-0.612,-0.01089,-0.017278759575
0.470016,-0.671,0.063,-0.01179,-0.023561944875
0.474432,0.038,-0.485,-0.012132,-0.0133517687625
0.478848,-0.607,0.021,-0.01296,-0.0212057503875
0.483264,-0.811,-0.591,-0.013608,-0.0133517687625
0.487808,1.371,-0.823,-0.014184,-0.0086393797875
0.492352,-1.208,1.542,-0.015048,-0.0149225650875
0.49696,-0.061,-1.013,-0.01521,-0.0062831853
0.501504,-0.826,-0.126,-0.016344,-0.0133517687625
