time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
0,-1032,21,-288,-4995
11904,-1161,-971,-288,-4950
16320,-1239,-1098,-486,-4950
20864,-1133,-1204,-756,-4860
25408,-1140,-992,-1278,-4815
29952,-787,-1119,-1944,-4590
34432,-888,-718,-2808,-4545
38912,-844,-866,-3672,-4320
43328,-808,-844,-4734,-4230
47808,-962,-760,-5886,-4050
52224,-539,-866,-7074,-3825
56704,-1049,-506,-8460,-3780
61248,-578,-908,-9828,-3420
65664,-545,-591,-11412,-3330
70208,-175,-443,-12942,-2880
74752,-96,-168,-14598,-2745
79168,-484,-126,-16128,-2475
83712,-189,-422,-17658,-2250
88256,-468,-211,-19278,-2070
92736,-35,-422,-20718,-1755
97216,-498,-42,-22284,-1710
101632,-53,-443,-23688,-1305
106176,-17,-42,-25254,-1215
110656,-390,-42,-26640,-990
115136,71,-380,-27990,-765
119488,-484,63,-29394,-720
123840,269,-485,-30582,-315
128320,10,274,-31950,-315
132608,269,-20,-33048,90
136768,308,232,-34110,90
140992,-461,338,-35082,225
145344,501,-464,-35910,495
149696,-429,528,-36882,360
154048,283,-380,-37476,765
158400,-41,317,-38322,585
162688,61,-20,-38898,945
166912,779,105,-39456,990
171136,-646,845,-40032,900
175552,441,-591,-40266,1215
179968,-208,422,-40842,990
184320,569,-84,-40950,1440
188672,-42,655,-41274,1080
193088,-547,-42,-41400,1305
197504,693,-527,-41472,1350
201984,-360,697,-41724,1260
206400,1513,-316,-41490,1620
210944,-312,1732,-41652,1215
215488,972,-189,-41202,1665
219968,505,1035,-41184,1215
224384,344,760,-40626,1485
228736,1043,465,-40194,1305
233152,193,1141,-39834,1305
237632,1581,253,-38970,1485
242048,-306,1859,-38430,945
246528,752,-274,-37368,1350
250944,-57,803,-36774,675
255232,105,0,-35784,1035
259456,1982,126,-34902,990
263808,-390,2366,-34164,630
268224,1139,-358,-32778,945
272704,-629,1331,-32112,180
277120,618,-591,-30636,720
281536,276,655,-29718,0
285632,-942,190,-28728,135
289984,1721,-950,-27522,225
294400,-708,1880,-26820,-315
298944,1212,-612,-25272,225
303424,-583,1289,-24714,-675
307968,801,-464,-23166,90
312256,913,845,-22392,-585
316608,-926,1077,-21312,-495
321152,1146,-866,-19854,-540
325696,-1649,1204,-19188,-1215
330368,1382,-1563,-17532,-450
334976,-791,1542,-17082,-1575
339584,517,-654,-15570,-630
344064,-76,486,-15192,-1665
348544,-351,-42,-14166,-990
352960,873,-358,-13356,-1530
357504,-1131,1056,-12852,-1485
362240,813,-1013,-11862,-1440
366848,-29,929,-11448,-1575
371264,-421,0,-10746,-1710
375680,691,-422,-10044,-1485
380224,-708,739,-9774,-1980
384640,658,-654,-8928,-1440
389120,235,739,-8622,-1935
393472,-1295,211,-8172,-1935
398016,1431,-1225,-7488,-1575
402624,-1625,1500,-7506,-2250
407232,491,-1309,-6642,-1575
411776,-1493,486,-7020,-2430
416320,271,-1246,-6552,-1575
420864,201,190,-6822,-2070
425216,-1190,232,-6876,-1755
429760,272,-1056,-6912,-1755
434304,-1215,274,-7470,-1845
438848,-72,-1077,-7488,-1575
443392,-1202,-63,-7992,-1935
447936,-981,-1204,-8442,-1620
452544,82,-929,-9072,-1575
456896,50,63,-9684,-1305
461120,-681,84,-10314,-1485
465536,125,-612,-10890,-990
470016,-671,63,-11790,-1350
474432,38,-485,-12132,-765
478848,-607,21,-12960,-1215
483264,-811,-591,-13608,-765
487808,1371,-823,-14184,-495
492352,-1208,1542,-15048,-855
496960,-61,-1013,-15210,-360
501504,-826,-126,-16344,-765
506048,741,-718,-16614,45
510336,-153,781,-17352,-540
514816,-1281,-126,-17874,-180
519424,690,-1309,-18378,-90
523904,-1063,760,-19170,-270
528448,242,-844,-19422,135
532800,-228,296,-20196,-90
537152,67,-211,-20610,315
541440,117,42,-21114,135
545600,-348,126,-21546,360
550016,-619,-337,-21906,90
554368,49,-570,-22176,495
558656,-343,21,-22770,180
562880,-168,-316,-22968,540
567360,677,-168,-23292,540
571712,-1189,718,-23760,315
576192,1687,-1140,-23724,945
580736,-733,1859,-24354,270
585152,1106,-633,-24012,1080
589696,-630,1204,-24444,225
594176,523,-570,-24174,1035
598592,1331,570,-24174,540
602944,-743,1458,-24066,630
607424,1946,-718,-23580,945
611840,-1355,2155,-23652,270
616384,808,-1309,-22842,900
620864,-522,845,-22842,180
625216,239,-485,-22266,720
629568,1012,253,-22086,360
633920,-10,1204,-21870,540
638272,885,0,-21240,405
642368,-154,1035,-20916,315
646848,86,-168,-20448,225
651136,427,84,-19854,225
655296,496,359,-19368,180
659584,-264,549,-18918,-45
663936,1054,-189,-18198,270
668416,-374,1120,-17892,-315
672960,573,-380,-17028,180
677312,219,591,-16578,-405
681664,-438,253,-15948,-180
686080,1348,-401,-15246,-180
690624,-1170,1521,-14850,-720
695296,823,-1098,-13860,-180
699776,-355,887,-13788,-900
704256,688,-274,-12834,-225
708736,156,718,-12546,-945
713088,-857,169,-12006,-675
717504,1777,-781,-11376,-540
722048,-1098,1922,-11178,-1125
726784,769,-971,-10152,-540
731200,-1112,824,-10224,-1305
735872,740,-950,-9270,-540
740224,-192,803,-9198,-1395
744640,-1060,-84,-8694,-1035
749184,1077,-1035,-8334,-1125
753792,-1633,1310,-8442,-1395
758464,957,-1499,-7866,-945
762880,-1432,993,-8154,-1620
767424,564,-1394,-7884,-855
