time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.005568,-1.283,-1.313,-0.001998,-0.0871791960375
0.010816,-1.317,-1.249,-0.00234,-0.0856083997125
0.016192,-1.176,-1.207,-0.002844,-0.0840376033875
0.021568,-0.983,-1.059,-0.003744,-0.0808960107375
0.026816,-0.742,-0.996,-0.004842,-0.0777544180875
0.032064,-0.53,-0.594,-0.006138,-0.0753982236
0.037248,-0.32,-0.425,-0.007488,-0.0691150383
0.042432,-0.113,-0.299,-0.009,-0.0667588438125
0.047616,0.035,-0.13,-0.010368,-0.05969026035
0.052736,0.181,-0.024,-0.011772,-0.0589048621875
0.057856,0.179,0.165,-0.01296,-0.054977871375
0.062976,0.167,0.144,-0.014094,-0.0510508805625
0.068096,0.128,0.144,-0.015066,-0.048694686075
0.073152,0.054,0.123,-0.015894,-0.0463384915875
0.078208,-0.028,0.038,-0.016632,-0.0431968989375
0.0832,-0.085,-0.045,-0.017244,-0.04084070445
0.08832,-0.148,-0.087,-0.017784,-0.0400553062875
0.093568,-0.237,-0.172,-0.01827,-0.0384845099625
0.098816,-0.298,-0.256,-0.018792,-0.036128315475
0.104128,-0.323,-0.278,-0.019188,-0.03455751915
0.109504,-0.339,-0.299,-0.019692,-0.0337721209875
0.11488,-0.361,-0.362,-0.020124,-0.0314159265
0.12032,-0.338,-0.362,-0.020592,-0.029845130175
0.125696,-0.309,-0.341,-0.021078,-0.02827433385
0.131072,-0.281,-0.341,-0.02151,-0.026703537525
0.136512,-0.245,-0.278,-0.022014,-0.0243473430375
0.141888,-0.192,-0.256,-0.022446,-0.0227765467125
0.147264,-0.153,-0.214,-0.022896,-0.020420352225
0.15264,-0.111,-0.172,-0.023328,-0.0188495559
0.158016,-0.087,-0.087,-0.023652,-0.017278759575
0.163136,-0.089,-0.087,-0.023994,-0.0164933614125
0.16832,-0.126,-0.066,-0.024246,-0.0149225650875
0.173504,-0.145,-0.13,-0.024444,-0.0133517687625
0.178752,-0.171,-0.151,-0.024642,-0.0133517687625
0.184064,-0.222,-0.214,-0.02475,-0.0125663706
0.189376,-0.268,-0.214,-0.024858,-0.0117809724375
0.194624,-0.293,-0.235,-0.024984,-0.010995574275
0.199936,-0.316,-0.32,-0.025074,-0.010995574275
0.205248,-0.344,-0.278,-0.025164,-0.0102101761125
0.21056,-0.344,-0.341,-0.025272,-0.00942477795
0.215872,-0.335,-0.32,-0.02538,-0.0086393797875
0.221184,-0.308,-0.489,-0.02556,-0.007853981625
0.226496,-0.27,-0.299,-0.025686,-0.0062831853
0.231744,-0.197,-0.278,-0.02583,-0.0054977871375
0.237056,-0.157,-0.193,-0.025974,-0.004712388975
0.242368,-0.146,-0.151,-0.026064,-0.004712388975
0.247616,-0.159,-0.151,-0.026154,-0.00314159265
0.252928,-0.15,-0.172,-0.026208,-0.0023561944875
0.25824,0.432,-0.109,-0.026208,-0.0023561944875
0.263424,0.411,0.376,-0.026208,-0.001570796325
0.268416,0.407,0.44,-0.026082,-0.0007853981625
0.273472,0.388,0.44,-0.025902,-0.0023561944875
0.278592,0.318,0.376,-0.025596,-0.001570796325
0.283584,0.266,0.355,-0.025218,-0.0023561944875
0.288704,0.215,0.292,-0.024804,-0.0023561944875
0.293824,0.171,0.186,-0.024318,-0.00314159265
0.298944,0.116,0.165,-0.023796,-0.004712388975
0.304064,0.058,0.123,-0.023292,-0.004712388975
0.30912,0.01,0.081,-0.022806,-0.007853981625
0.314048,-0.07,-0.066,-0.022284,-0.0070685834625
0.319168,-0.074,-0.087,-0.021852,-0.007853981625
0.324288,-0.046,-0.151,-0.02142,-0.0070685834625
0.329472,0.009,-0.045,-0.021078,-0.0086393797875
0.3344,0.038,-0.087,-0.020826,-0.0086393797875
0.339456,0.077,0.038,-0.020592,-0.007853981625
0.344448,0.122,0.102,-0.02043,-0.00942477795
0.349568,0.12,0.123,-0.020232,-0.0086393797875
0.354688,0.136,0.123,-0.020106,-0.0086393797875
0.359808,0.153,0.081,-0.019944,-0.007853981625
0.3648,0.169,0.06,-0.019818,-0.0086393797875
0.369856,0.159,0.165,-0.019638,-0.0086393797875
0.374976,0.149,0.207,-0.019494,-0.0086393797875
0.380096,0.13,0.144,-0.019332,-0.0086393797875
0.385216,0.108,0.123,-0.01917,-0.0086393797875
0.390336,0.101,0.102,-0.019008,-0.007853981625
0.395456,0.12,0.123,-0.018864,-0.007853981625
0.400576,0.119,0.102,-0.018738,-0.0086393797875
0.405696,0.101,0.102,-0.018594,-0.007853981625
0.410816,0.109,0.123,-0.018486,-0.007853981625
0.415936,0.112,0.102,-0.01836,-0.007853981625
0.421056,0.107,0.081,-0.018252,-0.007853981625
0.426112,0.099,0.081,-0.018162,-0.007853981625
0.43104,0.094,0.038,-0.01809,-0.007853981625
0.435968,0.095,0.081,-0.018036,-0.0070685834625
0.440896,0.115,0.102,-0.018018,-0.0070685834625
0.446016,-0.464,0.06,-0.018018,-0.0070685834625
0.451136,-0.48,-0.447,-0.018018,-0.0062831853
0.456384,-0.496,-0.51,-0.01818,-0.0070685834625
0.461696,-0.507,-0.404,-0.018396,-0.0054977871375
0.467008,-0.451,-0.51,-0.018774,-0.0039269908125
0.47232,-0.373,-0.362,-0.019188,-0.0023561944875
0.477632,-0.296,-0.32,-0.01971,-0.00314159265
0.48288,-0.264,-0.256,-0.020214,0.0007853981625
0.488,-0.157,-0.256,-0.020772,0.001570796325
0.49312,-0.098,-0.172,-0.021258,0.00314159265
0.49824,-0.051,-0.109,-0.021762,0.0039269908125
0.503424,-0.031,-0.109,-0.022248,0.0062831853
0.508544,0.002,-0.024,-0.022626,0.0070685834625
0.513408,0.0,0.06,-0.022932,0.007853981625
0.518144,-0.008,-0.024,-0.02322,0.0102101761125
0.523136,-0.004,0.038,-0.023418,0.0102101761125
0.528,-0.029,-0.003,-0.023544,0.010995574275
0.532928,-0.067,-0.045,-0.023688,0.010995574275
0.537984,-0.105,-0.066,-0.023724,0.0125663706
0.543104,-0.122,-0.13,-0.023778,0.0117809724375
0.548352,0.42,-0.066,-0.023778,0.0125663706
0.553344,0.415,0.461,-0.023742,0.0125663706
0.558336,0.447,0.44,-0.023598,0.0133517687625
0.563392,0.43,0.461,-0.023418,0.0117809724375
0.568384,0.378,0.503,-0.023094,0.0125663706
0.57344,0.351,0.461,-0.022698,0.0117809724375
0.578432,0.296,0.398,-0.022212,0.010995574275
0.583488,0.237,0.292,-0.021672,0.0102101761125
0.58848,0.188,0.25,-0.021132,0.0102101761125
0.593536,0.168,0.165,-0.020538,0.0086393797875
0.598528,0.119,0.165,-0.019962,0.0070685834625
0.603584,0.081,0.102,-0.019404,0.0070685834625
0.608512,0.083,0.081,-0.018864,0.0062831853
0.613376,0.072,0.102,-0.01836,0.0039269908125
0.618304,0.04,0.06,-0.017874,0.0039269908125
0.623168,0.05,0.06,-0.017442,0.0039269908125
0.628032,0.069,0.017,-0.017064,0.0023561944875
0.632896,0.084,0.06,-0.016704,0.00314159265
0.63776,0.123,0.06,-0.016398,0.001570796325
0.64256,0.144,0.123,-0.016092,0.00314159265
0.647616,0.189,0.144,-0.01584,0.0007853981625
0.652544,0.175,0.207,-0.015534,0.001570796325
0.657472,0.206,0.144,-0.0153,0.0023561944875
0.662528,0.241,0.207,-0.01503,0.001570796325
0.667456,0.241,0.25,-0.014742,0.0007853981625
0.672384,0.229,0.25,-0.014472,0.001570796325
0.677312,0.24,0.271,-0.014166,0.001570796325
0.682304,0.24,0.355,-0.013842,0.0007853981625
0.687232,0.207,0.25,-0.013536,0.0
0.691968,0.172,0.186,-0.013212,0.0007853981625
0.696896,0.169,0.229,-0.012888,0.0
0.701696,0.151,0.165,-0.012582,-0.0007853981625
0.706688,0.127,0.144,-0.01224,-0.0007853981625
0.711744,0.129,0.144,-0.011952,-0.0007853981625
0.716736,0.132,0.144,-0.011664,-0.001570796325
0.721792,0.118,0.123,-0.011394,-0.0023561944875
0.726912,0.111,0.123,-0.011178,-0.001570796325
0.731904,0.141,0.144,-0.010926,-0.001570796325
0.73696,0.159,0.123,-0.010692,-0.0023561944875
0.74208,0.168,0.123,-0.010476,-0.001570796325
0.747072,0.202,0.186,-0.010242,-0.001570796325
0.752128,0.227,0.271,-0.010008,-0.001570796325
0.75712,0.24,0.207,-0.009774,-0.001570796325
0.762048,0.239,0.271,-0.009522,-0.001570796325
0.76704,0.237,0.25,-0.00927,-0.001570796325
0.771968,0.219,0.229,-0.009,-0.0023561944875
0.77696,0.187,0.207,-0.008694,-0.0023561944875
0.782016,0.156,0.186,-0.008406,-0.00314159265
0.787008,0.132,0.165,-0.008082,-0.0023561944875
0.792064,0.136,0.144,-0.007812,-0.00314159265
0.797056,0.117,0.123,-0.007578,-0.0039269908125
0.802112,0.092,0.123,-0.007344,-0.0039269908125
0.80704,0.101,0.081,-0.007146,-0.00314159265
0.812032,0.126,0.123,-0.007002,-0.0039269908125
0.817024,0.143,0.144,-0.006804,-0.00314159265
0.82208,0.177,0.123,-0.006696,-0.00314159265
0.827072,0.198,0.186,-0.006552,-0.00314159265
0.832128,0.213,0.207,-0.006426,-0.00314159265
0.83712,0.217,0.207,-0.006318,-0.00314159265
0.842176,0.21,0.207,-0.006138,-0.00314159265
0.847232,0.206,0.207,-0.005958,-0.00314159265
0.852224,0.195,0.207,-0.005796,-0.00314159265
0.85728,0.184,0.186,-0.005598,-0.00314159265
0.862272,0.175,0.207,-0.005436,-0.00314159265
0.867328,0.168,0.165,-0.00531,-0.00314159265
0.872384,0.173,0.165,-0.005112,-0.0023561944875
0.877376,0.199,0.165,-0.004968,-0.0023561944875
0.882432,0.205,0.229,-0.004806,-0.00314159265
0.887488,0.185,0.229,-0.004608,-0.00314159265
0.89248,0.165,0.186,-0.004446,-0.00314159265
0.897536,0.15,0.165,-0.004266,-0.00314159265
0.902528,0.143,0.123,-0.004068,-0.00314159265
0.907584,0.145,0.144,-0.003924,-0.00314159265
0.912576,0.158,0.165,-0.003744,-0.0023561944875
0.917632,0.179,0.165,-0.003582,-0.00314159265
0.922688,0.172,0.165,-0.00342,-0.00314159265
0.92768,0.174,0.165,-0.00324,-0.0023561944875
0.932736,0.196,0.186,-0.003096,-0.0023561944875
0.937728,0.2,0.207,-0.002934,-0.00314159265
0.942784,0.173,0.207,-0.002808,-0.00314159265
0.947776,0.165,0.165,-0.002682,-0.0023561944875
0.952832,0.174,0.165,-0.002574,-0.0023561944875
0.957888,0.185,0.186,-0.002448,-0.0023561944875
0.96288,0.186,0.207,-0.002358,-0.0023561944875
0.967936,0.193,0.165,-0.002268,-0.001570796325
0.972864,0.213,0.186,-0.002196,-0.001570796325
0.977792,0.224,0.207,-0.002142,-0.001570796325
0.98272,0.224,0.165,-0.00207,-0.001570796325
0.987712,0.224,0.229,-0.002016,-0.0007853981625
0.99264,0.246,0.229,-0.001944,-0.0007853981625
0.997568,0.244,0.25,-0.001872,-0.0007853981625
1.002496,0.247,0.229,-0.001782,0.0
1.007296,0.247,0.229,-0.001692,-0.0007853981625
1.012288,0.232,0.25,-0.001548,0.0
1.017088,0.237,0.229,-0.001422,0.0
1.021824,0.231,0.229,-0.001296,0.0
1.026624,0.222,0.229,-0.001152,0.0
1.03136,0.214,0.25,-0.001026,0.0
1.03616,0.208,0.229,-0.0009,0.0
1.040832,0.195,0.165,-0.000774,0.0
1.045504,0.191,0.186,-0.000648,0.0
1.050176,0.2,0.186,-0.00054,0.0007853981625
1.05504,0.224,0.186,-0.000432,0.0007853981625
1.059904,0.239,0.25,-0.00036,0.0007853981625
1.064768,0.245,0.25,-0.000288,0.0007853981625
1.069632,0.241,0.25,-0.000234,0.0007853981625
1.074496,0.233,0.271,-0.000162,0.0007853981625
1.07936,0.222,0.25,-5.4e-05,0.0007853981625
1.08416,0.212,0.186,3.6e-05,0.0007853981625
1.088832,0.213,0.186,0.000144,0.001570796325
1.093632,0.234,0.229,0.000252,0.001570796325
1.098368,0.25,0.229,0.000378,0.001570796325
1.103168,0.254,0.25,0.000486,0.001570796325
1.107968,0.262,0.25,0.000612,0.0023561944875
1.112832,0.282,0.313,0.000756,0.0023561944875
1.117696,0.289,0.313,0.0009,0.0023561944875
1.12256,0.283,0.313,0.001062,0.0023561944875
1.127488,0.271,0.292,0.001242,0.0023561944875
1.132416,0.259,0.355,0.00144,0.0023561944875
1.137344,0.247,0.271,0.001656,0.0023561944875
1.142336,0.233,0.271,0.001854,0.0023561944875
1.147264,0.229,0.229,0.002052,0.0023561944875
1.152192,0.219,0.271,0.00225,0.001570796325
1.157056,0.187,0.207,0.002412,0.0007853981625
1.16192,0.162,0.038,0.002592,0.001570796325
1.166656,0.175,0.165,0.002718,0.001570796325
1.17152,0.204,0.144,0.002808,0.001570796325
1.176384,0.226,0.207,0.00288,0.001570796325
1.181248,0.247,0.25,0.002952,0.001570796325
1.186112,0.267,0.229,0.003006,0.0023561944875
1.19104,0.296,0.313,0.00306,0.0023561944875
1.196032,0.321,0.355,0.003132,0.00314159265
1.20096,0.344,0.398,0.003204,0.00314159265
1.205888,0.345,0.355,0.003312,0.00314159265
1.210816,0.34,0.355,0.003456,0.0039269908125
1.215808,0.35,0.482,0.0036,0.0039269908125
1.220736,0.347,0.398,0.00378,0.0039269908125
1.225728,0.326,0.398,0.003978,0.0039269908125
1.230656,0.314,0.334,0.004194,0.0039269908125
1.235584,0.298,0.313,0.00441,0.0039269908125
1.240576,0.284,0.334,0.004626,0.00314159265
1.245504,0.267,0.334,0.00486,0.0039269908125
1.250432,0.272,0.313,0.005076,0.00314159265
1.255424,0.258,0.334,0.005328,0.00314159265
