time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.291,-0.032,0.0,-0.0753982236,0.0004
0.013376,-1.347,-1.257,0.0,-0.0753982236,0.0008
0.017024,-1.342,-1.363,-0.000256,-0.0753982236,0.0012
0.02272,-1.164,-1.321,-0.000256,-0.0753982236,0.0016
0.02688,-1.442,-1.11,-0.001344,-0.0753982236,0.002
0.03264,-1.263,-1.49,-0.001344,-0.0753982236,0.0024
0.036864,1.591,-1.194,-0.003456,-0.062831853,0.0028
0.04256,0.914,1.636,-0.003456,-0.062831853,0.0032
0.046464,-0.387,0.981,-0.005568,-0.062831853,0.0036
0.052032,-1.143,-0.391,-0.005568,-0.062831853,0.004
0.056128,1.489,-1.11,-0.007232,-0.0502654824,0.0044
0.061824,0.635,1.573,-0.007232,-0.0502654824,0.0048
0.065792,-0.413,0.643,-0.00832,-0.0502654824,0.0052
0.071296,-1.208,-0.476,-0.00832,-0.0502654824,0.0056
0.075456,-1.685,-1.236,-0.009152,-0.0502654824,0.006
0.081216,-1.737,-1.765,-0.009152,-0.0502654824,0.0064
0.08544,1.393,-1.68,-0.010688,-0.0376991118,0.0068
0.0912,0.761,1.383,-0.010688,-0.0376991118,0.0072
0.095232,3.028,0.897,-0.012672,-0.0251327412,0.0076
0.100864,1.575,3.242,-0.012672,-0.0251327412,0.008
0.105024,0.339,1.636,-0.013248,-0.0251327412,0.0084
0.11072,-0.985,0.326,-0.013248,-0.0251327412,0.0088
0.11488,-0.496,-1.025,-0.012736,-0.0251327412,0.0092
0.120704,-1.46,-0.518,-0.012736,-0.0251327412,0.0096
0.125056,-0.684,-1.511,-0.012352,-0.0251327412,0.01
0.131008,-1.252,-0.729,-0.012352,-0.0251327412,0.0104
0.13536,-1.355,-1.11,-0.013056,-0.0251327412,0.0108
0.141376,-1.125,-1.427,-0.013056,-0.0251327412,0.0112
0.14592,2.252,-1.152,-0.014784,-0.0125663706,0.0116
0.151744,1.224,2.376,-0.014784,-0.0125663706,0.012
0.155968,0.281,1.361,-0.016448,-0.0125663706,0.0124
0.161664,-0.666,0.284,-0.016448,-0.0125663706,0.0128
0.165824,2.432,-0.708,-0.017024,0.0,0.0132
0.1712,1.398,2.376,-0.017024,0.0,0.0136
0.17504,1.418,1.552,-0.016576,0.0,0.014
0.18048,0.352,1.446,-0.016576,0.0,0.0144
0.184256,0.267,0.411,-0.015552,0.0,0.0148
0.18944,-0.812,0.326,-0.015552,0.0,0.0152
0.193216,-3.039,-0.814,-0.013888,-0.0125663706,0.0156
0.199104,-2.835,-3.138,-0.013888,-0.0125663706,0.016
0.203456,-1.658,-2.948,-0.013376,-0.0125663706,0.0164
0.209408,-1.07,-1.722,-0.013376,-0.0125663706,0.0168
0.213824,-1.137,-1.11,-0.014848,-0.0125663706,0.0172
