time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
0,-1291,-32,0,-4320,400
13376,-1347,-1257,0,-4320,800
17024,-1342,-1363,-256,-4320,1200
22720,-1164,-1321,-256,-4320,1600
26880,-1442,-1110,-1344,-4320,2000
32640,-1263,-1490,-1344,-4320,2400
36864,1591,-1194,-3456,-3600,2800
42560,914,1636,-3456,-3600,3200
46464,-387,981,-5568,-3600,3600
52032,-1143,-391,-5568,-3600,4000
56128,1489,-1110,-7232,-2880,4400
61824,635,1573,-7232,-2880,4800
65792,-413,643,-8320,-2880,5200
71296,-1208,-476,-8320,-2880,5600
75456,-1685,-1236,-9152,-2880,6000
81216,-1737,-1765,-9152,-2880,6400
85440,1393,-1680,-10688,-2160,6800
91200,761,1383,-10688,-2160,7200
95232,3028,897,-12672,-1440,7600
100864,1575,3242,-12672,-1440,8000
105024,339,1636,-13248,-1440,8400
110720,-985,326,-13248,-1440,8800
114880,-496,-1025,-12736,-1440,9200
120704,-1460,-518,-12736,-1440,9600
125056,-684,-1511,-12352,-1440,10000
131008,-1252,-729,-12352,-1440,10400
135360,-1355,-1110,-13056,-1440,10800
141376,-1125,-1427,-13056,-1440,11200
145920,2252,-1152,-14784,-720,11600
151744,1224,2376,-14784,-720,12000
155968,281,1361,-16448,-720,12400
161664,-666,284,-16448,-720,12800
165824,2432,-708,-17024,0,13200
171200,1398,2376,-17024,0,13600
175040,1418,1552,-16576,0,14000
180480,352,1446,-16576,0,14400
184256,267,411,-15552,0,14800
189440,-812,326,-15552,0,15200
193216,-3039,-814,-13888,-720,15600
199104,-2835,-3138,-13888,-720,16000
203456,-1658,-2948,-13376,-720,16400
209408,-1070,-1722,-13376,-720,16800
213824,-1137,-1110,-14848,-720,17200
219776,-421,-1173,-14848,-720,17600
224064,2281,-391,-17792,0,18000
229504,1792,2481,-17792,0,18400
233344,3695,1932,-19712,720,18800
239040,2392,516,-19712,720,19200
243072,1223,2545,-20416,720,19600
248704,458,1340,-20416,720,20000
252800,122,474,-19392,720,20400
258304,-1086,136,-19392,720,20800
262400,-156,-1173,-17984,720,21200
268160,-913,-138,-17984,720,21600
272320,144,-983,-16960,720,22000
277888,-526,115,-16960,720,22400
281984,265,-518,-16640,720,22800
287552,-398,221,-16640,720,23200
291584,3610,-391,-16576,1440,23600
297408,2155,347,-16576,1440,24000
301504,2288,2312,-16512,1440,24400
307264,955,2502,-16512,1440,24800
311360,-2725,1087,-15168,720,25200
317184,-2664,-2821,-15168,720,25600
321472,-1579,-2652,-13824,720,26000
327296,-1109,-1532,-13824,720,26400
331584,-689,-1110,-13824,720,26800
337408,406,-603,-13824,720,27200
341440,2880,474,-15360,1440,27600
347136,2344,3136,-15360,1440,28000
351296,1315,2545,-15872,1440,28400
357120,723,1361,-15872,1440,28800
361216,789,770,-14528,1440,29200
366784,-400,854,-14528,1440,29600
370944,741,-391,-12352,1440,30000
376640,-321,770,-12352,1440,30400
380736,893,-243,-10368,1440,30800
386432,444,960,-10368,1440,31200
390464,1004,474,-8448,1440,31600
396032,555,1129,-8448,1440,32000
400128,-2264,622,-6208,720,32400
405696,-1961,-2377,-6208,720,32800
409920,-681,-2039,-4480,720,33200
415616,-529,-624,-4480,720,33600
419648,546,-539,-3840,720,34000
425152,670,474,-3840,720,34400
429056,3268,728,-3968,1440,34800
434624,2576,9,-3968,1440,35200
438528,2627,2777,-3712,1440,35600
444160,1313,2777,-3712,1440,36000
448320,992,1404,-2048,1440,36400
453888,-570,1023,-2048,1440,36800
458048,-2798,-581,768,720,37200
463552,-2447,-2715,768,720,37600
467584,-1112,-2377,2496,720,38000
473280,-838,-1046,2496,720,38400
477312,3490,-856,2496,1440,38800
482944,2479,284,2496,1440,39200
