time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.437,-0.016,-0.00081,-0.0871791960375,0.0004
0.013888,-0.91,-1.517,-0.000846,-0.086393797875,0.0008
0.019392,-1.254,-0.925,-0.00126,-0.08482300155,0.0012
0.025088,0.118,-1.326,-0.001764,-0.0816814089,0.0016
0.030656,-1.079,0.152,-0.002682,-0.0808960107375,0.002
0.036288,1.316,-1.136,-0.003438,-0.0746128254375,0.0024
0.041984,-1.916,1.398,-0.0045,-0.0753982236,0.0028
0.047616,-0.5,-1.96,-0.005058,-0.0746128254375,0.0032
0.053312,-1.148,-0.502,-0.006426,-0.0699004364625,0.0036
0.059008,0.536,-1.178,-0.007182,-0.0651880474875,0.004
0.06464,-0.966,0.574,-0.00864,-0.062831853,0.0044
0.070144,2.089,-1.009,-0.009612,-0.0541924732125,0.0048
0.075776,-1.545,2.307,-0.010908,-0.0541924732125,0.0052
0.081536,-1.94,-1.686,-0.011466,-0.058119464025,0.0056
0.087424,-0.269,-1.981,-0.012852,-0.0502654824,0.006
0.093184,0.726,-0.249,-0.013518,-0.0439822971,0.0064
0.098752,-2.278,0.743,-0.014922,-0.0479092879125,0.0068
0.104448,2.445,-2.446,-0.015948,-0.0376991118,0.0072
0.110336,-3.258,2.75,-0.01755,-0.0400553062875,0.0076
0.11616,0.602,-0.101,-0.017964,-0.039269908125,0.008
0.121856,-1.195,0.638,-0.019026,-0.0322013246625,0.0084
0.127616,2.112,-1.2,-0.018936,-0.02827433385,0.0088
0.133504,-3.165,2.349,-0.019998,-0.032986722825,0.0092
0.139328,3.539,-3.122,-0.019368,-0.0259181393625,0.0096
0.145152,-5.0,0.236,-0.021258,-0.0337721209875,0.01
0.150976,5.0,-1.664,-0.020718,-0.0227765467125,0.0104
0.1568,-5.0,1.694,-0.022536,-0.0337721209875,0.0108
0.162688,5.0,-1.707,-0.02196,-0.0086393797875,0.0112
0.168448,-5.0,1.842,-0.023832,-0.0274889356875,0.0116
0.174272,5.0,-1.58,-0.023112,-0.0149225650875,0.012
0.180032,-5.0,1.884,-0.02484,-0.0243473430375,0.0124
0.18592,5.0,-1.728,-0.023832,-0.0117809724375,0.0128
0.19168,-5.0,1.757,-0.02529,-0.0196349540625,0.0132
0.197504,5.0,-1.812,-0.024498,0.0007853981625,0.0136
0.203136,-5.0,1.842,-0.025776,-0.023561944875,0.014
0.20896,5.0,-1.728,-0.024822,-0.0070685834625,0.0144
0.21472,-5.0,1.588,-0.026154,-0.0259181393625,0.0148
0.220608,5.0,-1.728,-0.02493,-0.00314159265,0.0152
0.226368,-5.0,1.736,-0.026136,-0.0243473430375,0.0156
0.232192,5.0,-1.749,-0.024678,-0.0007853981625,0.016
0.237888,-5.0,1.842,-0.025794,-0.0227765467125,0.0164
0.243712,5.0,-1.791,-0.024318,0.0023561944875,0.0168
0.249408,-5.0,1.778,-0.025398,-0.0227765467125,0.0172
0.255296,5.0,-1.749,-0.023886,0.0007853981625,0.0176
0.260864,-5.0,1.863,-0.024876,-0.0251327412,0.018
0.266688,5.0,-1.538,-0.023454,-0.001570796325,0.0184
0.272384,-5.0,1.905,-0.024354,-0.0274889356875,0.0188
0.278208,5.0,-1.622,-0.02286,-0.0070685834625,0.0192
0.283968,-5.0,1.863,-0.023742,-0.0290597320125,0.0196
0.289856,5.0,-1.77,-0.022356,-0.00942477795,0.02
0.295616,-5.0,1.842,-0.023274,-0.026703537525,0.0204
0.30144,5.0,-1.791,-0.021762,-0.007853981625,0.0208
0.307264,-5.0,1.8,-0.02268,-0.0274889356875,0.0212
0.313088,5.0,-1.812,-0.021204,-0.010995574275,0.0216
0.318848,-5.0,1.757,-0.022158,-0.026703537525,0.022
0.324736,5.0,-1.707,-0.020664,-0.0070685834625,0.0224
0.330496,-5.0,1.8,-0.021654,-0.0353429173125,0.0228
0.33632,5.0,-1.58,-0.02025,-0.0133517687625,0.0232
0.34208,-5.0,1.884,-0.021258,-0.0290597320125,0.0236
0.347968,5.0,-1.643,-0.019818,-0.0133517687625,0.024
0.353728,-5.0,1.842,-0.02079,-0.0306305283375,0.0244
0.359552,5.0,-1.707,-0.019314,-0.00942477795,0.0248
0.365312,-5.0,1.842,-0.020322,-0.039269908125,0.0252
0.3712,5.0,-1.749,-0.018792,-0.010995574275,0.0256
0.37696,-5.0,1.778,-0.01989,-0.0400553062875,0.026
0.382784,5.0,-1.643,-0.018432,-0.017278759575,0.0264
0.388544,-5.0,1.736,-0.019566,-0.03455751915,0.0268
0.394432,5.0,-1.728,-0.018108,-0.0196349540625,0.0272
0.400256,-5.0,1.884,-0.019242,-0.03455751915,0.0276
0.406144,5.0,-1.791,-0.017784,-0.02199114855,0.028
0.411968,-5.0,1.8,-0.018918,-0.036128315475,0.0284
0.417856,5.0,-1.728,-0.017388,-0.0212057503875,0.0288
0.42368,-5.0,1.863,-0.018468,-0.0447676952625,0.0292
