time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
0,-1437,-16,-810,-4995,400
13888,-910,-1517,-846,-4950,800
19392,-1254,-925,-1260,-4860,1200
25088,118,-1326,-1764,-4680,1600
30656,-1079,152,-2682,-4635,2000
36288,1316,-1136,-3438,-4275,2400
41984,-1916,1398,-4500,-4320,2800
47616,-500,-1960,-5058,-4275,3200
53312,-1148,-502,-6426,-4005,3600
59008,536,-1178,-7182,-3735,4000
64640,-966,574,-8640,-3600,4400
70144,2089,-1009,-9612,-3105,4800
75776,-1545,2307,-10908,-3105,5200
81536,-1940,-1686,-11466,-3330,5600
87424,-269,-1981,-12852,-2880,6000
93184,726,-249,-13518,-2520,6400
98752,-2278,743,-14922,-2745,6800
104448,2445,-2446,-15948,-2160,7200
110336,-3258,2750,-17550,-2295,7600
116160,602,-101,-17964,-2250,8000
121856,-1195,638,-19026,-1845,8400
127616,2112,-1200,-18936,-1620,8800
133504,-3165,2349,-19998,-1890,9200
139328,3539,-3122,-19368,-1485,9600
145152,-5000,236,-21258,-1935,10000
150976,5000,-1664,-20718,-1305,10400
156800,-5000,1694,-22536,-1935,10800
162688,5000,-1707,-21960,-495,11200
168448,-5000,1842,-23832,-1575,11600
174272,5000,-1580,-23112,-855,12000
180032,-5000,1884,-24840,-1395,12400
185920,5000,-1728,-23832,-675,12800
191680,-5000,1757,-25290,-1125,13200
197504,5000,-1812,-24498,45,13600
203136,-5000,1842,-25776,-1350,14000
208960,5000,-1728,-24822,-405,14400
214720,-5000,1588,-26154,-1485,14800
220608,5000,-1728,-24930,-180,15200
226368,-5000,1736,-26136,-1395,15600
232192,5000,-1749,-24678,-45,16000
237888,-5000,1842,-25794,-1305,16400
243712,5000,-1791,-24318,135,16800
249408,-5000,1778,-25398,-1305,17200
255296,5000,-1749,-23886,45,17600
260864,-5000,1863,-24876,-1440,18000
266688,5000,-1538,-23454,-90,18400
272384,-5000,1905,-24354,-1575,18800
278208,5000,-1622,-22860,-405,19200
283968,-5000,1863,-23742,-1665,19600
289856,5000,-1770,-22356,-540,20000
295616,-5000,1842,-23274,-1530,20400
301440,5000,-1791,-21762,-450,20800
307264,-5000,1800,-22680,-1575,21200
313088,5000,-1812,-21204,-630,21600
318848,-5000,1757,-22158,-1530,22000
324736,5000,-1707,-20664,-405,22400
330496,-5000,1800,-21654,-2025,22800
336320,5000,-1580,-20250,-765,23200
342080,-5000,1884,-21258,-1665,23600
347968,5000,-1643,-19818,-765,24000
353728,-5000,1842,-20790,-1755,24400
359552,5000,-1707,-19314,-540,24800
365312,-5000,1842,-20322,-2250,25200
371200,5000,-1749,-18792,-630,25600
376960,-5000,1778,-19890,-2295,26000
382784,5000,-1643,-18432,-990,26400
388544,-5000,1736,-19566,-1980,26800
394432,5000,-1728,-18108,-1125,27200
400256,-5000,1884,-19242,-1980,27600
406144,5000,-1791,-17784,-1260,28000
411968,-5000,1800,-18918,-2070,28400
417856,5000,-1728,-17388,-1215,28800
423680,-5000,1863,-18468,-2565,29200
429568,5000,-1728,-17082,-1350,29600
435392,-5000,1694,-18270,-2385,30000
441216,5000,-1770,-16848,-1530,30400
447104,-5000,1800,-17982,-2385,30800
452928,5000,-1686,-16578,-1395,31200
458816,-5000,1842,-17712,-2250,31600
