time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.434,-0.007,-0.000108,-0.0871791960375,0.0004
0.013824,-1.309,-1.507,-0.000126,-0.086393797875,0.0008
0.019392,-1.305,-1.359,-0.000522,-0.086393797875,0.0012
0.025088,-0.819,-1.338,-0.001062,-0.0824668070625,0.0016
0.030784,-0.653,-0.852,-0.002034,-0.0808960107375,0.002
0.036352,-0.294,-0.683,-0.003096,-0.0761836217625,0.0024
0.041984,-0.08,-0.282,-0.004302,-0.07225663095,0.0028
0.047488,-0.051,-0.07,-0.005436,-0.0691150383,0.0032
0.052928,0.001,-0.092,-0.006516,-0.0651880474875,0.0036
0.058176,-0.005,0.013,-0.007416,-0.0620464548375,0.004
0.063424,-0.182,0.013,-0.008244,-0.0604756585125,0.0044
0.068864,-0.206,-0.197,-0.008946,-0.0573340658625,0.0048
0.074432,-0.354,-0.218,-0.009666,-0.0557632695375,0.0052
0.080064,-0.316,-0.345,-0.010242,-0.0526216768875,0.0056
0.085696,-0.331,-0.324,-0.010872,-0.0502654824,0.006
0.091392,-0.428,-0.303,-0.011448,-0.048694686075,0.0064
0.097088,-0.445,-0.451,-0.012042,-0.0463384915875,0.0068
0.102784,-0.509,-0.43,-0.012618,-0.0447676952625,0.0072
0.108544,-0.399,-0.493,-0.01323,-0.0416261026125,0.0076
0.114304,-0.533,-0.366,-0.013878,-0.04084070445,0.008
0.120128,-0.423,-0.472,-0.014472,-0.0376991118,0.0084
0.125888,-0.379,-0.387,-0.015156,-0.0353429173125,0.0088
0.131712,-0.338,-0.387,-0.015768,-0.032986722825,0.0092
0.137472,-0.307,-0.324,-0.016434,-0.0306305283375,0.0096
0.143232,-0.272,-0.282,-0.017046,-0.02827433385,0.01
0.14912,-0.237,-0.282,-0.017622,-0.0259181393625,0.0104
0.154944,-0.288,-0.324,-0.01818,-0.0243473430375,0.0108
0.160832,-0.238,-0.261,-0.018666,-0.02199114855,0.0112
0.16672,-0.365,-0.24,-0.019152,-0.0212057503875,0.0116
0.172544,-0.399,-0.303,-0.019548,-0.0196349540625,0.012
0.178432,-0.408,-0.409,-0.019962,-0.0180641577375,0.0124
0.18432,-0.475,-0.43,-0.020358,-0.017278759575,0.0128
0.19008,-0.357,-0.514,-0.020736,-0.0149225650875,0.0132
0.19584,-0.396,-0.387,-0.021204,-0.014137166925,0.0136
0.2016,-0.361,-0.366,-0.021564,-0.0125663706,0.014
0.207424,-0.418,-0.387,-0.021978,-0.0117809724375,0.0144
0.213184,-0.383,-0.472,-0.022356,-0.0102101761125,0.0148
0.219008,-0.319,-0.409,-0.022716,-0.0086393797875,0.0152
0.224768,-0.353,-0.282,-0.023094,-0.007853981625,0.0156
0.230592,-0.407,-0.261,-0.023418,-0.0070685834625,0.016
0.236352,-0.373,-0.387,-0.023742,-0.0054977871375,0.0164
0.242112,-0.386,-0.366,-0.024048,-0.004712388975,0.0168
0.247936,-0.409,-0.472,-0.024372,-0.0039269908125,0.0172
0.253696,-0.415,-0.261,-0.024714,-0.00314159265,0.0176
0.25952,-0.355,-0.387,-0.02502,-0.001570796325,0.018
0.265152,-0.361,-0.387,-0.025362,-0.0007853981625,0.0184
0.270912,-0.194,-0.303,-0.025686,0.001570796325,0.0188
0.27648,-0.286,-0.24,-0.025992,0.001570796325,0.0192
0.282112,-0.315,-0.282,-0.026262,0.0023561944875,0.0196
0.287808,-0.241,-0.303,-0.026478,0.0039269908125,0.02
0.293504,-0.24,-0.24,-0.026676,0.004712388975,0.0204
0.2992,-0.33,-0.218,-0.02682,0.004712388975,0.0208
0.304896,-0.257,-0.345,-0.026964,0.0062831853,0.0212
0.310592,-0.317,-0.261,-0.027072,0.0062831853,0.0216
0.316224,-0.391,-0.24,-0.027162,0.0062831853,0.022
0.32192,-0.295,-0.409,-0.027252,0.007853981625,0.0224
0.327616,-0.334,-0.303,-0.027342,0.007853981625,0.0228
0.333312,-0.395,-0.24,-0.027468,0.007853981625,0.0232
0.339008,-0.296,-0.451,-0.027612,0.00942477795,0.0236
0.344704,-0.239,-0.261,-0.027738,0.0102101761125,0.024
0.3504,-0.3,-0.197,-0.027864,0.0102101761125,0.0244
