time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
0,-1434,-7,-108,-4995,400
13824,-1309,-1507,-126,-4950,800
19392,-1305,-1359,-522,-4950,1200
25088,-819,-1338,-1062,-4725,1600
30784,-653,-852,-2034,-4635,2000
36352,-294,-683,-3096,-4365,2400
41984,-80,-282,-4302,-4140,2800
47488,-51,-70,-5436,-3960,3200
52928,1,-92,-6516,-3735,3600
58176,-5,13,-7416,-3555,4000
63424,-182,13,-8244,-3465,4400
68864,-206,-197,-8946,-3285,4800
74432,-354,-218,-9666,-3195,5200
80064,-316,-345,-10242,-3015,5600
85696,-331,-324,-10872,-2880,6000
91392,-428,-303,-11448,-2790,6400
97088,-445,-451,-12042,-2655,6800
102784,-509,-430,-12618,-2565,7200
108544,-399,-493,-13230,-2385,7600
114304,-533,-366,-13878,-2340,8000
120128,-423,-472,-14472,-2160,8400
125888,-379,-387,-15156,-2025,8800
131712,-338,-387,-15768,-1890,9200
137472,-307,-324,-16434,-1755,9600
143232,-272,-282,-17046,-1620,10000
149120,-237,-282,-17622,-1485,10400
154944,-288,-324,-18180,-1395,10800
160832,-238,-261,-18666,-1260,11200
166720,-365,-240,-19152,-1215,11600
172544,-399,-303,-19548,-1125,12000
178432,-408,-409,-19962,-1035,12400
184320,-475,-430,-20358,-990,12800
190080,-357,-514,-20736,-855,13200
195840,-396,-387,-21204,-810,13600
201600,-361,-366,-21564,-720,14000
207424,-418,-387,-21978,-675,14400
213184,-383,-472,-22356,-585,14800
219008,-319,-409,-22716,-495,15200
224768,-353,-282,-23094,-450,15600
230592,-407,-261,-23418,-405,16000
236352,-373,-387,-23742,-315,16400
242112,-386,-366,-24048,-270,16800
247936,-409,-472,-24372,-225,17200
253696,-415,-261,-24714,-180,17600
259520,-355,-387,-25020,-90,18000
265152,-361,-387,-25362,-45,18400
270912,-194,-303,-25686,90,18800
276480,-286,-240,-25992,90,19200
282112,-315,-282,-26262,135,19600
287808,-241,-303,-26478,225,20000
293504,-240,-240,-26676,270,20400
299200,-330,-218,-26820,270,20800
304896,-257,-345,-26964,360,21200
310592,-317,-261,-27072,360,21600
316224,-391,-240,-27162,360,22000
321920,-295,-409,-27252,450,22400
327616,-334,-303,-27342,450,22800
333312,-395,-240,-27468,450,23200
339008,-296,-451,-27612,540,23600
344704,-239,-261,-27738,585,24000
350400,-300,-197,-27864,585,24400
356096,-289,-345,-27972,630,24800
361792,-254,-218,-28080,675,25200
367488,-310,-282,-28134,675,25600
373184,-366,-366,-28188,675,26000
378880,-313,-324,-28206,720,26400
384512,-259,-282,-28242,765,26800
390208,-292,-261,-28242,765,27200
395904,-254,-197,-28260,810,27600
401600,-295,-261,-28260,810,28000
407296,-252,-303,-28260,855,28400
412928,393,-261,-28260,900,28800
418560,357,436,-28260,900,29200
424064,398,457,-28116,945,29600
429632,365,457,-27936,945,30000
435136,338,372,-27648,945,30400
440640,247,414,-27342,900,30800
446144,233,224,-27000,900,31200
451648,264,267,-26604,900,31600
457216,212,288,-26244,855,32000
462720,147,224,-25848,810,32400
468224,263,140,-25470,855,32800
473728,231,267,-25146,810,33200
479232,174,224,-24768,765,33600
484736,274,203,-24480,810,34000
490240,311,267,-24156,810,34400
495744,245,372,-23850,765,34800
501248,236,224,-23580,765,35200
506752,254,245,-23274,765,35600
512256,181,245,-23022,720,36000
517824,278,140,-22698,765,36400
523328,312,182,-22428,765,36800
528832,339,393,-22104,765,37200
534336,332,393,-21780,765,37600
539840,323,393,-21402,765,38000
545344,237,414,-21006,720,38400
550848,228,224,-20556,720,38800
556416,175,245,-20124,675,39200
561920,202,182,-19692,675,39600
567424,159,224,-19296,630,40000
572928,275,182,-18882,675,40400
578432,231,267,-18540,630,40800
583936,251,309,-18126,630,41200
589440,177,267,-17766,585,41600
595008,188,182,-17388,585,42000
600512,221,182,-17010,585,42400
606016,253,203,-16650,585,42800
611520,285,245,-16236,585,43200
617024,300,309,-15894,585,43600
622528,309,309,-15462,585,44000
628032,233,414,-15066,540,44400
633600,215,224,-14670,540,44800
639104,316,224,-14238,585,45200
644608,99,309,-13824,450,45600
650048,338,119,-13392,585,46000
655552,316,393,-13014,540,46400
661056,230,393,-12546,495,46800
666624,208,245,-12186,495,47200
672128,389,203,-11772,585,47600
677632,95,457,-11358,405,48000
683072,141,119,-10926,450,48400
688576,260,203,-10602,495,48800
694080,301,309,-10170,495,49200
699648,133,372,-9864,405,49600
705024,274,119,-9522,495,50000
710464,313,267,-9252,495,50400
715904,320,309,-8910,495,50800
