time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.426,-0.008,-0.001206,-0.0871791960375,0.0004
0.013952,-1.421,-1.466,-0.001242,-0.0856083997125,0.0008
0.019648,-1.391,-1.466,-0.001638,-0.0840376033875,0.0012
0.025408,-1.173,-1.423,-0.00225,-0.0816814089,0.0016
0.031168,-0.863,-1.106,-0.00333,-0.0777544180875,0.002
0.0368,-0.504,-0.959,-0.00459,-0.0746128254375,0.0024
0.042432,-0.227,-0.494,-0.00603,-0.0699004364625,0.0028
0.048,0.017,-0.156,-0.007524,-0.0651880474875,0.0032
0.053376,0.153,0.012,-0.008964,-0.0604756585125,0.0036
0.058688,0.185,0.224,-0.010296,-0.0565486677,0.004
0.064192,0.152,0.181,-0.011466,-0.0510508805625,0.0044
0.069696,0.09,0.16,-0.012546,-0.0479092879125,0.0048
0.075136,-0.019,0.097,-0.01341,-0.0439822971,0.0052
0.080576,-0.131,-0.029,-0.014148,-0.0416261026125,0.0056
0.086144,-0.267,-0.092,-0.014814,-0.039269908125,0.006
0.091712,-0.366,-0.261,-0.01539,-0.0353429173125,0.0064
0.097408,-0.389,-0.346,-0.015984,-0.032986722825,0.0068
0.103104,-0.382,-0.346,-0.016524,-0.0306305283375,0.0072
0.108864,-0.339,-0.367,-0.017154,-0.026703537525,0.0076
0.114624,-0.253,-0.304,-0.017748,-0.0259181393625,0.008
0.120384,-0.222,-0.261,-0.01836,-0.02199114855,0.0084
0.126144,-0.157,-0.156,-0.018972,-0.020420352225,0.0088
0.131904,-0.135,-0.156,-0.019476,-0.017278759575,0.0092
0.1376,-0.129,-0.177,-0.01998,-0.0164933614125,0.0096
0.143296,-0.164,-0.135,-0.020394,-0.0125663706,0.01
0.149056,-0.154,-0.198,-0.020772,-0.0125663706,0.0104
0.154816,-0.211,-0.135,-0.02106,-0.00942477795,0.0108
0.160576,-0.213,-0.219,-0.021348,-0.0086393797875,0.0112
0.166336,-0.26,-0.198,-0.021546,-0.0070685834625,0.0116
0.172096,-0.287,-0.282,-0.021762,-0.0062831853,0.012
0.177856,-0.318,-0.261,-0.021942,-0.0039269908125,0.0124
0.183616,-0.296,-0.282,-0.02214,-0.0039269908125,0.0128
0.189376,-0.312,-0.304,-0.022356,-0.001570796325,0.0132
0.195072,-0.275,-0.282,-0.022572,-0.0007853981625,0.0136
0.200768,-0.24,-0.261,-0.02277,0.001570796325,0.014
0.206336,-0.179,-0.24,-0.023004,0.0023561944875,0.0144
0.212032,-0.153,-0.177,-0.023202,0.0039269908125,0.0148
0.217728,-0.126,-0.156,-0.023418,0.004712388975,0.0152
0.22336,-0.136,-0.113,-0.023562,0.0062831853,0.0156
0.229056,-0.138,-0.198,-0.02367,0.0070685834625,0.016
0.234752,-0.168,-0.156,-0.023706,0.007853981625,0.0164
0.240384,0.397,-0.177,-0.023706,0.0086393797875,0.0168
0.245952,0.395,0.414,-0.023688,0.0102101761125,0.0172
0.251456,0.482,0.456,-0.023526,0.010995574275,0.0176
0.25696,0.484,0.519,-0.02331,0.010995574275,0.018
0.262464,0.444,0.562,-0.022914,0.0117809724375,0.0184
0.267968,0.379,0.456,-0.022446,0.010995574275,0.0188
0.273408,0.27,0.393,-0.021942,0.010995574275,0.0192
0.278912,0.183,0.308,-0.02133,0.0102101761125,0.0196
0.284416,0.103,0.224,-0.020718,0.0102101761125,0.02
0.28992,0.053,0.097,-0.02007,0.0086393797875,0.0204
0.295232,0.002,0.055,-0.019494,0.0086393797875,0.0208
0.30048,0.008,0.012,-0.018936,0.007853981625,0.0212
0.305728,0.024,-0.008,-0.018396,0.0070685834625,0.0216
0.31104,0.048,0.012,-0.017928,0.0070685834625,0.022
0.316352,0.106,0.055,-0.017532,0.007853981625,0.0224
0.321792,0.193,0.118,-0.017154,0.007853981625,0.0228
0.327296,0.257,0.224,-0.016812,0.007853981625,0.0232
0.3328,0.304,0.287,-0.016452,0.0086393797875,0.0236
0.338304,0.338,0.35,-0.016092,0.0086393797875,0.024
0.343808,0.321,0.498,-0.015696,0.007853981625,0.0244
0.349312,0.26,0.414,-0.015246,0.0086393797875,0.0248
0.354816,0.212,0.266,-0.01476,0.0086393797875,0.0252
0.36032,0.16,0.224,-0.014274,0.007853981625,0.0256
0.365824,0.112,0.203,-0.01377,0.007853981625,0.026
0.371328,0.095,0.118,-0.013284,0.007853981625,0.0264
0.376704,0.09,0.181,-0.012816,0.0070685834625,0.0268
0.382144,0.086,0.097,-0.01242,0.0070685834625,0.0272
0.387456,0.105,0.076,-0.012024,0.007853981625,0.0276
0.392832,0.164,0.139,-0.011664,0.007853981625,0.028
0.398336,0.216,0.203,-0.01134,0.007853981625,0.0284
0.40384,0.259,0.224,-0.011016,0.0086393797875,0.0288
0.409344,0.299,0.245,-0.010692,0.0086393797875,0.0292
0.414848,0.309,0.266,-0.01035,0.0086393797875,0.0296
0.420352,0.303,0.372,-0.00999,0.00942477795,0.03
0.425792,0.306,0.456,-0.009594,0.00942477795,0.0304
0.431168,0.276,0.35,-0.009144,0.00942477795,0.0308
0.436608,0.225,0.266,-0.008748,0.00942477795,0.0312
0.441984,0.189,0.181,-0.008262,0.00942477795,0.0316
0.447424,0.16,0.203,-0.007848,0.0086393797875,0.032
0.4528,0.14,0.16,-0.007452,0.00942477795,0.0324
0.45824,0.168,0.118,-0.007056,0.0102101761125,0.0328
0.463616,0.219,0.203,-0.006696,0.00942477795,0.0332
0.469056,0.245,0.245,-0.006318,0.0102101761125,0.0336
0.474496,0.284,0.245,-0.00603,0.010995574275,0.034
0.479872,0.316,0.308,-0.005688,0.0102101761125,0.0344
0.485312,0.31,0.393,-0.00531,0.010995574275,0.0348
0.490688,0.318,0.308,-0.004986,0.0117809724375,0.0352
0.496128,0.311,0.393,-0.004536,0.010995574275,0.0356
