time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.292,0.003,6.4e-05,-0.0753982236,0.0004
0.013376,-1.291,-1.327,6.4e-05,-0.0753982236,0.0008
0.017152,-1.349,-1.348,-0.000192,-0.0753982236,0.0012
0.022848,-1.272,-1.369,-0.000192,-0.0753982236,0.0016
0.026944,-1.146,-1.306,-0.00128,-0.0753982236,0.002
0.032704,-1.066,-1.073,-0.00128,-0.0753982236,0.0024
0.036928,-0.854,-1.052,-0.003328,-0.062831853,0.0028
0.04256,-0.477,-1.031,-0.003328,-0.062831853,0.0032
0.04672,-0.186,-0.482,-0.00608,-0.062831853,0.0036
0.052288,0.444,-0.228,-0.00608,-0.062831853,0.004
0.056256,-0.153,0.468,-0.008896,-0.0502654824,0.0044
0.06176,0.574,-0.165,-0.008896,-0.0502654824,0.0048
0.065728,0.108,0.616,-0.011264,-0.0376991118,0.0052
0.071232,0.906,0.109,-0.011264,-0.0376991118,0.0056
0.075136,0.339,0.912,-0.013056,-0.0376991118,0.006
0.08064,0.771,0.447,-0.013056,-0.0376991118,0.0064
0.084608,-0.168,0.785,-0.013952,-0.0376991118,0.0068
0.090176,-0.484,-0.123,-0.013952,-0.0376991118,0.0072
0.094336,-0.879,-0.524,-0.014208,-0.0376991118,0.0076
0.099968,-1.11,-0.862,-0.014208,-0.0376991118,0.008
0.104192,-1.155,-1.179,-0.014592,-0.0251327412,0.0084
0.110144,-0.826,-1.179,-0.014592,-0.0251327412,0.0088
0.114432,-0.439,-0.82,-0.015808,-0.0251327412,0.0092
0.120192,-0.282,-0.44,-0.015808,-0.0251327412,0.0096
0.124416,-0.083,-0.271,-0.017408,-0.0125663706,0.01
0.130112,0.802,-0.102,-0.017408,-0.0125663706,0.0104
0.134208,0.352,0.848,-0.018944,-0.0125663706,0.0108
0.139776,0.854,0.32,-0.018944,-0.0125663706,0.0112
0.143808,-0.003,0.89,-0.01984,-0.0125663706,0.0116
0.149312,-0.263,0.024,-0.01984,-0.0125663706,0.012
0.153344,-0.617,-0.228,-0.019968,-0.0125663706,0.0124
0.159168,-0.822,-0.651,-0.019968,-0.0125663706,0.0128
0.163328,-1.034,-0.862,-0.020096,-0.0125663706,0.0132
0.169152,-1.085,-1.073,-0.020096,-0.0125663706,0.0136
0.173504,-0.939,-1.179,-0.020864,0.0,0.014
0.179072,-0.486,-1.01,-0.020864,0.0,0.0144
0.182976,-0.046,-0.524,-0.022144,0.0,0.0148
0.188352,0.696,-0.08,-0.022144,0.0,0.0152
0.192064,0.282,0.743,-0.023488,0.0125663706,0.0156
0.197504,1.107,0.299,-0.023488,0.0125663706,0.016
0.201536,0.623,1.25,-0.024448,0.0125663706,0.0164
0.207168,1.109,0.679,-0.024448,0.0125663706,0.0168
0.211136,0.816,1.144,-0.024384,0.0125663706,0.0172
0.216768,0.606,0.869,-0.024384,0.0125663706,0.0176
0.220672,0.251,0.637,-0.023296,0.0125663706,0.018
0.226176,-0.532,0.257,-0.023296,0.0125663706,0.0184
0.230208,-0.132,-0.566,-0.021824,0.0125663706,0.0188
0.235904,-0.773,-0.123,-0.021824,0.0125663706,0.0192
0.24,-0.164,-0.82,-0.020608,0.0125663706,0.0196
0.245696,-0.685,-0.186,-0.020608,0.0125663706,0.02
0.249792,0.033,-0.672,-0.019968,0.0125663706,0.0204
0.255296,-0.467,0.003,-0.019968,0.0125663706,0.0208
0.259136,0.221,-0.482,-0.019904,0.0125663706,0.0212
0.264768,-0.326,0.193,-0.019904,0.0125663706,0.0216
0.2688,-0.303,-0.271,-0.020096,0.0125663706,0.022
0.274432,-0.366,-0.271,-0.020096,0.0125663706,0.0224
0.278592,-0.411,-0.334,-0.020416,0.0125663706,0.0228
0.284288,-0.444,-0.397,-0.020416,0.0125663706,0.0232
0.288384,-0.339,-0.461,-0.020928,0.0251327412,0.0236
0.294144,0.605,-0.292,-0.020928,0.0251327412,0.024
0.29824,0.355,0.658,-0.02144,0.0251327412,0.0244
0.303872,1.034,0.362,-0.02144,0.0251327412,0.0248
0.307968,0.408,1.06,-0.021632,0.0251327412,0.0252
0.3136,0.866,0.426,-0.021632,0.0251327412,0.0256
0.317632,0.634,0.912,-0.020992,0.0251327412,0.026
0.323264,0.52,0.679,-0.020992,0.0251327412,0.0264
0.327232,0.324,0.531,-0.019776,0.0251327412,0.0268
0.332864,-0.357,0.299,-0.019776,0.0251327412,0.0272
0.33696,0.163,-0.355,-0.018368,0.0251327412,0.0276
0.342656,-0.423,-0.017,-0.018368,0.0251327412,0.028
0.346752,0.219,-0.376,-0.017216,0.0251327412,0.0284
0.352448,-0.297,0.341,-0.017216,0.0251327412,0.0288
0.356544,0.518,-0.271,-0.016384,0.0376991118,0.0292
0.36224,0.928,0.552,-0.016384,0.0376991118,0.0296
0.366272,1.324,1.017,-0.01568,0.0376991118,0.03
0.372032,1.426,1.44,-0.01568,0.0376991118,0.0304
0.376256,1.395,1.524,-0.014528,0.0376991118,0.0308
0.382016,1.238,1.503,-0.014528,0.0376991118,0.0312
0.386176,0.83,1.25,-0.012096,0.0251327412,0.0316
0.391872,-0.324,0.869,-0.012096,0.0251327412,0.032
0.395968,-0.264,-0.355,-0.00896,0.0251327412,0.0324
0.401664,-1.008,-0.249,-0.00896,0.0251327412,0.0328
0.405888,-0.524,-1.052,-0.005888,0.0125663706,0.0332
0.41152,-1.294,-0.482,-0.005888,0.0125663706,0.0336
0.41568,-0.674,-1.412,-0.00384,0.0125663706,0.034
0.421312,-1.082,-0.693,-0.00384,0.0125663706,0.0344
0.425472,0.028,-1.073,-0.002944,0.0251327412,0.0348
0.43104,0.693,-0.059,-0.002944,0.0251327412,0.0352
0.435008,1.369,0.764,-0.00288,0.0251327412,0.0356
0.440576,1.622,1.398,-0.00288,0.0251327412,0.036
0.444672,1.703,1.799,-0.002432,0.0251327412,0.0364
0.450368,1.554,1.799,-0.002432,0.0251327412,0.0368
0.454464,1.213,1.63,-0.000832,0.0251327412,0.0372
0.460032,0.935,1.376,-0.000832,0.0251327412,0.0376
0.463936,0.464,1.017,0.001856,0.0125663706,0.038
0.469376,-0.638,0.489,0.001856,0.0125663706,0.0384
0.473216,-0.496,-0.651,0.004992,0.0125663706,0.0388
0.47872,-1.168,-0.482,0.004992,0.0125663706,0.0392
0.482752,-0.464,-1.306,0.007616,0.0125663706,0.0396
0.48832,-0.819,-0.482,0.007616,0.0125663706,0.04
0.492288,0.324,-0.862,0.00928,0.0251327412,0.0404
0.497792,0.959,0.278,0.00928,0.0251327412,0.0408
0.501632,1.616,1.102,0.010112,0.0251327412,0.0412
0.507328,1.842,1.693,0.010112,0.0251327412,0.0416
0.511424,1.755,2.031,0.011392,0.0125663706,0.042
0.516992,1.222,1.841,0.011392,0.0125663706,0.0424
0.521024,0.552,1.334,0.013824,0.0125663706,0.0428
0.526528,-0.403,0.637,0.013824,0.0125663706,0.0432
0.530496,-0.24,-0.313,0.017024,0.0,0.0436
0.535808,-1.204,-0.249,0.017024,0.0,0.044
0.539648,-0.675,-1.264,0.019776,0.0125663706,0.0444
0.545344,-0.83,-0.714,0.019776,0.0125663706,0.0448
0.549376,0.451,-0.841,0.021632,0.0125663706,0.0452
0.55488,0.883,0.426,0.021632,0.0125663706,0.0456
0.55872,1.309,0.996,0.02272,0.0125663706,0.046
0.564224,1.441,1.419,0.02272,0.0125663706,0.0464
0.568256,1.457,1.567,0.024064,0.0125663706,0.0468
0.573824,1.343,1.545,0.024064,0.0125663706,0.0472
0.577856,1.121,1.44,0.026304,0.0125663706,0.0476
0.583424,0.956,1.207,0.026304,0.0125663706,0.048
0.587392,0.618,0.996,0.029504,0.0,0.0484
0.592512,-0.416,0.679,0.029504,0.0,0.0488
0.596224,-0.178,-0.418,0.03296,0.0,0.0492
