time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
0,-1292,3,64,-4320,400
13376,-1291,-1327,64,-4320,800
17152,-1349,-1348,-192,-4320,1200
22848,-1272,-1369,-192,-4320,1600
26944,-1146,-1306,-1280,-4320,2000
32704,-1066,-1073,-1280,-4320,2400
36928,-854,-1052,-3328,-3600,2800
42560,-477,-1031,-3328,-3600,3200
46720,-186,-482,-6080,-3600,3600
52288,444,-228,-6080,-3600,4000
56256,-153,468,-8896,-2880,4400
61760,574,-165,-8896,-2880,4800
65728,108,616,-11264,-2160,5200
71232,906,109,-11264,-2160,5600
75136,339,912,-13056,-2160,6000
80640,771,447,-13056,-2160,6400
84608,-168,785,-13952,-2160,6800
90176,-484,-123,-13952,-2160,7200
94336,-879,-524,-14208,-2160,7600
99968,-1110,-862,-14208,-2160,8000
104192,-1155,-1179,-14592,-1440,8400
110144,-826,-1179,-14592,-1440,8800
114432,-439,-820,-15808,-1440,9200
120192,-282,-440,-15808,-1440,9600
124416,-83,-271,-17408,-720,10000
130112,802,-102,-17408,-720,10400
134208,352,848,-18944,-720,10800
139776,854,320,-18944,-720,11200
143808,-3,890,-19840,-720,11600
149312,-263,24,-19840,-720,12000
153344,-617,-228,-19968,-720,12400
159168,-822,-651,-19968,-720,12800
163328,-1034,-862,-20096,-720,13200
169152,-1085,-1073,-20096,-720,13600
173504,-939,-1179,-20864,0,14000
179072,-486,-1010,-20864,0,14400
182976,-46,-524,-22144,0,14800
188352,696,-80,-22144,0,15200
192064,282,743,-23488,720,15600
197504,1107,299,-23488,720,16000
201536,623,1250,-24448,720,16400
207168,1109,679,-24448,720,16800
211136,816,1144,-24384,720,17200
216768,606,869,-24384,720,17600
220672,251,637,-23296,720,18000
226176,-532,257,-23296,720,18400
230208,-132,-566,-21824,720,18800
235904,-773,-123,-21824,720,19200
240000,-164,-820,-20608,720,19600
245696,-685,-186,-20608,720,20000
249792,33,-672,-19968,720,20400
255296,-467,3,-19968,720,20800
259136,221,-482,-19904,720,21200
264768,-326,193,-19904,720,21600
268800,-303,-271,-20096,720,22000
274432,-366,-271,-20096,720,22400
278592,-411,-334,-20416,720,22800
284288,-444,-397,-20416,720,23200
288384,-339,-461,-20928,1440,23600
294144,605,-292,-20928,1440,24000
298240,355,658,-21440,1440,24400
303872,1034,362,-21440,1440,24800
307968,408,1060,-21632,1440,25200
313600,866,426,-21632,1440,25600
317632,634,912,-20992,1440,26000
323264,520,679,-20992,1440,26400
327232,324,531,-19776,1440,26800
332864,-357,299,-19776,1440,27200
336960,163,-355,-18368,1440,27600
342656,-423,-17,-18368,1440,28000
346752,219,-376,-17216,1440,28400
352448,-297,341,-17216,1440,28800
356544,518,-271,-16384,2160,29200
362240,928,552,-16384,2160,29600
366272,1324,1017,-15680,2160,30000
372032,1426,1440,-15680,2160,30400
376256,1395,1524,-14528,2160,30800
382016,1238,1503,-14528,2160,31200
386176,830,1250,-12096,1440,31600
391872,-324,869,-12096,1440,32000
395968,-264,-355,-8960,1440,32400
401664,-1008,-249,-8960,1440,32800
405888,-524,-1052,-5888,720,33200
411520,-1294,-482,-5888,720,33600
415680,-674,-1412,-3840,720,34000
421312,-1082,-693,-3840,720,34400
425472,28,-1073,-2944,1440,34800
431040,693,-59,-2944,1440,35200
435008,1369,764,-2880,1440,35600
440576,1622,1398,-2880,1440,36000
444672,1703,1799,-2432,1440,36400
450368,1554,1799,-2432,1440,36800
454464,1213,1630,-832,1440,37200
460032,935,1376,-832,1440,37600
463936,464,1017,1856,720,38000
469376,-638,489,1856,720,38400
473216,-496,-651,4992,720,38800
478720,-1168,-482,4992,720,39200
482752,-464,-1306,7616,720,39600
488320,-819,-482,7616,720,40000
492288,324,-862,9280,1440,40400
497792,959,278,9280,1440,40800
501632,1616,1102,10112,1440,41200
507328,1842,1693,10112,1440,41600
511424,1755,2031,11392,720,42000
516992,1222,1841,11392,720,42400
521024,552,1334,13824,720,42800
526528,-403,637,13824,720,43200
530496,-240,-313,17024,0,43600
535808,-1204,-249,17024,0,44000
539648,-675,-1264,19776,720,44400
545344,-830,-714,19776,720,44800
549376,451,-841,21632,720,45200
554880,883,426,21632,720,45600
558720,1309,996,22720,720,46000
564224,1441,1419,22720,720,46400
568256,1457,1567,24064,720,46800
573824,1343,1545,24064,720,47200
577856,1121,1440,26304,720,47600
583424,956,1207,26304,720,48000
587392,618,996,29504,0,48400
592512,-416,679,29504,0,48800
596224,-178,-418,32960,0,49200
601536,-847,-186,32960,0,49600
605312,-171,-841,36224,0,50000
610688,-578,-207,36224,0,50400
614464,333,-566,38784,0,50800
619712,571,341,38784,0,51200
623296,707,637,40640,-720,51600
628800,512,721,40640,-720,52000
632768,269,595,42688,-720,52400
638272,-417,341,42688,-720,52800
642304,135,-418,45120,-720,53200
647872,-399,109,45120,-720,53600
651904,328,-376,47296,-720,54000
657536,450,405,47296,-720,54400
661440,608,426,49088,-720,54800
666944,680,637,49088,-720,55200
670912,759,700,50880,-720,55600
676416,771,721,50880,-720,56000
680320,765,890,52992,-720,56400
685824,745,869,52992,-720,56800
689792,687,721,55424,-720,57200
695296,647,764,55424,-720,57600
699264,481,616,58496,-1440,58000
704832,-475,510,58496,-1440,58400
708928,-211,-545,61760,-1440,58800
714688,-876,-207,61760,-1440,59200
718912,-208,-883,64768,-1440,59600
724672,-633,-292,64768,-1440,60000
728896,239,-672,66880,-1440,60400
734528,450,236,66880,-1440,60800
738560,664,489,68352,-1440,61200
744192,745,700,68352,-1440,61600
748224,779,848,69760,-1440,62000
753792,741,721,69760,-1440,62400
757824,647,764,71680,-1440,62800
763392,585,764,71680,-1440,63200
767424,493,616,74048,-1440,63600
773056,438,531,74048,-1440,64000
777088,396,510,76608,-1440,64400
782656,396,426,76608,-1440,64800
786752,411,426,79360,-1440,65200
792320,441,447,79360,-1440,65600
796352,353,489,82112,-2160,66000
801920,-566,383,82112,-2160,66400
806080,-274,-566,84864,-2160,66800
811840,-944,-313,84864,-2160,67200
816064,-297,-1010,87232,-2160,67600
821952,-738,-271,87232,-2160,68000
826112,111,-735,88704,-2160,68400
831808,-312,109,88704,-2160,68800
835968,461,-249,89408,-2160,69200
841600,529,510,89408,-2160,69600
845632,545,574,89792,-2160,70000
851264,501,574,89792,-2160,70400
855296,411,531,90304,-2160,70800
860864,-254,405,90304,-2160,71200
865024,240,-271,91072,-2160,71600
870656,-400,299,91072,-2160,72000
874816,144,-355,91584,-2160,72400
880512,-466,130,91584,-2160,72800
884608,263,-524,91776,-1440,73200
890304,642,257,91776,-1440,73600
894336,422,595,91712,-1440,74000
899904,1058,426,91712,-1440,74400
904000,1041,1186,91904,-1440,74800
909760,964,1060,91904,-1440,75200
913856,712,996,92800,-1440,75600
919488,523,743,92800,-1440,76000
923520,294,574,94336,-1440,76400
929088,-403,320,94336,-1440,76800
933184,104,-461,96000,-1440,77200
938880,-482,151,96000,-1440,77600
943040,170,-503,97472,-1440,78000
948672,-357,151,97472,-1440,78400
952832,330,-334,98432,-1440,78800
958464,388,320,98432,-1440,79200
962496,435,405,99008,-1440,79600
968064,446,447,99008,-1440,80000
972096,437,447,99584,-1440,80400
977728,411,468,99584,-1440,80800
981760,373,468,100416,-1440,81200
987456,-250,405,100416,-1440,81600
991616,299,-292,101440,-1440,82000
997376,-309,362,101440,-1440,82400
1001600,274,-334,102272,-1440,82800
1007488,-325,299,102272,-1440,83200
1011776,276,-355,102848,-1440,83600
1017664,-313,278,102848,-1440,84000
1021952,287,-123,103168,-1440,84400
1027776,-302,257,103168,-1440,84800
1032064,416,-292,103168,-720,85200
1037824,785,447,103168,-720,85600
1041920,521,869,103104,-720,86000
1047616,1121,552,103104,-720,86400
1051840,1051,1081,103360,-720,86800
1057664,962,1102,103360,-720,87200
1061888,734,1060,104320,-720,87600
1067648,558,764,104320,-720,88000
1071808,206,595,105984,-1440,88400
1077568,-846,214,105984,-1440,88800
1081856,-654,-862,107776,-1440,89200
1087808,-1309,-672,107776,-1440,89600
1092288,-594,-1327,108992,-1440,90000
1098304,-941,-609,108992,-1440,90400
1102720,-430,-968,108992,-720,90800
1108544,736,-440,108992,-720,91200
1112768,722,785,108288,-720,91600
1118464,1470,743,108288,-720,92000
1122688,831,1736,107904,-720,92400
1128448,1210,848,107904,-720,92800
1132672,796,1271,108736,-720,93200
1138432,571,827,108736,-720,93600
1142528,252,637,110336,-720,94000
1148224,-473,257,110336,-720,94400
1152448,-117,-545,112128,-1440,94800
1158400,-1062,-102,112128,-1440,95200
