time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.424,-0.022,0.0,-0.0871791960375,0.0004
0.013312,-1.406,-1.396,-1.8e-05,-0.08482300155,0.0008
0.018816,-1.229,-1.375,-0.000414,-0.083252205225,0.0012
0.024512,-1.06,-1.29,-0.001044,-0.0816814089,0.0016
0.030272,-0.83,-1.079,-0.00207,-0.076969019925,0.002
0.035968,-0.53,-0.783,-0.003366,-0.0746128254375,0.0024
0.0416,-0.302,-0.487,-0.004716,-0.067544241975,0.0028
0.047168,-0.062,-0.255,-0.006228,-0.0651880474875,0.0032
0.052736,0.013,-0.043,-0.007596,-0.0589048621875,0.0036
0.058112,0.073,0.019,-0.008946,-0.0565486677,0.004
0.06336,0.005,0.061,-0.01008,-0.0510508805625,0.0044
0.068608,-0.024,-0.043,-0.011142,-0.0479092879125,0.0048
0.074176,-0.1,-0.022,-0.01215,-0.0447676952625,0.0052
0.079744,-0.174,-0.065,-0.013032,-0.0416261026125,0.0056
0.085376,-0.253,-0.17,-0.013842,-0.039269908125,0.006
0.091072,-0.334,-0.212,-0.014616,-0.036128315475,0.0064
0.096768,-0.355,-0.318,-0.015336,-0.032986722825,0.0068
0.102464,-0.355,-0.339,-0.01611,-0.0314159265,0.0072
0.108288,-0.353,-0.36,-0.016812,-0.0274889356875,0.0076
0.114048,-0.3,-0.36,-0.017586,-0.026703537525,0.008
0.119872,-0.29,-0.297,-0.018252,-0.02199114855,0.0084
0.125632,-0.197,-0.255,-0.019008,-0.020420352225,0.0088
0.131456,-0.173,-0.212,-0.01962,-0.017278759575,0.0092
0.137152,-0.144,-0.086,-0.020214,-0.01570796325,0.0096
0.142784,-0.149,-0.191,-0.020754,-0.0117809724375,0.01
0.148544,-0.139,-0.128,-0.021204,-0.0117809724375,0.0104
0.154368,-0.198,-0.149,-0.0216,-0.0086393797875,0.0108
0.160192,-0.198,-0.318,-0.021978,-0.0062831853,0.0112
0.165952,-0.194,-0.212,-0.022212,-0.0054977871375,0.0116
0.171776,-0.215,-0.17,-0.022464,-0.0039269908125,0.012
0.177536,-0.226,-0.255,-0.022662,-0.001570796325,0.0124
0.183232,-0.223,-0.255,-0.022824,-0.001570796325,0.0128
0.188992,-0.275,-0.234,-0.02295,-0.0007853981625,0.0132
0.194624,-0.299,-0.255,-0.023058,0.001570796325,0.0136
0.200256,-0.274,-0.276,-0.023166,0.0023561944875,0.014
0.205952,-0.268,-0.276,-0.023238,0.00314159265,0.0144
0.211712,-0.271,-0.234,-0.023346,0.0039269908125,0.0148
0.217408,-0.268,-0.297,-0.0234,0.0054977871375,0.0152
0.223104,-0.258,-0.255,-0.023472,0.0054977871375,0.0156
0.2288,-0.258,-0.212,-0.023526,0.007853981625,0.016
0.234496,-0.206,-0.276,-0.023562,0.0086393797875,0.0164
0.240256,-0.19,-0.255,-0.023598,0.00942477795,0.0168
0.245952,-0.171,-0.191,-0.023616,0.010995574275,0.0172
0.251648,0.453,-0.191,-0.023616,0.0117809724375,0.0176
0.257216,0.463,0.526,-0.023598,0.0125663706,0.018
0.262784,0.543,0.484,-0.023436,0.014137166925,0.0184
0.268288,0.532,0.505,-0.023184,0.0133517687625,0.0188
0.273792,0.451,0.568,-0.02277,0.014137166925,0.0192
0.279296,0.377,0.463,-0.022284,0.0133517687625,0.0196
0.284864,0.269,0.357,-0.02169,0.0133517687625,0.02
0.290368,0.186,0.294,-0.020988,0.0125663706,0.0204
0.295872,0.126,0.209,-0.020268,0.0125663706,0.0208
0.301376,0.102,0.146,-0.01953,0.010995574275,0.0212
0.30688,0.068,0.103,-0.01881,0.010995574275,0.0216
0.31232,0.071,0.082,-0.018144,0.00942477795,0.022
0.317696,0.063,0.082,-0.017478,0.00942477795,0.0224
0.323072,0.088,0.061,-0.01692,0.0086393797875,0.0228
0.328384,0.102,0.061,-0.016326,0.007853981625,0.0232
0.333824,0.113,0.103,-0.015804,0.007853981625,0.0236
0.339392,0.155,0.103,-0.0153,0.0086393797875,0.024
0.344896,0.213,0.167,-0.014796,0.007853981625,0.0244
0.3504,0.228,0.209,-0.014382,0.007853981625,0.0248
0.355968,0.245,0.251,-0.013914,0.0086393797875,0.0252
0.361472,0.263,0.315,-0.0135,0.007853981625,0.0256
0.366976,0.234,0.294,-0.01305,0.007853981625,0.026
0.372544,0.213,0.23,-0.0126,0.0086393797875,0.0264
0.378048,0.222,0.188,-0.012186,0.0086393797875,0.0268
0.383552,0.229,0.209,-0.011682,0.0086393797875,0.0272
0.389056,0.237,0.082,-0.011232,0.0086393797875,0.0276
0.394496,0.248,0.209,-0.010764,0.00942477795,0.028
0.400064,0.285,0.23,-0.010278,0.0086393797875,0.0284
0.405568,0.268,0.294,-0.00981,0.0086393797875,0.0288
0.411008,0.247,0.272,-0.009324,0.0086393797875,0.0292
0.416448,0.226,0.23,-0.008874,0.0086393797875,0.0296
0.421888,0.216,0.209,-0.008442,0.00942477795,0.03
