time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
0,-1424,-22,0,-4995,400
13312,-1406,-1396,-18,-4860,800
18816,-1229,-1375,-414,-4770,1200
24512,-1060,-1290,-1044,-4680,1600
30272,-830,-1079,-2070,-4410,2000
35968,-530,-783,-3366,-4275,2400
41600,-302,-487,-4716,-3870,2800
47168,-62,-255,-6228,-3735,3200
52736,13,-43,-7596,-3375,3600
58112,73,19,-8946,-3240,4000
63360,5,61,-10080,-2925,4400
68608,-24,-43,-11142,-2745,4800
74176,-100,-22,-12150,-2565,5200
79744,-174,-65,-13032,-2385,5600
85376,-253,-170,-13842,-2250,6000
91072,-334,-212,-14616,-2070,6400
96768,-355,-318,-15336,-1890,6800
102464,-355,-339,-16110,-1800,7200
108288,-353,-360,-16812,-1575,7600
114048,-300,-360,-17586,-1530,8000
119872,-290,-297,-18252,-1260,8400
125632,-197,-255,-19008,-1170,8800
131456,-173,-212,-19620,-990,9200
137152,-144,-86,-20214,-900,9600
142784,-149,-191,-20754,-675,10000
148544,-139,-128,-21204,-675,10400
154368,-198,-149,-21600,-495,10800
160192,-198,-318,-21978,-360,11200
165952,-194,-212,-22212,-315,11600
171776,-215,-170,-22464,-225,12000
177536,-226,-255,-22662,-90,12400
183232,-223,-255,-22824,-90,12800
188992,-275,-234,-22950,-45,13200
194624,-299,-255,-23058,90,13600
200256,-274,-276,-23166,135,14000
205952,-268,-276,-23238,180,14400
211712,-271,-234,-23346,225,14800
217408,-268,-297,-23400,315,15200
223104,-258,-255,-23472,315,15600
228800,-258,-212,-23526,450,16000
234496,-206,-276,-23562,495,16400
240256,-190,-255,-23598,540,16800
245952,-171,-191,-23616,630,17200
251648,453,-191,-23616,675,17600
257216,463,526,-23598,720,18000
262784,543,484,-23436,810,18400
268288,532,505,-23184,765,18800
273792,451,568,-22770,810,19200
279296,377,463,-22284,765,19600
284864,269,357,-21690,765,20000
290368,186,294,-20988,720,20400
295872,126,209,-20268,720,20800
301376,102,146,-19530,630,21200
306880,68,103,-18810,630,21600
312320,71,82,-18144,540,22000
317696,63,82,-17478,540,22400
323072,88,61,-16920,495,22800
328384,102,61,-16326,450,23200
333824,113,103,-15804,450,23600
339392,155,103,-15300,495,24000
344896,213,167,-14796,450,24400
350400,228,209,-14382,450,24800
355968,245,251,-13914,495,25200
361472,263,315,-13500,450,25600
366976,234,294,-13050,450,26000
372544,213,230,-12600,495,26400
378048,222,188,-12186,495,26800
383552,229,209,-11682,495,27200
389056,237,82,-11232,495,27600
394496,248,209,-10764,540,28000
400064,285,230,-10278,495,28400
405568,268,294,-9810,495,28800
411008,247,272,-9324,495,29200
416448,226,230,-8874,495,29600
421888,216,209,-8442,540,30000
427328,231,251,-8010,495,30400
432768,214,230,-7614,495,30800
438208,211,251,-7218,540,31200
443648,236,209,-6822,540,31600
449088,247,251,-6426,540,32000
454528,264,230,-6048,585,32400
459968,292,315,-5670,585,32800
465408,302,315,-5256,585,33200
470784,300,336,-4842,630,33600
476224,320,294,-4446,675,34000
481664,334,378,-4014,630,34400
487104,305,463,-3618,630,34800
492544,278,357,-3168,675,35200
497984,271,315,-2718,675,35600
503424,267,272,-2322,675,36000
508864,274,125,-1872,720,36400
514304,310,294,-1386,720,36800
519744,344,378,-990,675,37200
525120,339,336,-468,765,37600
530432,364,336,-36,720,38000
535744,348,378,450,720,38400
540992,330,442,936,720,38800
546240,329,484,1440,810,39200
551552,356,336,1926,765,39600
556928,332,420,2448,765,40000
562240,327,315,2970,765,40400
567616,321,399,3492,765,40800
572992,325,399,4014,765,41200
578368,327,378,4518,765,41600
583680,338,357,5076,810,42000
589056,373,420,5508,810,42400
594368,397,399,6030,810,42800
599744,394,399,6516,765,43200
605120,394,442,7020,900,43600
