time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.294,-0.019,-0.000512,-0.0753982236,0.0004
0.013888,-1.351,-1.413,-0.000512,-0.0753982236,0.0008
0.017856,-0.832,-1.392,-0.000832,-0.0753982236,0.0012
0.023488,-1.317,-0.843,-0.000832,-0.0753982236,0.0016
0.027584,-2.347,-1.392,-0.001792,-0.0753982236,0.002
0.033408,-0.694,-2.258,-0.001792,-0.0753982236,0.0024
0.037568,0.076,-0.695,-0.004032,-0.062831853,0.0028
0.043008,2.128,0.086,-0.004032,-0.062831853,0.0032
0.046912,0.463,2.178,-0.006464,-0.062831853,0.0036
0.052416,-0.389,0.699,-0.006464,-0.062831853,0.004
0.056448,0.086,-0.441,-0.008,-0.0502654824,0.0044
0.061888,2.11,0.107,-0.008,-0.0502654824,0.0048
0.065856,0.435,2.347,-0.008576,-0.0502654824,0.0052
0.071424,-1.301,0.403,-0.008576,-0.0502654824,0.0056
0.075456,-1.162,-1.371,-0.008512,-0.0502654824,0.006
0.08128,-2.25,-1.16,-0.008512,-0.0502654824,0.0064
0.085504,-1.714,-2.322,-0.008768,-0.0502654824,0.0068
0.091328,-0.812,-1.857,-0.008768,-0.0502654824,0.0072
0.095488,-0.077,-0.843,-0.010496,-0.0376991118,0.0076
0.10112,2.055,0.001,-0.010496,-0.0376991118,0.008
0.105088,2.607,2.262,-0.0128,-0.0251327412,0.0084
0.110912,2.295,2.917,-0.0128,-0.0251327412,0.0088
0.115136,0.917,2.558,-0.013376,-0.0251327412,0.0092
0.120832,-0.873,0.952,-0.013376,-0.0251327412,0.0096
0.124992,-0.799,-0.906,-0.012032,-0.0251327412,0.01
0.13088,-0.668,-0.991,-0.012032,-0.0251327412,0.0104
0.135232,-1.222,-0.674,-0.010688,-0.0376991118,0.0108
0.141184,-3.323,-1.265,-0.010688,-0.0376991118,0.0112
0.145664,-1.257,-0.145,-0.010496,-0.0251327412,0.0116
0.15168,-0.285,-1.244,-0.010496,-0.0251327412,0.012
0.156032,0.282,-0.315,-0.011008,-0.0251327412,0.0124
0.161856,2.399,0.255,-0.011008,-0.0251327412,0.0128
0.16608,1.288,2.368,-0.011328,-0.0251327412,0.0132
0.171968,-0.539,1.417,-0.011328,-0.0251327412,0.0136
0.176256,-0.528,-0.568,-0.010624,-0.0251327412,0.014
0.182144,-2.626,-0.547,-0.010624,-0.0251327412,0.0144
0.18656,-3.242,-2.596,-0.00992,-0.0376991118,0.0148
0.192512,-2.873,-0.019,-0.00992,-0.0376991118,0.0152
