time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
0,-1294,-19,-512,-4320,400
13888,-1351,-1413,-512,-4320,800
17856,-832,-1392,-832,-4320,1200
23488,-1317,-843,-832,-4320,1600
27584,-2347,-1392,-1792,-4320,2000
33408,-694,-2258,-1792,-4320,2400
37568,76,-695,-4032,-3600,2800
43008,2128,86,-4032,-3600,3200
46912,463,2178,-6464,-3600,3600
52416,-389,699,-6464,-3600,4000
56448,86,-441,-8000,-2880,4400
61888,2110,107,-8000,-2880,4800
65856,435,2347,-8576,-2880,5200
71424,-1301,403,-8576,-2880,5600
75456,-1162,-1371,-8512,-2880,6000
81280,-2250,-1160,-8512,-2880,6400
85504,-1714,-2322,-8768,-2880,6800
91328,-812,-1857,-8768,-2880,7200
95488,-77,-843,-10496,-2160,7600
101120,2055,1,-10496,-2160,8000
105088,2607,2262,-12800,-1440,8400
110912,2295,2917,-12800,-1440,8800
115136,917,2558,-13376,-1440,9200
120832,-873,952,-13376,-1440,9600
124992,-799,-906,-12032,-1440,10000
130880,-668,-991,-12032,-1440,10400
135232,-1222,-674,-10688,-2160,10800
141184,-3323,-1265,-10688,-2160,11200
145664,-1257,-145,-10496,-1440,11600
151680,-285,-1244,-10496,-1440,12000
156032,282,-315,-11008,-1440,12400
161856,2399,255,-11008,-1440,12800
166080,1288,2368,-11328,-1440,13200
171968,-539,1417,-11328,-1440,13600
176256,-528,-568,-10624,-1440,14000
182144,-2626,-547,-10624,-1440,14400
186560,-3242,-2596,-9920,-2160,14800
192512,-2873,-19,-9920,-2160,15200
196800,-1496,-2829,-10624,-720,15600
202816,1029,-1582,-10624,-720,16000
207104,1029,1100,-12992,-720,16400
212928,3035,1121,-12992,-720,16800
217152,1194,3234,-14848,-720,17200
222912,759,1227,-14848,-720,17600
227072,221,804,-14720,-720,18000
232704,-1911,213,-14720,-720,18400
236928,-204,-1984,-13632,-720,18800
242816,675,-188,-13632,-720,19200
246976,1178,699,-13312,-720,19600
252672,504,1269,-13312,-720,20000
256832,-41,487,-12928,-720,20400
262464,-2128,-61,-12928,-720,20800
266752,-377,-2110,-12096,-720,21200
272640,518,-420,-12096,-720,21600
276800,981,593,-12096,-720,22000
282432,-259,973,-12096,-720,22400
286592,-833,-315,-12288,-720,22800
292352,-1459,-906,-12288,-720,23200
296704,-921,-1540,-12544,-720,23600
302592,487,-991,-12544,-720,24000
306752,556,508,-13376,0,24400
312000,2497,635,-13376,0,24800
315776,1417,2621,-14016,0,25200
321216,1119,1544,-14016,0,25600
325056,454,1142,-13248,-720,26000
330816,-1757,572,-13248,-720,26400
335040,-2294,-1772,-11392,-720,26800
340992,-2025,-2301,-11392,-720,27200
345408,-7,-2089,-10752,-720,27600
351104,1727,65,-10752,-720,28000
355200,1688,1776,-11520,0,28400
360640,3512,1818,-11520,0,28800
364480,2963,318,-11520,0,29200
369856,1554,3255,-11520,0,29600
373696,878,1734,-10176,0,30000
379008,-1278,868,-10176,0,30400
382848,-1293,-1308,-8256,-720,30800
388736,-3281,-1371,-8256,-720,31200
393088,-2038,-82,-6592,-720,31600
398784,-2016,-2047,-6592,-720,32000
403072,-63,-2089,-6272,-720,32400
408832,1687,-40,-6272,-720,32800
412864,635,1818,-6656,-720,33200
418496,412,678,-6656,-720,33600
422464,-1309,403,-6912,-720,34000
428224,-694,-1286,-6912,-720,34400
432448,514,-737,-6720,-720,34800
438080,-627,572,-6720,-720,35200
442176,-1159,-631,-6848,-720,35600
447936,-483,-1202,-6848,-720,36000
452224,70,-462,-7616,-720,36400
457728,-501,65,-7616,-720,36800
461760,45,-568,-8640,0,37200
466944,2030,44,-8640,0,37600
470528,1019,2093,-9216,0,38000
475904,807,1121,-9216,0,38400
479616,-232,635,-9088,0,38800
484864,-2235,-230,-9088,0,39200
488704,-2733,-2364,-8256,-720,39600
494592,-4578,-2808,-8256,-720,40000
498944,-3703,-1434,-8960,0,40400
504448,-2110,-505,-8960,0,40800
508352,-1073,-1963,-10944,0,41200
513920,1199,-1096,-10944,0,41600
517888,1254,1269,-13824,720,42000
523584,3212,1332,-13824,720,42400
527744,3696,3466,-16064,1440,42800
533568,3229,508,-16064,1440,43200
537728,1334,-19,-16448,720,43600
543296,475,1502,-16448,720,44000
547328,-66,487,-15552,720,44400
552896,-2131,-61,-15552,720,44800
557056,-407,-2322,-14720,720,45200
562816,501,-441,-14720,720,45600
566912,522,508,-14784,1440,46000
572544,2569,530,-14784,1440,46400
576640,1461,2896,-14848,1440,46800
582464,1076,1544,-14848,1440,47200
586688,360,1163,-13440,720,47600
592320,-1809,382,-13440,720,48000
596480,-761,-1920,-11200,720,48400
602240,-497,-779,-11200,720,48800
606400,663,-526,-9856,720,49200
611968,1306,656,-9856,720,49600
615936,851,1332,-8960,720,50000
621504,-472,868,-8960,720,50400
625472,-358,-462,-7488,720,50800
631104,1143,-378,-7488,720,51200
635200,1665,1248,-6080,720,51600
640768,-497,1818,-6080,720,52000
644864,-631,-526,-4416,0,52400
650176,-2577,-653,-4416,0,52800
654080,-872,-2660,-3008,0,53200
659520,-562,-969,-3008,0,53600
663296,699,-484,-2816,720,54000
668800,2171,741,-2816,720,54400
672832,1048,2368,-3328,720,54800
678464,760,1142,-3328,720,55200
682432,-492,804,-2752,0,55600
687680,-2514,-420,-2752,0,56000
691520,-847,-2639,-1728,0,56400
696960,-539,-843,-1728,0,56800
700800,720,-526,-1600,720,57200
706304,2197,699,-1600,720,57600
710272,2699,2304,-1984,1440,58000
715968,4522,2959,-1984,1440,58400
720128,3675,1417,-960,720,58800
725696,2081,466,-960,720,59200
729600,912,2410,1152,0,59600
734720,-1266,1058,1152,0,60000
738496,-1143,-1329,3648,0,60400
743936,-3024,-1181,3648,0,60800
747776,-1284,-3146,5952,0,61200
753216,-910,-1413,5952,0,61600
757056,256,-906,6144,0,62000
762176,1672,255,6144,0,62400
765824,1577,1818,5184,720,62800
771328,3418,1649,5184,720,63200
775360,2710,149,5248,0,63600
780480,1374,2980,5248,0,64000
784128,894,1502,6464,720,64400
789568,-1267,889,6464,720,64800
793600,-1302,-1308,8192,0,65200
798976,-3164,-1308,8192,0,65600
802880,-1993,-3188,9344,0,66000
808320,-1619,-2132,9344,0,66400
812224,-881,-1624,8256,720,66800
817856,1370,-885,8256,720,67200
821824,1870,1438,5696,720,67600
827392,1716,1966,5696,720,68000
831360,481,1776,4096,720,68400
836800,-288,530,4096,720,68800
840704,-1326,-272,4096,720,69200
846336,-705,-1329,4096,720,69600
850368,-21,-737,3776,1440,70000
855936,2099,1,3776,1440,70400
859712,1075,2283,3264,1440,70800
865344,807,1142,3264,1440,71200
869376,-320,804,3520,1440,71600
874880,-367,-188,3520,1440,72000
878976,728,-420,4416,1440,72400
884480,1354,804,4416,1440,72800
888512,2512,1396,5120,2160,73200
894080,3841,2790,5120,2160,73600
898176,3170,656,6784,2160,74000
903680,1701,3466,6784,2160,74400
907776,827,1818,9856,1440,74800
913280,-1389,783,9856,1440,75200
917376,-1275,-1413,13568,1440,75600
923200,-1065,-1329,13568,1440,76000
927552,-904,-1075,16704,720,76400
933248,-764,-948,16704,720,76800
937344,401,-758,18112,720,77200
942848,1069,382,18112,720,77600
946816,641,1142,19008,720,78000
952384,-660,699,19008,720,78400
956352,-528,-695,19776,720,78800
961984,-445,-695,19776,720,79200
966080,694,-420,20416,720,79600
971648,-475,741,20416,720,80000
975616,1257,-526,20480,1440,80400
981312,1922,1290,20480,1440,80800
985472,748,2030,20672,1440,81200
991104,-673,804,20672,1440,81600
995200,-565,-716,21440,1440,82000
1000896,-468,-462,21440,1440,82400
1005120,670,-484,22272,1440,82800
1010816,1330,678,22272,1440,83200
1015040,839,1438,22464,1440,83600
1020736,-513,847,22464,1440,84000
1024896,-416,-568,23040,1440,84400
1030720,-319,-420,23040,1440,84800
1034944,808,-272,23488,1440,85200
1040704,-1278,847,23488,1440,85600
1044928,517,-1244,23616,2160,86000
1050752,2187,424,23616,2160,86400
1054912,1082,2452,23360,2160,86800
1060736,-717,1079,23360,2160,87200
1065024,-657,-758,23808,2160,87600
1070848,-533,-674,23808,2160,88000
1075072,625,-505,24256,2160,88400
1080768,2159,635,24256,2160,88800
1084992,3386,2410,24256,2880,89200
1090816,3749,128,24256,2880,89600
1094976,3330,551,24832,2880,90000
1100672,1829,149,24832,2880,90400
1104832,1406,1861,25984,2880,90800
1110592,-882,1523,25984,2880,91200
1114880,-859,-906,27904,2880,91600
1120704,-712,-864,27904,2880,92000
1124928,1112,-758,29376,2880,92400
1130752,1834,1163,29376,2880,92800
1134976,3012,1924,30208,3600,93200
1140800,4337,3213,30208,3600,93600
1145088,3455,1163,32448,2880,94000
1150848,1852,213,32448,2880,94400
1155008,795,2093,35712,2880,94800
1160768,-1526,825,35712,2880,95200
1164992,-1565,-1624,39488,2160,95600
1170944,-3510,-1624,39488,2160,96000
1175360,-1541,-293,42496,2160,96400
1181312,-1468,-1603,42496,2160,96800
1185728,492,-1540,43840,2160,97200
1191552,1313,551,43840,2160,97600
1195712,2532,1354,44224,2880,98000
1201536,3927,2727,44224,2880,98400
1205760,3247,741,45568,2880,98800
1211456,1717,-19,45568,2880,99200
1215616,2997,1924,47552,3600,99600
1221440,3435,3319,47552,3600,100000
1225792,2535,234,50752,2880,100400
1231616,1026,2706,50752,2880,100800
1235904,343,1121,55232,2880,101200
1241664,-1845,361,55232,2880,101600
1246016,-1853,-1920,59968,2160,102000
1252096,-1531,-2005,59968,2160,102400
1256576,-190,-1582,63552,2160,102800
1262592,666,-251,63552,2160,103200
1266816,1839,741,65280,2160,103600
1272640,1160,1924,65280,2160,104000
1276992,540,1269,67264,2160,104400
1282752,-1673,508,67264,2160,104800
1287104,53,-1667,69760,2160,105200
1292928,894,65,69760,2160,105600
1297024,2144,973,71872,2880,106000
1302848,2709,2410,71872,2880,106400
1307136,2047,3065,74304,2880,106800
1313024,1049,2220,74304,2880,107200
1317376,401,1100,78592,2880,107600
1323200,946,382,78592,2880,108000
1327360,369,1058,83776,2160,108400
1333184,-1834,424,83776,2160,108800
1337536,-2512,-1963,89152,1440,109200
1343616,-2189,-2639,89152,1440,109600
1348096,-97,-2279,92928,1440,110000
1353984,832,-82,92928,1440,110400
1358144,1970,868,94528,1440,110800
1363968,2537,2156,94528,1440,111200
1368320,3640,2727,96512,2160,111600
1374208,2681,403,96512,2160,112000
1378432,2230,2980,99904,2160,112400
1384320,-253,2516,99904,2160,112800
1388672,-482,-315,105088,1440,113200
1394688,-2631,-484,105088,1440,113600
1399168,-763,-2765,110400,1440,114000
1405248,-327,-779,110400,1440,114400
1409664,875,-357,113920,1440,114800
1415552,1538,910,113920,1440,115200
1419904,2768,1713,116480,2160,115600
1425856,4144,3023,116480,2160,116000
1430272,3258,994,120384,1440,116400
1436160,1636,1,120384,1440,116800
1440320,1233,1840,124992,1440,117200
1446272,-1117,1311,124992,1440,117600
1450816,-1248,-1096,130368,720,118000
1456832,-1067,-1329,130368,720,118400
1461376,909,-1096,135040,720,118800
1467264,1664,1016,135040,720,119200
1471552,2731,1776,138752,720,119600
1477440,995,3044,138752,720,120000
1481664,281,1037,143488,720,120400
1487488,819,297,143488,720,120800
1491648,1924,868,149056,720,121200
1497472,2491,1966,149056,720,121600
1501824,1727,2727,155520,0,122000
1507392,-637,1924,155520,0,122400
1511488,-768,-716,162880,-720,122800
1517440,-2859,-779,162880,-720,123200
1521920,-2766,-3019,170560,-1440,123600
1528192,-2276,-2892,170560,-1440,124000
1532864,-97,-2237,175424,-1440,124400
1538944,837,-124,175424,-1440,124800
1543360,2037,910,177856,-1440,125200
1549312,395,2326,177856,-1440,125600
1553728,-291,466,180544,-1440,126000
1559744,-1563,-336,180544,-1440,126400
1564352,450,-1624,183616,-720,126800
1570304,1283,487,183616,-720,127200
1574656,1745,1354,185792,-720,127600
1580608,2245,1861,185792,-720,128000
1585024,1608,2579,188416,-720,128400
1590976,643,1713,188416,-720,128800
1595328,35,699,192704,-720,129200
1601024,602,65,192704,-720,129600
1605184,40,635,197312,-1440,130000
1611008,-2125,23,197312,-1440,130400
1615424,-338,-2110,201920,-1440,130800
1621568,589,-209,201920,-1440,131200
1625984,1124,593,205376,-1440,131600
1632000,1741,1185,205376,-1440,132000
1636480,1161,1882,208768,-1440,132400
1642560,-320,1248,208768,-1440,132800
1647040,-306,-336,213248,-1440,133200
1653120,358,-336,213248,-1440,133600
1657536,1584,445,217728,-1440,134000
1663552,2216,1586,217728,-1440,134400
1668032,1600,2558,222528,-1440,134800
1674112,-904,1713,222528,-1440,135200
1678592,-1082,-906,228480,-2160,135600
1684736,-3199,-1160,228480,-2160,136000
1689472,-3097,-3040,233920,-2880,136400
1695680,-2623,-3040,233920,-2880,136800
1700352,-1012,-2702,236160,-2160,137200
1706624,-574,-1075,236160,-2160,137600
1711232,708,-568,235328,-2160,138000
1717184,2890,699,235328,-2160,138400
1721600,3628,3023,234304,-720,138800
1727616,5000,424,234304,-720,139200
1731904,4276,1924,234752,-720,139600
1737856,2491,1142,234752,-720,140000
1742272,1928,2748,236928,-720,140400
1748224,-557,2009,236928,-720,140800
1752640,-615,-568,240640,-720,141200
1758592,-522,-695,240640,-720,141600
1763008,-440,-547,244224,-1440,142000
1769088,-2591,-462,244224,-1440,142400
1773696,-706,-2639,246528,-1440,142800
1779840,-294,-716,246528,-1440,143200
1784384,1046,-272,247040,-720,143600
1790336,2603,1100,247040,-720,144000
1794752,3814,2811,247104,0,144400
1800384,2874,656,247104,0,144800
1804352,2413,3107,248512,0,145200
1809984,573,2516,248512,0,145600
1813952,-54,572,251712,0,146000
1819392,507,-82,251712,0,146400
1823296,-611,572,255424,-720,146800
1829184,-2776,-631,255424,-720,147200
1833664,-909,-2892,259136,-720,147600
1839744,-459,-906,259136,-720,148000
1844160,1557,-462,261120,0,148400
1849792,2198,1544,261120,0,148800
1853824,3139,2389,262272,0,149200
1859456,2253,3382,262272,0,149600
1863488,1531,2410,264896,0,150000
1869120,-809,1628,264896,0,150400
1873152,725,-843,269056,0,150800
1878720,1407,762,269056,0,151200
1882688,2413,1523,273472,0,151600
1888320,2869,2642,273472,0,152000
1892352,2078,3234,278592,-720,152400
