time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.432,-0.011,1.8e-05,-0.0871791960375,0.0004
0.013568,-0.051,-1.427,-1.8e-05,-0.083252205225,0.0008
0.018944,-0.477,-0.053,-0.00036,-0.080110612575,0.0012
0.024384,0.958,-0.412,-0.000522,-0.0746128254375,0.0016
0.029888,0.341,1.087,-0.001044,-0.0761836217625,0.002
0.035392,2.341,0.326,-0.000972,-0.0683296401375,0.0024
0.040832,0.207,2.46,-0.001062,-0.070685834625,0.0028
0.046336,-0.914,0.221,-0.000198,-0.0691150383,0.0032
0.051776,-1.547,-0.962,0.000144,-0.07225663095,0.0036
0.057344,0.095,-1.617,0.000774,-0.0691150383,0.004
0.06272,0.213,0.073,0.000756,-0.0714712327875,0.0044
0.067904,1.454,0.221,0.000936,-0.0651880474875,0.0048
0.073216,-0.659,1.53,0.000738,-0.0699004364625,0.0052
0.078656,1.283,-0.687,0.001224,-0.061261056675,0.0056
0.084224,0.042,1.277,0.001098,-0.0683296401375,0.006
0.0896,-0.023,0.051,0.001872,-0.062831853,0.0064
0.094848,-2.118,-0.053,0.0018,-0.0691150383,0.0068
0.100352,-0.808,-2.166,0.002394,-0.0620464548375,0.0072
0.106112,-2.732,-0.856,0.001692,-0.067544241975,0.0076
0.111808,-1.948,-2.652,0.00126,-0.058119464025,0.008
0.117568,-0.149,-2.103,-0.000522,-0.0589048621875,0.0084
0.123328,1.704,-0.074,-0.00225,-0.048694686075,0.0088
0.12896,3.224,1.763,-0.00396,-0.04084070445,0.0092
0.134656,2.335,-0.053,-0.005472,-0.039269908125,0.0096
0.140288,0.841,2.502,-0.006732,-0.0376991118,0.01
0.145984,-0.937,0.854,-0.006768,-0.029845130175,0.0104
0.15168,-1.8,-0.983,-0.00729,-0.0369137136375,0.0108
0.157568,-0.269,-1.849,-0.007218,-0.0259181393625,0.0112
0.163456,-0.028,-0.264,-0.008064,-0.0274889356875,0.0116
0.169216,1.508,-0.011,-0.008424,-0.0243473430375,0.012
0.174912,0.901,1.636,-0.009198,-0.0196349540625,0.0124
0.180608,0.674,0.854,-0.009054,-0.0212057503875,0.0128
0.18624,-0.892,0.791,-0.008874,-0.0227765467125,0.0132
0.191936,-2.455,-0.983,-0.008406,-0.023561944875,0.0136
0.197824,-1.591,-2.335,-0.008226,-0.0196349540625,0.014
0.203776,-0.363,-1.68,-0.008604,-0.0212057503875,0.0144
0.209664,1.407,-0.307,-0.009198,-0.0180641577375,0.0148
0.215488,2.091,1.446,-0.010116,-0.0133517687625,0.0152
0.221248,1.267,2.291,-0.010242,-0.0102101761125,0.0156
0.227072,0.933,1.298,-0.010008,-0.0117809724375,0.016
0.232768,0.212,1.045,-0.00909,-0.00942477795,0.0164
0.238336,-1.417,0.199,-0.007938,-0.0164933614125,0.0168
0.244096,-0.756,-1.384,-0.006876,-0.0149225650875,0.0172
0.249856,0.063,-0.793,-0.006102,-0.0180641577375,0.0176
0.255488,0.841,0.094,-0.005616,-0.0164933614125,0.018
0.260928,0.267,0.96,-0.005328,-0.017278759575,0.0184
0.266496,-0.386,0.284,-0.004806,-0.014137166925,0.0188
0.272064,-1.033,-0.412,-0.0045,-0.0180641577375,0.0192
0.277952,0.622,-1.046,-0.003996,-0.0164933614125,0.0196
0.283712,0.764,0.643,-0.00405,-0.01570796325,0.02
0.289216,1.94,0.77,-0.003708,-0.0133517687625,0.0204
0.294848,0.387,2.038,-0.003438,-0.0149225650875,0.0208
0.30048,-0.441,0.432,-0.002592,-0.014137166925,0.0212
0.306048,-1.108,-0.455,-0.001872,-0.0180641577375,0.0216
