time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
0,-1432,-11,18,-4995,400
13568,-51,-1427,-18,-4770,800
18944,-477,-53,-360,-4590,1200
24384,958,-412,-522,-4275,1600
29888,341,1087,-1044,-4365,2000
35392,2341,326,-972,-3915,2400
40832,207,2460,-1062,-4050,2800
46336,-914,221,-198,-3960,3200
51776,-1547,-962,144,-4140,3600
57344,95,-1617,774,-3960,4000
62720,213,73,756,-4095,4400
67904,1454,221,936,-3735,4800
73216,-659,1530,738,-4005,5200
78656,1283,-687,1224,-3510,5600
84224,42,1277,1098,-3915,6000
89600,-23,51,1872,-3600,6400
94848,-2118,-53,1800,-3960,6800
100352,-808,-2166,2394,-3555,7200
106112,-2732,-856,1692,-3870,7600
111808,-1948,-2652,1260,-3330,8000
117568,-149,-2103,-522,-3375,8400
123328,1704,-74,-2250,-2790,8800
128960,3224,1763,-3960,-2340,9200
134656,2335,-53,-5472,-2250,9600
140288,841,2502,-6732,-2160,10000
145984,-937,854,-6768,-1710,10400
151680,-1800,-983,-7290,-2115,10800
157568,-269,-1849,-7218,-1485,11200
163456,-28,-264,-8064,-1575,11600
169216,1508,-11,-8424,-1395,12000
174912,901,1636,-9198,-1125,12400
180608,674,854,-9054,-1215,12800
186240,-892,791,-8874,-1305,13200
191936,-2455,-983,-8406,-1350,13600
197824,-1591,-2335,-8226,-1125,14000
203776,-363,-1680,-8604,-1215,14400
209664,1407,-307,-9198,-1035,14800
215488,2091,1446,-10116,-765,15200
221248,1267,2291,-10242,-585,15600
227072,933,1298,-10008,-675,16000
232768,212,1045,-9090,-540,16400
238336,-1417,199,-7938,-945,16800
244096,-756,-1384,-6876,-855,17200
249856,63,-793,-6102,-1035,17600
255488,841,94,-5616,-945,18000
260928,267,960,-5328,-990,18400
266496,-386,284,-4806,-810,18800
272064,-1033,-412,-4500,-1035,19200
277952,622,-1046,-3996,-945,19600
283712,764,643,-4050,-900,20000
289216,1940,770,-3708,-765,20400
294848,387,2038,-3438,-855,20800
300480,-441,432,-2592,-810,21200
306048,-1108,-455,-1872,-1035,21600
311936,556,-1088,-1062,-945,22000
317696,-804,601,-720,-1170,22400
323264,-193,-877,-270,-945,22800
328896,-113,-222,-450,-1035,23200
334656,2083,-95,-216,-900,23600
340160,871,2376,-396,-855,24000
345728,633,918,306,-630,24400
351040,-956,685,576,-1260,24800
