time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.298,0.01,-0.002432,-0.0753982236,0.0004
0.014016,-1.358,-1.404,-0.002432,-0.0753982236,0.0008
0.018048,-1.098,-1.383,-0.002688,-0.0753982236,0.0012
0.023872,-1.211,-1.151,-0.002688,-0.0753982236,0.0016
0.02816,-1.552,-1.256,-0.00384,-0.0753982236,0.002
0.03392,-1.68,-1.616,-0.00384,-0.0753982236,0.0024
0.038144,-1.39,-1.763,-0.006016,-0.0753982236,0.0028
0.043968,-1.452,-1.341,-0.006016,-0.0753982236,0.0032
0.048256,-1.046,-1.425,-0.009472,-0.062831853,0.0036
0.054016,-0.351,-1.066,-0.009472,-0.062831853,0.004
0.05824,0.021,-0.369,-0.01376,-0.0502654824,0.0044
0.063744,1.145,0.053,-0.01376,-0.0502654824,0.0048
0.067712,0.955,1.215,-0.017984,-0.0251327412,0.0052
0.073344,1.966,1.024,-0.017984,-0.0251327412,0.0056
0.077504,0.834,2.102,-0.021184,-0.0251327412,0.006
0.083072,0.954,0.877,-0.021184,-0.0251327412,0.0064
0.087104,0.778,0.982,-0.022656,-0.0125663706,0.0068
0.092544,1.058,0.855,-0.022656,-0.0125663706,0.0072
0.096512,0.192,1.088,-0.022848,-0.0125663706,0.0076
0.102016,-0.437,0.2,-0.022848,-0.0125663706,0.008
0.106112,-0.223,-0.538,-0.0224,-0.0125663706,0.0084
0.111872,-1.336,-0.179,-0.0224,-0.0125663706,0.0088
0.116096,-0.289,-1.404,-0.022016,-0.0125663706,0.0092
0.12192,0.425,-0.263,-0.022016,-0.0125663706,0.0096
0.125952,0.14,0.454,-0.022272,0.0,0.01
0.131264,1.228,0.074,-0.022272,0.0,0.0104
0.134976,0.962,1.362,-0.022336,0.0,0.0108
0.140288,0.916,1.024,-0.022336,0.0,0.0112
0.144128,0.694,0.982,-0.021696,0.0,0.0116
0.149376,-0.481,0.708,-0.021696,0.0,0.012
0.153152,-0.073,-0.475,-0.020352,0.0,0.0124
0.158464,0.461,-0.073,-0.020352,0.0,0.0128
0.162176,0.855,0.56,-0.019136,0.0,0.0132
0.167488,1.047,0.94,-0.019136,0.0,0.0136
