time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
0,-1298,10,-2432,-4320,400
14016,-1358,-1404,-2432,-4320,800
18048,-1098,-1383,-2688,-4320,1200
23872,-1211,-1151,-2688,-4320,1600
28160,-1552,-1256,-3840,-4320,2000
33920,-1680,-1616,-3840,-4320,2400
38144,-1390,-1763,-6016,-4320,2800
43968,-1452,-1341,-6016,-4320,3200
48256,-1046,-1425,-9472,-3600,3600
54016,-351,-1066,-9472,-3600,4000
58240,21,-369,-13760,-2880,4400
63744,1145,53,-13760,-2880,4800
67712,955,1215,-17984,-1440,5200
73344,1966,1024,-17984,-1440,5600
77504,834,2102,-21184,-1440,6000
83072,954,877,-21184,-1440,6400
87104,778,982,-22656,-720,6800
92544,1058,855,-22656,-720,7200
96512,192,1088,-22848,-720,7600
102016,-437,200,-22848,-720,8000
106112,-223,-538,-22400,-720,8400
111872,-1336,-179,-22400,-720,8800
116096,-289,-1404,-22016,-720,9200
121920,425,-263,-22016,-720,9600
125952,140,454,-22272,0,10000
131264,1228,74,-22272,0,10400
134976,962,1362,-22336,0,10800
140288,916,1024,-22336,0,11200
144128,694,982,-21696,0,11600
149376,-481,708,-21696,0,12000
153152,-73,-475,-20352,0,12400
158464,461,-73,-20352,0,12800
162176,855,560,-19136,0,13200
167488,1047,940,-19136,0,13600
171264,842,1109,-17792,0,14000
176576,-360,877,-17792,0,14400
180352,34,-348,-15808,0,14800
185664,-325,10,-15808,0,15200
189312,5,-242,-14144,-720,15600
194880,-1131,-10,-14144,-720,16000
199104,-908,-1193,-12800,-720,16400
204928,-1131,-961,-12800,-720,16800
209280,-230,-1235,-12224,-720,17200
215168,470,-242,-12224,-720,17600
219328,416,517,-12608,0,18000
224640,1494,412,-12608,0,18400
228416,1000,1595,-12800,0,18800
233856,1202,1109,-12800,0,19200
237696,975,1236,-12032,0,19600
243072,346,1024,-12032,0,20000
246848,133,412,-10368,0,20400
252096,-975,137,-10368,0,20800
255872,3,-1024,-8768,0,21200
261056,-281,-31,-8768,0,21600
264768,500,-221,-7552,0,22000
270016,718,454,-7552,0,22400
273600,560,855,-6656,0,22800
278784,-309,581,-6656,0,23200
282496,-35,-432,-5760,-720,23600
288128,-1150,-52,-5760,-720,24000
292224,-691,-1235,-4736,-720,24400
298048,-1708,-686,-4736,-720,24800
302272,-698,-1806,-4672,0,25200
307712,-867,-707,-4672,0,25600
311552,-669,-897,-5696,0,26000
316864,512,-707,-5696,0,26400
320576,254,581,-7232,720,26800
326080,1346,200,-7232,720,27200
330048,1093,1405,-8640,720,27600
335680,1313,1024,-8640,720,28000
339712,433,1362,-8832,720,28400
345280,662,560,-8832,720,28800
