time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.434,-0.011,-0.000576,-0.0871791960375,0.0004
0.013952,-0.991,-1.511,-0.000612,-0.086393797875,0.0008
0.019456,-1.367,-1.004,-0.00099,-0.08482300155,0.0012
0.025152,-0.72,-1.342,-0.00153,-0.0824668070625,0.0016
0.030912,-0.009,-0.709,-0.002466,-0.0793252144125,0.002
0.036352,-0.174,-0.011,-0.003474,-0.076969019925,0.0024
0.041856,0.351,-0.159,-0.004464,-0.07225663095,0.0028
0.047424,-0.201,0.389,-0.0054,-0.070685834625,0.0032
0.052928,-0.508,-0.18,-0.00612,-0.0683296401375,0.0036
0.05856,-0.753,-0.54,-0.006912,-0.0667588438125,0.004
0.064192,-0.458,-0.772,-0.007578,-0.062831853,0.0044
0.069824,-0.945,-0.518,-0.008442,-0.0620464548375,0.0048
0.075456,-0.661,-0.899,-0.009324,-0.0589048621875,0.0052
0.081088,0.0,-0.666,-0.01044,-0.0541924732125,0.0056
0.086528,0.592,0.072,-0.011466,-0.0510508805625,0.006
0.091968,0.328,0.6,-0.012474,-0.0494800842375,0.0064
0.097472,0.032,0.389,-0.01323,-0.0439822971,0.0068
0.102976,-0.592,0.03,-0.013878,-0.0439822971,0.0072
0.108544,-1.139,-0.561,-0.014256,-0.04084070445,0.0076
0.114432,-1.677,-1.216,-0.014868,-0.04084070445,0.008
0.120448,-1.264,-1.744,-0.015642,-0.0369137136375,0.0084
0.1264,-0.785,-1.195,-0.016866,-0.0337721209875,0.0088
0.132288,-0.056,-0.814,-0.018396,-0.029845130175,0.0092
0.137984,0.625,-0.011,-0.019998,-0.023561944875,0.0096
0.143616,0.384,0.664,-0.021492,-0.020420352225,0.01
0.149312,0.078,0.452,-0.022806,-0.0149225650875,0.0104
0.15488,-0.242,0.093,-0.023832,-0.014137166925,0.0108
0.160512,0.3,-0.286,-0.024642,-0.00942477795,0.0112
0.166208,-0.24,0.262,-0.025506,-0.0086393797875,0.0116
0.171968,-0.028,-0.265,-0.026064,-0.004712388975,0.012
