time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
0,-1434,-11,-576,-4995,400
13952,-991,-1511,-612,-4950,800
19456,-1367,-1004,-990,-4860,1200
25152,-720,-1342,-1530,-4725,1600
30912,-9,-709,-2466,-4545,2000
36352,-174,-11,-3474,-4410,2400
41856,351,-159,-4464,-4140,2800
47424,-201,389,-5400,-4050,3200
52928,-508,-180,-6120,-3915,3600
58560,-753,-540,-6912,-3825,4000
64192,-458,-772,-7578,-3600,4400
69824,-945,-518,-8442,-3555,4800
75456,-661,-899,-9324,-3375,5200
81088,0,-666,-10440,-3105,5600
86528,592,72,-11466,-2925,6000
91968,328,600,-12474,-2835,6400
97472,32,389,-13230,-2520,6800
102976,-592,30,-13878,-2520,7200
108544,-1139,-561,-14256,-2340,7600
114432,-1677,-1216,-14868,-2340,8000
120448,-1264,-1744,-15642,-2115,8400
126400,-785,-1195,-16866,-1935,8800
132288,-56,-814,-18396,-1710,9200
137984,625,-11,-19998,-1350,9600
143616,384,664,-21492,-1170,10000
149312,78,452,-22806,-855,10400
154880,-242,93,-23832,-810,10800
160512,300,-286,-24642,-540,11200
166208,-240,262,-25506,-495,11600
171968,-28,-265,-26064,-270,12000
177664,-580,-54,-26748,-270,12400
183360,-13,-582,-27198,-45,12800
188992,-216,-11,-27810,-90,13200
194624,335,-244,-28206,135,13600
200320,-211,368,-28710,135,14000
205888,-29,-223,-28890,315,14400
211520,-263,-32,-29178,315,14800
217152,285,-286,-29268,495,15200
222784,-259,283,-29448,450,15600
228416,594,-286,-29430,540,16000
234048,-213,643,-29502,585,16400
239680,88,-244,-29250,495,16800
245248,719,93,-29214,585,17200
250688,1000,769,-28926,675,17600
256320,387,1023,-28584,585,18000
261888,85,368,-27936,675,18400
267392,-169,72,-27360,540,18800
272896,-366,-328,-26622,495,19200
278656,-50,-392,-26082,405,19600
284224,279,-54,-25650,405,20000
289792,861,283,-25254,360,20400
295296,642,938,-24840,360,20800
300864,1117,685,-24282,450,21200
306496,810,1129,-23472,315,21600
312128,162,769,-22428,270,22000
317632,-451,136,-21276,90,22400
323136,-663,-476,-20088,45,22800
328768,-1139,-687,-19080,-180,23200
334592,-752,-1152,-18306,-180,23600
340480,-303,-751,-18000,-180,24000
346304,414,-286,-17874,-135,24400
352064,388,389,-18000,-90,24800
357568,1536,389,-17946,90,25200
363136,1283,1615,-17802,0,25600
368576,908,1382,-17226,90,26000
374080,515,917,-16578,-90,26400
