time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.336,-0.134,6.4e-05,-0.0753982236,0.0004
0.014016,-1.398,-1.212,6.4e-05,-0.0753982236,0.0008
0.018368,-1.358,-1.423,-0.000256,-0.0753982236,0.0012
0.024512,-1.244,-1.212,-0.000256,-0.0753982236,0.0016
0.029056,-1.273,-1.191,-0.001664,-0.0753982236,0.002
0.035328,-1.248,-1.17,-0.001664,-0.0753982236,0.0024
0.04,-0.515,-1.212,-0.004352,-0.062831853,0.0028
0.046144,0.376,-0.493,-0.004352,-0.062831853,0.0032
0.050496,-0.472,0.393,-0.007744,-0.062831853,0.0036
0.056512,-0.73,-0.451,-0.007744,-0.062831853,0.004
0.060992,-0.21,-0.747,-0.011072,-0.0502654824,0.0044
0.067136,0.533,-0.177,-0.011072,-0.0502654824,0.0048
0.071616,0.479,0.541,-0.014272,-0.0376991118,0.0052
0.077568,1.122,0.499,-0.014272,-0.0376991118,0.0056
0.082048,0.162,1.175,-0.016832,-0.0376991118,0.006
0.088128,0.0,0.182,-0.016832,-0.0376991118,0.0064
0.092224,-0.526,-0.029,-0.01824,-0.0376991118,0.0068
0.09824,-0.78,-0.493,-0.01824,-0.0376991118,0.0072
0.102784,-0.095,-0.768,-0.019328,-0.0251327412,0.0076
0.108928,0.731,-0.05,-0.019328,-0.0251327412,0.008
0.113408,-0.031,0.773,-0.02048,-0.0251327412,0.0084
0.119488,-0.284,-0.05,-0.02048,-0.0251327412,0.0088
0.124096,-0.49,-0.282,-0.021248,-0.0251327412,0.0092
0.130304,-0.676,-0.388,-0.021248,-0.0251327412,0.0096
0.134976,-0.81,-0.62,-0.021824,-0.0251327412,0.01
0.141248,-0.901,-0.789,-0.021824,-0.0251327412,0.0104
0.146048,-0.095,-0.874,-0.022848,-0.0125663706,0.0108
0.152192,0.775,-0.113,-0.022848,-0.0125663706,0.0112
0.156736,0.031,0.773,-0.024128,-0.0125663706,0.0116
0.162688,0.402,0.013,-0.024128,-0.0125663706,0.012
0.167104,-0.373,0.393,-0.02496,-0.0125663706,0.0124
0.173248,-0.547,-0.367,-0.02496,-0.0125663706,0.0128
0.17792,-0.642,-0.599,-0.025152,-0.0125663706,0.0132
0.184128,-0.707,-0.62,-0.025152,-0.0125663706,0.0136
0.1888,-0.762,-0.684,-0.0256,-0.0125663706,0.014
0.195008,-0.801,-0.726,-0.0256,-0.0125663706,0.0144
0.19968,0.002,-0.832,-0.026688,0.0,0.0148
0.205248,0.881,-0.008,-0.026688,0.0,0.0152
0.209344,0.179,0.921,-0.027968,0.0,0.0156
0.214976,0.574,0.182,-0.027968,0.0,0.016
0.219136,-0.188,0.604,-0.028736,0.0,0.0164
0.224896,-0.362,-0.177,-0.028736,0.0,0.0168
0.229184,-0.437,-0.367,-0.028736,0.0,0.0172
0.235008,-0.511,-0.388,-0.028736,0.0,0.0176
0.239296,0.262,-0.536,-0.028928,0.0125663706,0.018
0.245312,1.199,0.245,-0.028928,0.0125663706,0.0184
0.249792,0.53,1.238,-0.02912,0.0125663706,0.0188
0.255872,0.896,0.604,-0.02912,0.0125663706,0.0192
0.260288,0.806,0.963,-0.028608,0.0125663706,0.0196
0.26624,0.624,0.879,-0.028608,0.0125663706,0.02
0.270592,0.584,0.668,-0.0272,0.0125663706,0.0204
0.276544,0.492,0.604,-0.0272,0.0125663706,0.0208
0.28096,-0.31,0.52,-0.02528,0.0,0.0212
0.28672,-1.282,-0.324,-0.02528,0.0,0.0216
0.291072,-0.585,-1.233,-0.023424,0.0,0.022
0.297024,-1.019,-0.62,-0.023424,0.0,0.0224
0.30144,-0.261,-1.022,-0.0224,0.0,0.0228
0.307392,-0.705,-0.282,-0.0224,0.0,0.0232
0.31168,-0.053,-0.747,-0.022336,0.0,0.0236
0.31744,-0.589,-0.071,-0.022336,0.0,0.024
0.321664,0.167,-0.557,-0.02272,0.0125663706,0.0244
0.32768,1.144,0.118,-0.02272,0.0125663706,0.0248
0.332224,0.489,1.365,-0.023168,0.0125663706,0.0252
0.33824,0.868,0.625,-0.023168,0.0125663706,0.0256
0.342656,0.766,0.963,-0.02304,0.0125663706,0.026
0.348608,0.592,0.815,-0.02304,0.0125663706,0.0264
0.35296,0.541,0.625,-0.02208,0.0125663706,0.0268
0.358912,0.455,0.583,-0.02208,0.0125663706,0.0272
0.363328,-0.362,0.499,-0.020608,0.0,0.0276
0.369152,-1.337,-0.324,-0.020608,0.0,0.028
0.373504,-0.666,-1.339,-0.019328,0.0,0.0284
0.379456,-1.091,-0.684,-0.019328,0.0,0.0288
0.383808,-0.353,-1.064,-0.018816,0.0,0.0292
0.38976,-0.797,-0.324,-0.018816,0.0,0.0296
0.394048,0.008,-0.747,-0.019392,0.0125663706,0.03
0.399936,1.015,-0.134,-0.019392,0.0125663706,0.0304
0.40448,0.391,1.111,-0.020096,0.0125663706,0.0308
0.41056,0.811,0.393,-0.020096,0.0125663706,0.0312
0.414912,0.088,0.921,-0.020224,0.0125663706,0.0316
0.4208,0.509,0.055,-0.020224,0.0125663706,0.032
0.425088,0.516,0.604,-0.019584,0.0125663706,0.0324
0.43104,0.437,0.583,-0.019584,0.0125663706,0.0328
0.435456,0.437,0.456,-0.018496,0.0125663706,0.0332
0.441408,0.393,0.477,-0.018496,0.0125663706,0.0336
0.445824,0.426,0.477,-0.01728,0.0125663706,0.034
0.451776,0.398,0.477,-0.01728,0.0125663706,0.0344
0.456128,0.441,0.414,-0.015872,0.0125663706,0.0348
0.462144,0.429,0.477,-0.015872,0.0125663706,0.0352
0.466496,0.493,0.477,-0.014208,0.0125663706,0.0356
0.472448,0.482,0.562,-0.014208,0.0125663706,0.036
0.476864,0.555,0.52,-0.012288,0.0125663706,0.0364
0.482816,0.544,0.689,-0.012288,0.0125663706,0.0368
0.487168,-0.221,0.646,-0.010176,0.0,0.0372
0.492928,-1.19,-0.219,-0.010176,0.0,0.0376
0.497344,-0.482,-1.148,-0.008192,0.0,0.038
0.503168,-0.916,-0.451,-0.008192,0.0,0.0384
0.507392,-0.151,-0.895,-0.006784,0.0,0.0388
0.513152,-0.597,-0.177,-0.006784,0.0,0.0392
0.517376,0.073,-0.557,-0.006272,0.0,0.0396
0.522944,-0.469,0.055,-0.006272,0.0,0.04
0.52704,-0.516,-0.472,-0.0064,0.0,0.0404
0.5328,-0.524,-0.536,-0.0064,0.0,0.0408
0.537024,0.263,-0.472,-0.006848,0.0125663706,0.0412
0.542976,1.224,0.287,-0.006848,0.0125663706,0.0416
0.547328,0.548,1.386,-0.007424,0.0125663706,0.042
0.55328,0.918,0.562,-0.007424,0.0125663706,0.0424
0.557632,0.809,1.048,-0.007424,0.0125663706,0.0428
0.563584,0.618,0.858,-0.007424,0.0125663706,0.0432
0.567872,0.562,0.668,-0.006464,0.0125663706,0.0436
0.57376,0.467,0.668,-0.006464,0.0125663706,0.044
0.578112,0.484,0.477,-0.004928,0.0125663706,0.0444
0.583936,0.455,0.562,-0.004928,0.0125663706,0.0448
0.588224,-0.309,0.456,-0.003136,0.0,0.0452
0.59392,-1.27,-0.261,-0.003136,0.0,0.0456
0.598272,-0.581,-1.254,-0.001408,0.0,0.046
0.604096,-1.008,-0.599,-0.001408,0.0,0.0464
0.608384,0.569,-1.106,-0.000448,0.0125663706,0.0468
0.614336,1.104,0.604,-0.000448,0.0125663706,0.0472
0.618688,1.122,1.217,-0.000256,0.0125663706,0.0476
0.62464,0.969,1.175,-0.000256,0.0125663706,0.048
0.628928,0.855,1.069,0.000384,0.0125663706,0.0484
0.634688,0.69,0.942,0.000384,0.0125663706,0.0488
0.638848,0.655,0.837,0.001728,0.0125663706,0.0492
0.644608,0.561,0.731,0.001728,0.0125663706,0.0496
0.648832,0.596,0.562,0.003584,0.0125663706,0.05
0.654656,0.568,0.668,0.003584,0.0125663706,0.0504
