time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
0,-1336,-134,64,-4320,400
14016,-1398,-1212,64,-4320,800
18368,-1358,-1423,-256,-4320,1200
24512,-1244,-1212,-256,-4320,1600
29056,-1273,-1191,-1664,-4320,2000
35328,-1248,-1170,-1664,-4320,2400
40000,-515,-1212,-4352,-3600,2800
46144,376,-493,-4352,-3600,3200
50496,-472,393,-7744,-3600,3600
56512,-730,-451,-7744,-3600,4000
60992,-210,-747,-11072,-2880,4400
67136,533,-177,-11072,-2880,4800
71616,479,541,-14272,-2160,5200
77568,1122,499,-14272,-2160,5600
82048,162,1175,-16832,-2160,6000
88128,0,182,-16832,-2160,6400
92224,-526,-29,-18240,-2160,6800
98240,-780,-493,-18240,-2160,7200
102784,-95,-768,-19328,-1440,7600
108928,731,-50,-19328,-1440,8000
113408,-31,773,-20480,-1440,8400
119488,-284,-50,-20480,-1440,8800
124096,-490,-282,-21248,-1440,9200
130304,-676,-388,-21248,-1440,9600
134976,-810,-620,-21824,-1440,10000
141248,-901,-789,-21824,-1440,10400
146048,-95,-874,-22848,-720,10800
152192,775,-113,-22848,-720,11200
156736,31,773,-24128,-720,11600
162688,402,13,-24128,-720,12000
167104,-373,393,-24960,-720,12400
173248,-547,-367,-24960,-720,12800
177920,-642,-599,-25152,-720,13200
184128,-707,-620,-25152,-720,13600
188800,-762,-684,-25600,-720,14000
195008,-801,-726,-25600,-720,14400
199680,2,-832,-26688,0,14800
205248,881,-8,-26688,0,15200
209344,179,921,-27968,0,15600
214976,574,182,-27968,0,16000
219136,-188,604,-28736,0,16400
224896,-362,-177,-28736,0,16800
229184,-437,-367,-28736,0,17200
235008,-511,-388,-28736,0,17600
239296,262,-536,-28928,720,18000
245312,1199,245,-28928,720,18400
249792,530,1238,-29120,720,18800
255872,896,604,-29120,720,19200
260288,806,963,-28608,720,19600
266240,624,879,-28608,720,20000
270592,584,668,-27200,720,20400
276544,492,604,-27200,720,20800
280960,-310,520,-25280,0,21200
286720,-1282,-324,-25280,0,21600
291072,-585,-1233,-23424,0,22000
297024,-1019,-620,-23424,0,22400
301440,-261,-1022,-22400,0,22800
307392,-705,-282,-22400,0,23200
311680,-53,-747,-22336,0,23600
317440,-589,-71,-22336,0,24000
321664,167,-557,-22720,720,24400
327680,1144,118,-22720,720,24800
332224,489,1365,-23168,720,25200
338240,868,625,-23168,720,25600
342656,766,963,-23040,720,26000
348608,592,815,-23040,720,26400
352960,541,625,-22080,720,26800
358912,455,583,-22080,720,27200
363328,-362,499,-20608,0,27600
369152,-1337,-324,-20608,0,28000
373504,-666,-1339,-19328,0,28400
379456,-1091,-684,-19328,0,28800
383808,-353,-1064,-18816,0,29200
389760,-797,-324,-18816,0,29600
394048,8,-747,-19392,720,30000
399936,1015,-134,-19392,720,30400
404480,391,1111,-20096,720,30800
410560,811,393,-20096,720,31200
414912,88,921,-20224,720,31600
420800,509,55,-20224,720,32000
425088,516,604,-19584,720,32400
431040,437,583,-19584,720,32800
435456,437,456,-18496,720,33200
441408,393,477,-18496,720,33600
445824,426,477,-17280,720,34000
451776,398,477,-17280,720,34400
456128,441,414,-15872,720,34800
462144,429,477,-15872,720,35200
466496,493,477,-14208,720,35600
472448,482,562,-14208,720,36000
476864,555,520,-12288,720,36400
482816,544,689,-12288,720,36800
487168,-221,646,-10176,0,37200
492928,-1190,-219,-10176,0,37600
497344,-482,-1148,-8192,0,38000
503168,-916,-451,-8192,0,38400
507392,-151,-895,-6784,0,38800
513152,-597,-177,-6784,0,39200
517376,73,-557,-6272,0,39600
522944,-469,55,-6272,0,40000
527040,-516,-472,-6400,0,40400
532800,-524,-536,-6400,0,40800
537024,263,-472,-6848,720,41200
542976,1224,287,-6848,720,41600
547328,548,1386,-7424,720,42000
553280,918,562,-7424,720,42400
557632,809,1048,-7424,720,42800
563584,618,858,-7424,720,43200
567872,562,668,-6464,720,43600
573760,467,668,-6464,720,44000
578112,484,477,-4928,720,44400
583936,455,562,-4928,720,44800
588224,-309,456,-3136,0,45200
593920,-1270,-261,-3136,0,45600
598272,-581,-1254,-1408,0,46000
604096,-1008,-599,-1408,0,46400
608384,569,-1106,-448,720,46800
614336,1104,604,-448,720,47200
618688,1122,1217,-256,720,47600
624640,969,1175,-256,720,48000
628928,855,1069,384,720,48400
634688,690,942,384,720,48800
638848,655,837,1728,720,49200
644608,561,731,1728,720,49600
648832,596,562,3584,720,50000
654656,568,668,3584,720,50400
658880,-178,604,5760,0,50800
664448,-1142,-177,5760,0,51200
668672,-457,-1254,7744,0,51600
674432,-890,-451,7744,0,52000
678528,-134,-874,9152,0,52400
684224,-591,-155,9152,0,52800
688384,57,-536,9408,0,53200
693888,-499,13,9408,0,53600
697792,216,-451,9216,720,54000
703680,1213,245,9216,720,54400
708032,556,1323,8704,720,54800
713856,950,625,8704,720,55200
718144,852,1027,8832,720,55600
723968,670,921,8832,720,56000
728192,610,731,9792,720,56400
734016,505,710,9792,720,56800
738240,498,541,11008,720,57200
744064,451,625,11008,720,57600
748416,482,499,12480,720,58000
754304,457,583,12480,720,58400
758592,509,541,14144,720,58800
764480,489,541,14144,720,59200
768768,555,499,15936,720,59600
774656,547,583,15936,720,60000
778944,620,583,17920,720,60400
784832,604,710,17920,720,60800
789184,-156,710,20160,0,61200
794816,-1120,-198,20160,0,61600
799168,-406,-1148,22400,0,62000
804992,-841,-409,22400,0,62400
809216,-68,-789,24000,0,62800
814848,-534,-92,24000,0,63200
819008,126,-472,24512,0,63600
824704,-427,97,24512,0,64000
828736,308,-451,24448,720,64400
834688,1293,287,24448,720,64800
839104,637,1428,24128,720,65200
845056,1014,668,24128,720,65600
849408,908,1132,24320,720,66000
855360,707,984,24320,720,66400
859712,637,731,25344,720,66800
865536,534,752,25344,720,67200
869888,539,604,26816,720,67600
875712,489,668,26816,720,68000
880064,543,520,28672,720,68400
885952,523,625,28672,720,68800
890240,595,541,30720,720,69200
896128,590,689,30720,720,69600
900416,684,646,33152,720,70000
906304,669,752,33152,720,70400
910656,763,773,35712,720,70800
916480,735,837,35712,720,71200
920832,8,858,38656,0,71600
926208,-944,-8,38656,0,72000
930240,-223,-979,41600,0,72400
936064,-664,-240,41600,0,72800
940224,151,-705,44224,0,73200
945920,-297,139,44224,0,73600
950080,408,-219,45952,0,74000
955712,441,477,45952,0,74400
959744,487,541,47360,0,74800
965312,465,520,47360,0,75200
969344,-274,541,48960,-720,75600
975424,-1313,-219,48960,-720,76000
980032,-634,-1275,50496,-720,76400
986304,-1058,-620,50496,-720,76800
990912,-325,-979,51072,-720,77200
997056,-791,-324,51072,-720,77600
1001664,45,-768,50432,0,78000
1007296,981,13,50432,0,78400
1011392,1124,1111,49536,720,78800
1017472,1939,1196,49536,720,79200
1022080,1131,2231,49280,720,79600
1028160,1326,1217,49280,720,80000
1032768,1194,1470,50560,720,80400
1038848,936,1280,50560,720,80800
1043328,71,1048,53184,0,81200
1049024,-965,55,53184,0,81600
1053184,-263,-1001,56000,0,82000
1059072,-714,-261,56000,0,82400
1063360,86,-726,58432,0,82800
1069056,-368,55,58432,0,83200
1073152,331,-324,59968,0,83600
1078976,368,287,59968,0,84000
1083072,417,456,61120,0,84400
1088768,395,393,61120,0,84800
1092864,426,435,62272,0,85200
1098560,397,393,62272,0,85600
1102656,436,456,63616,0,86000
1108352,411,541,63616,0,86400
1112448,446,477,65088,0,86800
1118144,421,520,65088,0,87200
1122304,476,456,66816,0,87600
1128000,462,541,66816,0,88000
1132096,522,541,68672,0,88400
1137792,503,541,68672,0,88800
1141888,569,541,70656,0,89200
1147584,552,583,70656,0,89600
1151744,618,604,72768,0,90000
1157376,594,668,72768,0,90400
1161536,-128,646,75264,-720,90800
1167680,-1147,-113,75264,-720,91200
1172416,-393,-1170,78016,-720,91600
1178752,-808,-388,78016,-720,92000
1183360,-21,-832,79872,-720,92400
1189504,-489,-29,79872,-720,92800
1194112,1038,-493,80640,0,93200
1199936,1385,1132,80640,0,93600
1204224,1330,1639,81216,0,94000
1210112,1089,1470,81216,0,94400
1214400,965,1280,82432,0,94800
1220160,761,1048,82432,0,95200
1224320,749,879,84544,0,95600
1230016,655,879,84544,0,96000
1234112,-79,752,87168,-720,96400
1240192,-1122,-92,87168,-720,96800
1244864,-372,-1148,90048,-720,97200
1251136,-792,-324,90048,-720,97600
1255808,10,-810,92160,-720,98000
1261888,-451,13,92160,-720,98400
1266368,220,-451,93248,-720,98800
1272512,-347,182,93248,-720,99200
1277056,248,-324,93760,-720,99600
1283200,-377,224,93760,-720,100000
1287872,1072,-346,94016,0,100400
1293824,1357,1196,94016,0,100800
1298176,1266,1492,94400,0,101200
1304128,1026,1344,94400,0,101600
1308480,908,1196,95616,0,102000
1314368,712,1048,95616,0,102400
1318656,696,794,97664,0,102800
1324416,612,773,97664,0,103200
1328576,-131,731,100160,-720,103600
1334912,-1184,-113,100160,-720,104000
1339840,-411,-1254,102976,-720,104400
1346304,-805,-430,102976,-720,104800
1351168,-1,-810,104832,-720,105200
1357376,-469,-8,104832,-720,105600
1362048,175,-493,105472,-720,106000
1368320,-402,139,105472,-720,106400
1373056,1074,-346,105664,0,106800
1379072,1357,1217,105664,0,107200
1383552,1257,1534,105920,0,107600
1389568,1004,1344,105920,0,108000
1394048,884,1154,107136,0,108400
1400000,695,1006,107136,0,108800
1404352,680,752,109056,0,109200
1410240,598,604,109056,0,109600
1414528,671,646,111488,0,110000
1420352,639,752,111488,0,110400
1424640,734,710,114304,0,110800
1430464,712,668,114304,0,111200
1434752,-2,794,117312,-720,111600
1440896,-1015,13,117312,-720,112000
1445632,-220,-1064,120832,-720,112400
1452160,-624,-198,120832,-720,112800
1456960,216,-641,123712,-720,113200
1463232,-255,245,123712,-720,113600
1468032,452,-282,125696,-720,114000
1474304,453,477,125696,-720,114400
1478976,511,477,127488,-720,114800
1485184,466,562,127488,-720,115200
1489856,511,562,129344,-720,115600
1496064,455,583,129344,-720,116000
1500736,531,562,131648,-720,116400
1506944,483,562,131648,-720,116800
1511616,-318,520,134080,-1440,117200
1517952,-1290,-346,134080,-1440,117600
1522944,-520,-1275,136448,-1440,118000
1529536,-923,-557,136448,-1440,118400
1534464,-166,-916,137536,-1440,118800
1540928,-649,-219,137536,-1440,119200
1545856,231,-641,137344,-720,119600
1552128,1129,266,137344,-720,120000
1556864,418,1175,136896,-720,120400
1563200,766,477,136896,-720,120800
1567808,658,794,137152,-720,121200
1574016,479,731,137152,-720,121600
1578688,431,583,138304,-720,122000
1584896,-264,477,138304,-720,122400
1589632,339,-261,139776,-720,122800
1595968,-291,330,139776,-720,123200
1600704,322,-282,140928,-720,123600
1606976,-306,330,140928,-720,124000
1611712,283,-282,141696,-720,124400
1618048,-357,351,141696,-720,124800
1622784,1096,-367,142016,0,125200
1628800,1374,1238,142016,0,125600
1633280,1290,1555,142592,0,126000
1639296,1046,1301,142592,0,126400
1643776,943,1196,144000,0,126800
1649664,756,1090,144000,0,127200
1654080,768,858,146368,0,127600
1659904,684,837,146368,0,128000
1664192,-52,794,149312,-720,128400
1670400,-1072,-71,149312,-720,128800
1675264,-265,-1127,152704,-720,129200
1681728,-656,-324,152704,-720,129600
1686592,182,-620,155200,-720,130000
1692864,-297,160,155200,-720,130400
1697600,391,-324,156672,-720,130800
1703936,395,330,156672,-720,131200
1708544,416,393,157632,-720,131600
1714816,369,499,157632,-720,132000
1719424,372,435,158656,-720,132400
1725696,-268,393,158656,-720,132800
1730432,349,-261,159872,-720,133200
1736704,-268,351,159872,-720,133600
1741440,339,-303,160896,-720,134000
1747776,-278,372,160896,-720,134400
1752512,302,-282,161536,-720,134800
1758784,-333,330,161536,-720,135200
1763584,235,-303,161920,-720,135600
1769856,-401,224,161920,-720,136000
1774656,410,-409,161856,0,136400
1780544,1271,414,161856,0,136800
1784960,596,1386,161792,0,137200
1790912,969,583,161792,0,137600
1795200,892,1027,162304,0,138000
1801152,712,1027,162304,0,138400
1805504,653,794,163584,0,138800
1811328,548,668,163584,0,139200
1815616,579,625,165312,0,139600
1821504,531,646,165312,0,140000
1825792,598,604,167424,0,140400
1831616,576,689,167424,0,140800
1835904,-165,646,169792,-720,141200
1842240,-1170,-240,169792,-720,141600
1847168,-373,-1191,172544,-720,142000
1853632,-756,-388,172544,-720,142400
1858432,44,-768,174272,-720,142800
1864640,-421,13,174272,-720,143200
1869312,231,-430,174912,-720,143600
1875584,-342,266,174912,-720,144000
1880320,230,-282,175040,-720,144400
1886656,-399,245,175040,-720,144800
1891392,399,-430,174848,0,145200
1897344,1279,477,174848,0,145600
1901696,601,1428,174720,0,146000
1907648,974,625,174720,0,146400
1911936,897,1090,175232,0,146800
1917888,717,1027,175232,0,147200
1922240,672,794,176640,0,147600
1928128,575,731,176640,0,148000
1932416,612,668,178496,0,148400
1938240,569,646,178496,0,148800
1942528,645,646,180672,0,149200
1948416,626,710,180672,0,149600
1952704,715,689,183168,0,150000
1958528,700,773,183168,0,150400
1962816,-14,815,186048,-720,150800
1969024,-1020,-29,186048,-720,151200
1973888,-211,-1064,189376,-720,151600
1980352,-608,-261,189376,-720,152000
1985152,232,-641,191936,-720,152400
1991488,358,266,191936,-720,152800
1996096,469,393,193728,-720,153200
2002304,475,414,193728,-720,153600
2006976,547,499,195456,-720,154000
2013184,513,562,195456,-720,154400
2017856,-298,541,197568,-1440,154800
2024256,-1277,-346,197568,-1440,155200
2029248,-518,-1233,199616,-1440,155600
2035776,-927,-515,199616,-1440,156000
2040704,-175,-937,200448,-1440,156400
2047168,-653,-177,200448,-1440,156800
2052096,-705,-684,200000,-1440,157200
2058560,-693,-641,200000,-1440,157600
2063488,162,-705,198848,-720,158000
2069824,1061,139,198848,-720,158400
2074560,308,1196,197568,-720,158800
2080832,648,308,197568,-720,159200
2085504,760,689,196992,0,159600
2091328,1505,794,196992,0,160000
2095680,1445,1597,197440,0,160400
2101696,1181,1597,197440,0,160800
2106176,1050,1259,198912,0,161200
2112192,840,1175,198912,0,161600
2116544,848,900,201472,0,162000
2122368,762,963,201472,0,162400
2126720,14,858,204608,-720,162800
2132800,-993,34,204608,-720,163200
2137472,-200,-1043,208128,-720,163600
2143936,-599,-240,208128,-720,164000
2148736,-638,-599,211136,-1440,164400
2155264,-1439,-663,211136,-1440,164800
2160256,-631,-1508,212864,-1440,165200
2166784,-972,-641,212864,-1440,165600
2171712,-234,-895,213184,-1440,166000
2178176,-716,-219,213184,-1440,166400
2183104,136,-726,212352,-720,166800
2189440,1058,139,212352,-720,167200
2194176,334,1132,211328,-720,167600
2200448,699,393,211328,-720,168000
2205120,823,773,211008,0,168400
2210944,1573,942,211008,0,168800
2215360,1500,1830,211456,0,169200
2221312,1213,1555,211456,0,169600
2225792,1100,1386,213120,0,170000
2231808,882,1301,213120,0,170400
2236160,55,1027,215808,-720,170800
2242432,-1025,13,215808,-720,171200
2247168,-244,-1043,219072,-720,171600
2253632,-646,-177,219072,-720,172000
2258432,-722,-599,221568,-1440,172400
2264896,-1530,-705,221568,-1440,172800
2269952,-734,-1529,222912,-1440,173200
2276480,-1070,-726,222912,-1440,173600
2281472,-1001,-1085,222656,-1440,174000
2288128,-862,-958,222656,-1440,174400
2293056,23,-832,220992,-720,174800
2299264,954,13,220992,-720,175200
2303808,1058,984,218944,0,175600
2309760,1779,1154,218944,0,176000
2314240,929,1956,217856,0,176400
2320192,1147,1006,217856,0,176800
2324608,998,1217,218304,0,177200
2330560,766,1111,218304,0,177600
