time(s),reference current(A),current(A),cart position(m),pendulum angle(rad),target(m)
0.0,-1.343,-0.01,-0.002688,-0.0753982236,0.0004
0.014592,-1.345,-1.383,-0.002688,-0.0753982236,0.0008
0.0192,-1.41,-1.383,-0.003072,-0.0753982236,0.0012
0.025472,-1.344,-1.404,-0.003072,-0.0753982236,0.0016
0.030144,-1.247,-1.362,-0.004544,-0.0753982236,0.002
0.036352,-1.187,-1.214,-0.004544,-0.0753982236,0.0024
0.041088,-0.991,-1.235,-0.007296,-0.062831853,0.0028
0.047232,-0.6,-0.961,-0.007296,-0.062831853,0.0032
0.051712,-0.191,-0.475,-0.011008,-0.0502654824,0.0036
0.057856,0.762,-0.2,-0.011008,-0.0502654824,0.004
0.0624,0.456,0.771,-0.014976,-0.0376991118,0.0044
0.068352,1.27,0.496,-0.014976,-0.0376991118,0.0048
0.072896,0.62,1.384,-0.018048,-0.0376991118,0.0052
0.078976,0.937,0.644,-0.018048,-0.0376991118,0.0056
0.083392,-0.136,0.94,-0.019712,-0.0376991118,0.006
0.089472,-0.499,-0.137,-0.019712,-0.0376991118,0.0064
0.09408,-0.926,-0.559,-0.020352,-0.0376991118,0.0068
0.100224,-1.136,-0.876,-0.020352,-0.0376991118,0.0072
0.10496,-1.155,-1.066,-0.02112,-0.0251327412,0.0076
0.11136,-0.799,-1.193,-0.02112,-0.0251327412,0.008
0.11616,-0.473,-0.77,-0.022912,-0.0251327412,0.0084
0.122368,-0.363,-0.496,-0.022912,-0.0251327412,0.0088
0.127104,-0.222,-0.348,-0.02528,-0.0125663706,0.0092
0.133248,0.659,-0.221,-0.02528,-0.0125663706,0.0096
0.137728,0.185,0.644,-0.02752,-0.0125663706,0.01
0.143808,0.683,0.2,-0.02752,-0.0125663706,0.0104
0.148288,-0.143,0.686,-0.029056,-0.0125663706,0.0108
0.154432,-0.368,-0.158,-0.029056,-0.0125663706,0.0112
0.159104,-0.513,-0.348,-0.029824,0.0,0.0116
0.164992,-0.295,-0.517,-0.029824,0.0,0.012
0.169344,-0.159,-0.285,-0.030464,0.0,0.0124
0.175232,0.433,-0.158,-0.030464,0.0,0.0128
0.179456,-0.228,0.496,-0.031168,0.0,0.0132
0.18528,-0.33,-0.179,-0.031168,0.0,0.0136
0.189632,-0.485,-0.369,-0.03168,0.0,0.014
0.19552,-0.594,-0.538,-0.03168,0.0,0.0144
0.199808,-0.7,-0.58,-0.032128,0.0,0.0148
0.205696,-0.745,-0.707,-0.032128,0.0,0.0152
0.210048,-0.64,-0.813,-0.03296,0.0125663706,0.0156
0.216192,-0.283,-0.644,-0.03296,0.0125663706,0.016
0.2208,0.036,-0.263,-0.03424,0.0125663706,0.0164
0.226752,0.692,0.053,-0.03424,0.0125663706,0.0168
0.231104,0.054,0.729,-0.03552,0.0125663706,0.0172
0.236992,0.516,0.01,-0.03552,0.0125663706,0.0176
0.241344,-0.273,0.517,-0.03616,0.0125663706,0.018
0.24736,-0.416,-0.263,-0.03616,0.0125663706,0.0184
0.251968,-0.579,-0.454,-0.036288,0.0125663706,0.0188
0.258112,-0.66,-0.623,-0.036288,0.0125663706,0.0192
0.26272,-0.571,-0.686,-0.036672,0.0251327412,0.0196
0.268928,0.399,-0.517,-0.036672,0.0251327412,0.02
0.273536,0.131,0.369,-0.037504,0.0251327412,0.0204
0.279616,0.79,0.137,-0.037504,0.0251327412,0.0208
0.284096,0.168,0.877,-0.038144,0.0251327412,0.0212
0.290176,0.64,0.2,-0.038144,0.0251327412,0.0216
0.294656,0.446,0.708,-0.037888,0.0251327412,0.022
0.300736,0.351,0.475,-0.037888,0.0251327412,0.0224
0.305216,0.199,0.369,-0.03712,0.0251327412,0.0228
0.311296,-0.463,0.2,-0.03712,0.0251327412,0.0232
0.315904,0.07,-0.454,-0.036096,0.0251327412,0.0236
0.32192,-0.524,0.053,-0.036096,0.0251327412,0.024
0.326464,0.083,-0.475,-0.035392,0.0251327412,0.0244
0.33248,-0.474,0.074,-0.035392,0.0251327412,0.0248
0.337024,0.152,-0.496,-0.035072,0.0251327412,0.0252
0.343168,-0.405,0.222,-0.035072,0.0251327412,0.0256
0.347776,-0.226,-0.432,-0.035136,0.0376991118,0.026
0.353984,0.705,-0.285,-0.035136,0.0376991118,0.0264
0.358592,0.429,0.75,-0.035456,0.0376991118,0.0268
0.364672,1.078,0.454,-0.035456,0.0376991118,0.0272
0.36928,1.012,1.151,-0.035456,0.0376991118,0.0276
0.375488,0.926,1.088,-0.035456,0.0376991118,0.028
0.380096,0.717,0.961,-0.034496,0.0376991118,0.0284
0.386176,0.564,0.771,-0.034496,0.0376991118,0.0288
0.390656,0.413,0.623,-0.03264,0.0376991118,0.0292
0.396736,0.346,0.412,-0.03264,0.0376991118,0.0296
0.401216,0.165,0.433,-0.0304,0.0251327412,0.03
0.407296,-0.776,0.222,-0.0304,0.0251327412,0.0304
0.411904,-0.443,-0.855,-0.028032,0.0251327412,0.0308
0.418112,-1.04,-0.39,-0.028032,0.0251327412,0.0312
0.422848,-0.301,-1.13,-0.026176,0.0251327412,0.0316
0.429184,-0.7,-0.306,-0.026176,0.0251327412,0.032
0.433856,0.161,-0.707,-0.025408,0.0251327412,0.0324
0.44,-0.264,0.158,-0.025408,0.0251327412,0.0328
0.444608,0.625,-0.285,-0.025344,0.0376991118,0.0332
0.450752,1.061,0.665,-0.025344,0.0376991118,0.0336
0.455296,1.374,1.13,-0.025344,0.0376991118,0.034
0.461568,1.396,1.405,-0.025344,0.0376991118,0.0344
0.46624,1.259,1.595,-0.024384,0.0376991118,0.0348
0.472512,1.069,1.447,-0.024384,0.0376991118,0.0352
0.477184,0.787,1.109,-0.022016,0.0376991118,0.0356
0.483328,0.614,0.855,-0.022016,0.0376991118,0.036
0.487808,0.324,0.686,-0.018688,0.0251327412,0.0364
0.493888,-0.667,0.243,-0.018688,0.0251327412,0.0368
0.498496,-0.369,-0.665,-0.015104,0.0251327412,0.0372
0.504704,-0.947,-0.39,-0.015104,0.0251327412,0.0376
0.509376,-0.338,-1.003,-0.011968,0.0125663706,0.038
0.515584,-1.096,-0.348,-0.011968,0.0125663706,0.0384
0.520256,-0.501,-1.109,-0.010048,0.0125663706,0.0388
0.526528,-0.95,-0.538,-0.010048,0.0125663706,0.0392
0.531072,-0.096,-1.003,-0.00928,0.0125663706,0.0396
0.537152,-0.484,-0.094,-0.00928,0.0125663706,0.04
0.541568,-0.101,-0.475,-0.009344,0.0251327412,0.0404
0.547712,0.914,-0.115,-0.009344,0.0251327412,0.0408
0.552192,0.715,0.982,-0.009792,0.0251327412,0.0412
0.558208,1.368,0.729,-0.009792,0.0251327412,0.0416
0.562688,1.285,1.489,-0.0096,0.0251327412,0.042
0.568832,1.162,1.362,-0.0096,0.0251327412,0.0424
0.57344,0.896,1.278,-0.008192,0.0251327412,0.0428
0.579456,0.708,0.961,-0.008192,0.0251327412,0.0432
0.583872,0.508,0.708,-0.005888,0.0251327412,0.0436
0.589888,0.428,0.538,-0.005888,0.0251327412,0.044
0.59424,0.392,0.433,-0.003072,0.0251327412,0.0444
0.600256,0.417,0.412,-0.003072,0.0251327412,0.0448
0.604672,0.338,0.412,-0.000128,0.0125663706,0.0452
0.610432,-0.553,0.454,-0.000128,0.0125663706,0.0456
0.614784,-0.167,-0.58,0.002944,0.0125663706,0.046
0.620736,-0.771,-0.158,0.002944,0.0125663706,0.0464
0.625152,-0.073,-0.77,0.005568,0.0125663706,0.0468
0.63104,-0.509,-0.073,0.005568,0.0125663706,0.0472
0.635392,0.291,-0.517,0.00736,0.0125663706,0.0476
0.64128,0.435,0.306,0.00736,0.0125663706,0.048
0.645504,0.733,0.496,0.00864,0.0251327412,0.0484
0.651392,1.146,0.75,0.00864,0.0251327412,0.0488
0.655808,1.49,1.278,0.009984,0.0251327412,0.0492
0.661824,1.556,1.574,0.009984,0.0251327412,0.0496
0.666368,1.33,1.722,0.012224,0.0125663706,0.05
0.672384,0.796,1.426,0.012224,0.0125663706,0.0504
0.6768,0.262,0.813,0.015552,0.0125663706,0.0508
0.682688,-0.533,0.285,0.015552,0.0125663706,0.0512
0.687104,-0.176,-0.538,0.019264,0.0,0.0516
