time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg),target(um)
0,-1343,-10,-2688,-4320,400
14592,-1345,-1383,-2688,-4320,800
19200,-1410,-1383,-3072,-4320,1200
25472,-1344,-1404,-3072,-4320,1600
30144,-1247,-1362,-4544,-4320,2000
36352,-1187,-1214,-4544,-4320,2400
41088,-991,-1235,-7296,-3600,2800
47232,-600,-961,-7296,-3600,3200
51712,-191,-475,-11008,-2880,3600
57856,762,-200,-11008,-2880,4000
62400,456,771,-14976,-2160,4400
68352,1270,496,-14976,-2160,4800
72896,620,1384,-18048,-2160,5200
78976,937,644,-18048,-2160,5600
83392,-136,940,-19712,-2160,6000
89472,-499,-137,-19712,-2160,6400
94080,-926,-559,-20352,-2160,6800
100224,-1136,-876,-20352,-2160,7200
104960,-1155,-1066,-21120,-1440,7600
111360,-799,-1193,-21120,-1440,8000
116160,-473,-770,-22912,-1440,8400
122368,-363,-496,-22912,-1440,8800
127104,-222,-348,-25280,-720,9200
133248,659,-221,-25280,-720,9600
137728,185,644,-27520,-720,10000
143808,683,200,-27520,-720,10400
148288,-143,686,-29056,-720,10800
154432,-368,-158,-29056,-720,11200
159104,-513,-348,-29824,0,11600
164992,-295,-517,-29824,0,12000
169344,-159,-285,-30464,0,12400
175232,433,-158,-30464,0,12800
179456,-228,496,-31168,0,13200
185280,-330,-179,-31168,0,13600
189632,-485,-369,-31680,0,14000
195520,-594,-538,-31680,0,14400
199808,-700,-580,-32128,0,14800
205696,-745,-707,-32128,0,15200
210048,-640,-813,-32960,720,15600
216192,-283,-644,-32960,720,16000
220800,36,-263,-34240,720,16400
226752,692,53,-34240,720,16800
231104,54,729,-35520,720,17200
236992,516,10,-35520,720,17600
241344,-273,517,-36160,720,18000
247360,-416,-263,-36160,720,18400
251968,-579,-454,-36288,720,18800
258112,-660,-623,-36288,720,19200
262720,-571,-686,-36672,1440,19600
268928,399,-517,-36672,1440,20000
273536,131,369,-37504,1440,20400
279616,790,137,-37504,1440,20800
284096,168,877,-38144,1440,21200
290176,640,200,-38144,1440,21600
294656,446,708,-37888,1440,22000
