time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

6912,400,-19,0,-180000

10816,425,423,0,-180000

14848,400,444,90,-179955

18880,400,444,180,-179955

22976,400,444,288,-179955

27136,400,423,486,-179910

31232,400,402,702,-179910

35328,400,402,936,-179865

39488,400,444,1224,-179865

43648,400,381,1548,-179775

47872,400,444,1908,-179775

52096,426,487,2286,-179730

56384,400,444,2700,-179550

60608,400,444,3168,-179550

64768,400,466,3600,-179550

68992,420,444,4104,-179415

73280,400,444,4698,-179325

77504,400,466,5238,-179280

81728,400,466,5778,-179280

85952,400,402,6390,-179145

90112,400,423,7074,-179010

94336,483,423,7686,-179010

98624,588,571,8334,-178875

102912,488,656,9126,-178740

107328,400,592,9918,-178650

111616,449,423,10674,-178605

116096,400,508,11538,-178470

120448,400,402,12438,-178380

124864,400,423,13302,-178290

129216,400,423,14202,-178155

133632,400,444,15156,-178020

138048,400,444,16110,-177930

142400,400,550,17064,-177840

146816,444,487,18054,-177660

151296,400,466,19062,-177570

155648,400,402,20088,-177435

160064,400,466,21132,-177300

164416,400,487,22194,-177210

168832,400,487,23256,-177075

173184,400,487,24354,-176895

177600,400,444,25488,-176805

181952,400,402,26604,-176670

186368,400,466,27774,-176535

190784,592,444,28962,-176445

195200,719,698,30186,-176310

199680,681,846,31518,-176130

204160,792,761,32940,-175950

208640,668,930,34344,-175815

213120,550,677,35928,-175590

217600,390,635,37620,-175455

222080,600,402,39258,-175320

226560,673,677,40968,-175095

231040,734,761,42840,-174780

235456,741,804,44694,-174645

239936,663,846,46602,-174510

244416,739,740,48690,-174195

248896,801,783,50778,-174015

253376,856,867,53010,-173745

257856,758,973,55350,-173475

262336,608,888,57762,-173205

266816,499,698,60264,-173025

271296,579,740,62802,-172710

275712,572,698,65430,-172440

280192,681,656,68112,-172170

284672,620,846,70794,-171855

289152,586,677,73602,-171585

293632,392,740,76428,-171315

298112,450,444,79326,-171000

302592,395,466,82224,-170730

307072,387,508,85140,-170415

311488,377,381,88110,-170100

315968,187,466,91062,-169875

320448,100,212,93996,-169605

324928,-31,85,96912,-169290

329344,8,-19,99774,-169065

333632,50,-19,102456,-168840

338112,126,64,105228,-168570

342592,124,128,107982,-168345

347136,110,170,110700,-168120

351680,114,106,113364,-167940

356224,321,128,115992,-167760

360768,510,381,118620,-167535

365376,565,571,121248,-167355

369920,391,656,123912,-167175

374464,372,529,126576,-166995

379008,230,508,129240,-166905

383552,300,233,131958,-166680

388160,312,360,134640,-166545

392704,246,318,137322,-166365

397248,354,233,140022,-166185

401792,344,444,142650,-166050

406400,248,360,145296,-166005

410944,270,318,147924,-165780

415488,198,275,150552,-165735

420032,238,191,153144,-165645

424640,81,212,155718,-165510

429056,81,128,158238,-165420

433536,37,85,160686,-165375

437952,-33,128,163026,-165285

442496,150,-40,165474,-165285

447040,57,191,167796,-165240

451520,31,85,170046,-165195

455936,-57,22,172206,-165240

460416,17,-125,174348,-165240

464960,88,1,176472,-165285

469248,65,106,178434,-165285

473728,105,64,180396,-165330

478208,192,128,182304,-165420

482752,114,212,184230,-165465

487296,256,149,186138,-165510

491904,235,318,187974,-165645

496448,441,233,189792,-165780

500992,439,550,191628,-165870

505536,378,487,193464,-165960

510080,438,466,195318,-166140

514688,269,508,197172,-166230

519232,344,297,199080,-166320

523776,503,339,201006,-166545

528320,634,571,202896,-166680

532864,648,677,204858,-166770

537472,582,740,206910,-166905

542016,578,656,208962,-167085

546560,622,656,211086,-167220

551104,597,656,213318,-167310

555648,683,677,215550,-167445

560256,638,761,217854,-167580

564800,542,804,220248,-167670

569344,453,635,222678,-167850

573888,424,529,225126,-167985

578432,447,529,227628,-168075

583040,578,508,230166,-168210

587584,755,613,232722,-168390

592128,805,888,235350,-168480

596672,723,909,238086,-168525

601216,721,740,240858,-168750

605824,783,783,243702,-168840

610368,769,867,246726,-168885

614912,706,888,249804,-169020

619456,590,909,252918,-169110

624000,550,613,256140,-169200

628608,460,635,259452,-169290

633152,440,529,262782,-169380

637696,444,487,266148,-169470

642240,365,466,269532,-169560

646848,228,466,272952,-169605

651392,242,297,276354,-169740

655936,235,233,279702,-169875

660480,207,297,283104,-169920

665024,212,275,286488,-170055

669632,289,191,289800,-170235

674176,295,360,293112,-170280

678720,169,402,296442,-170415

683264,223,128,299718,-170595

687808,188,233,302976,-170730

692416,164,275,306252,-170910

696960,273,128,309474,-171045

701504,309,254,312696,-171225

706048,324,360,315864,-171405

710592,439,360,319050,-171585

715200,426,529,322272,-171765

719744,534,550,325494,-171945

724288,569,635,328698,-172125

728832,485,613,331992,-172260

733376,511,677,335340,-172440

737984,557,508,338670,-172665

742528,567,613,342108,-172845

747072,554,677,345564,-172980

751616,544,698,349056,-173160

756160,562,571,352638,-173340

760768,753,592,356202,-173520

765312,709,846,359856,-173655

769856,725,888,363672,-173745

774400,816,973,367452,-173925

778944,751,888,371340,-174105

783552,705,804,375408,-174150

788096,872,740,379494,-174285

792640,909,994,383688,-174420

797184,-400,1099,387990,-174420

801856,-400,-357,392454,-174600

806528,-400,-379,396648,-174870

811136,-400,-421,400914,-174825

815808,-400,-442,405054,-174960

820416,-400,-421,408816,-175320

825088,885,-421,412578,-175365

829760,892,1015,416286,-175500

834368,843,1015,420048,-175680

839040,917,888,423810,-175905

843584,844,973,427698,-176130

848128,661,952,431676,-176220

852672,698,804,435762,-176400

857280,729,888,439956,-176580

861824,718,909,444168,-176670

866368,-400,804,448488,-176760

870912,-400,-442,452844,-176895

875584,-400,-463,457020,-177120

880192,-400,-442,461268,-177345

884864,-400,-400,465282,-177390

889536,350,-400,469134,-177615

894144,288,360,472878,-177885

898688,109,275,476532,-177975

903232,216,170,480096,-178290

907840,267,212,483606,-178560

912384,242,191,487242,-178605

916928,337,254,490824,-178965

921472,401,423,494280,-179280

926016,397,571,497916,-179370

930624,416,423,501426,-179685

935168,262,423,504990,-179910

939712,188,297,508662,-180045

944256,212,191,512190,-180405

948864,167,212,515790,-180675

953408,30,318,519336,-180720

957888,-77,64,522756,-181080

962368,-129,-40,526176,-181395

966976,-130,-146,529578,-181485

971712,-50,-125,533016,-181845

976384,-89,-19,536256,-182160

980928,-228,-146,539352,-182340

985664,-163,-273,542556,-182745

990400,-324,-146,545526,-183105

995136,-330,-315,548514,-183375

999872,-310,-294,551322,-183690

1004608,-404,-357,553968,-184095

1009408,-367,-357,556650,-184455

1014272,-259,-400,559098,-184860

1019072,-231,-315,561420,-185310

1023936,-216,-273,563670,-185715

1028736,-141,-188,565758,-186165

1033600,-125,-125,567738,-186660

1038400,-66,-83,569682,-187065

1043072,69,-40,571410,-187515

1047616,-31,43,573030,-188010

1052224,-44,-40,574668,-188325

1056896,92,-40,576252,-188865

1061440,-48,106,577710,-189405

1066112,144,-40,579204,-189720

1070720,82,128,580626,-190215

1075328,198,64,581994,-190755

1079872,237,191,583380,-191115

1084544,216,191,584766,-191565

1089152,400,297,586098,-192105

1093760,408,444,587484,-192465

1098368,553,423,588960,-192825

1103040,520,635,590400,-193320

1107712,490,592,591930,-193725

1112384,447,635,593550,-194085

1116992,258,508,595224,-194445

1121664,343,128,596916,-194895

1126336,237,402,598608,-195210

1130944,114,254,600390,-195525

1135616,-400,106,602118,-195885

1140288,-400,-400,603792,-196245

1145024,-400,-421,605412,-196605

1149760,-400,-379,606924,-196920

1154496,-459,-315,608274,-197325

1159296,-460,-379,609516,-197685

1164160,-579,-442,610650,-198045

1168960,-610,-590,611586,-198450

1173824,-832,-632,612360,-198855

1178624,-636,-822,613008,-199260

1183488,-400,-632,613386,-199755

1188224,-400,-379,613638,-200160

1192960,-400,-442,613764,-200565

1197696,-400,-421,613764,-201060

1202432,-400,-442,613692,-201510

1207168,-400,-379,613548,-201915

1211904,-400,-400,613314,-202410

1216640,-400,-442,613026,-202815

1221376,-400,-421,612720,-203220

1226176,-400,-400,612342,-203715

1230912,-400,-379,611910,-204120

1235648,-400,-379,611424,-204480

1240384,-400,-421,610956,-204930

1245120,-400,-400,610398,-205290

1249856,-400,-421,609840,-205650

1254592,-400,-357,609210,-206100

1259328,-400,-379,608580,-206460

1264064,-400,-400,607968,-206730

1268864,-400,-421,607284,-207135

1273600,-400,-421,606564,-207495

1278336,-400,-357,605880,-207765

1283072,-400,-379,605160,-208125

1287808,-400,-357,604422,-208440

1292544,-400,-421,603630,-208665

1297280,-400,-421,602820,-208980

1302016,-400,-400,602028,-209295

1306816,-400,-400,601200,-209520

1311552,-448,-357,600318,-209790

1316352,-568,-463,599400,-209970

1321216,-645,-632,598464,-210240

1326016,-879,-653,597438,-210510

1330880,-809,-822,596376,-210690

1335680,-809,-780,595116,-210870

1340544,-557,-822,593856,-211095

1345344,-729,-526,592452,-211275

1350208,-476,-738,591030,-211455

1355008,-400,-463,589464,-211680

1359744,-182,-336,587988,-211770

1364608,-218,-167,586458,-211995

1369408,-26,-210,584964,-212085

1374144,-13,-40,583506,-212175

1378816,298,-19,582156,-212310

1383488,134,339,580896,-212400

1388160,-400,106,579798,-212310

1392832,-400,-484,578664,-212445

1397568,-400,-379,577530,-212490

1402304,-400,-379,576540,-212355

1407040,-400,-400,575388,-212400

1411776,-400,-357,574236,-212400

1416512,-400,-442,573084,-212265

1421248,-400,-379,571932,-212175

1425984,-400,-379,570780,-212130

1430720,-400,-336,569574,-211995

1435520,-400,-379,568368,-211905

