time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

6912,400,1,0,-180000

10624,425,424,0,-180000

14656,400,466,90,-179955

18688,400,445,162,-179955

22848,400,403,270,-179955

26944,400,466,468,-179910

31040,400,445,702,-179865

35200,400,382,954,-179865

39296,400,424,1224,-179865

43520,400,382,1548,-179775

47744,400,445,1890,-179730

51904,426,403,2268,-179730

56192,400,445,2682,-179595

60416,400,466,3132,-179550

64640,400,445,3600,-179550

68864,420,424,4104,-179460

73152,400,487,4644,-179415

77312,400,466,5202,-179325

81536,400,445,5760,-179235

85760,400,382,6336,-179190

89984,400,445,6966,-179100

94144,483,424,7650,-178965

98432,588,508,8316,-178920

102720,488,656,9036,-178830

107136,400,466,9864,-178695

111424,449,403,10638,-178605

115904,400,445,11484,-178515

120320,400,487,12420,-178380

124672,400,466,13284,-178290

129088,400,382,14202,-178155

133440,400,466,15192,-178065

137856,400,445,16128,-177975

142208,400,445,17118,-177840

146624,444,445,18162,-177660

151104,400,508,19188,-177570

155456,400,508,20232,-177480

159872,400,466,21294,-177300

164288,400,445,22410,-177165

168640,400,466,23526,-177120

173056,400,403,24642,-176940

177408,400,424,25794,-176805

181824,400,424,27000,-176715

186176,400,382,28188,-176490

190592,592,487,29394,-176400

195072,719,635,30672,-176310

199552,681,762,32076,-176040

203968,792,762,33534,-175860

208448,668,868,34956,-175815

212928,550,699,36558,-175590

217408,390,635,38340,-175320

221888,600,382,40014,-175230

226368,673,720,41724,-175050

230784,734,783,43650,-174780

235264,741,825,45558,-174555

239744,663,825,47538,-174420

244224,739,762,49608,-174150

248704,801,868,51750,-173880

253184,856,910,54090,-173655

257664,758,973,56430,-173385

262144,608,804,58878,-173160

266560,499,699,61398,-172935

271040,579,551,64026,-172575

275520,572,635,66672,-172350

280000,681,593,69372,-172080

284480,620,762,72126,-171720

288960,586,720,74988,-171450

293440,392,593,77832,-171180

297920,450,487,80748,-170865

302336,395,424,83700,-170640

306816,387,466,86670,-170325

311296,377,487,89676,-170010

315776,187,318,92682,-169785

320256,100,255,95652,-169515

324736,-31,65,98640,-169155

329088,8,-40,101538,-168975

333504,50,23,104346,-168705

337920,126,65,107118,-168390

342336,124,192,109926,-168210

346944,110,86,112680,-167985

351424,114,128,115326,-167805

355968,321,107,118044,-167580

360512,510,403,120708,-167400

365056,565,635,123372,-167220

