time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

6912,400,5,0,-180000

10624,425,448,18,-180000

14720,400,469,108,-179955

18880,400,448,180,-179955

22976,400,491,306,-179955

27136,400,427,522,-179865

31232,400,406,756,-179820

35328,400,406,1044,-179820

39552,400,364,1350,-179775

43776,400,427,1692,-179730

48000,400,469,2088,-179685

52160,426,385,2502,-179640

56448,400,491,2952,-179550

60672,400,427,3474,-179505

64896,400,427,3978,-179460

69120,420,491,4518,-179370

73408,400,469,5112,-179280

77568,400,385,5706,-179235

81792,400,300,6318,-179190

86016,400,448,6948,-179055

90240,400,469,7632,-179010

94400,483,406,8298,-178875

98688,588,491,9018,-178740

102976,488,681,9774,-178695

107392,400,533,10566,-178605

111808,449,448,11412,-178515

116224,400,469,12312,-178380

120640,400,427,13194,-178290

125056,400,406,14076,-178155

129408,400,427,15030,-178065

133824,400,448,15966,-177975

138176,400,406,16920,-177795

142592,400,533,17928,-177660

146944,444,406,18918,-177570

151424,400,512,19944,-177435

155840,400,406,21006,-177345

160192,400,448,22050,-177210

164608,400,448,23112,-177075

168960,400,469,24210,-176940

173376,400,512,25326,-176805

177792,400,491,26460,-176715

182144,400,427,27612,-176535

186560,400,469,28818,-176400

190912,592,448,30024,-176310

195392,719,638,31284,-176130

199872,681,807,32652,-175995

204352,792,807,34092,-175860

208832,668,850,35550,-175680

213312,550,744,37188,-175500

217792,390,596,38880,-175275

222208,600,427,40572,-175140

226688,673,660,42336,-175005

231168,734,744,44226,-174645

235648,741,807,46116,-174465

240128,663,829,48096,-174375

244608,739,765,50166,-173970

249088,801,829,52344,-173835

253568,856,786,54612,-173655

257984,758,998,56952,-173250

262464,608,765,59436,-173115

266944,499,681,61938,-172800

271424,579,491,64512,-172530

275904,572,702,67176,-172350

280384,681,638,69876,-171990

284864,620,765,72630,-171675

289344,586,765,75474,-171450

293824,392,617,78318,-171090

298304,450,491,81252,-170820

302720,395,448,84186,-170595

307200,387,469,87138,-170235

311680,377,448,90144,-169965

316160,187,427,93132,-169695

320640,100,195,96102,-169380

325120,-31,131,99072,-169155

329600,8,-58,101988,-168885

333952,50,-58,104796,-168660

338432,126,5,107622,-168435

342848,124,152,110340,-168165

347392,110,110,113112,-167940

351936,114,110,115812,-167760

356480,321,174,118494,-167580

361088,510,343,121158,-167355

365632,565,554,123840,-167175

370176,391,617,126540,-166995

374720,372,427,129222,-166860

379264,230,385,131940,-166725

383872,300,279,134712,-166500

388416,312,385,137448,-166365

