time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

7808,800,15,0,-180000

11456,800,902,72,-180000

15296,800,881,252,-179865

19328,800,881,432,-179955

23296,800,881,738,-179955

27264,800,860,1170,-179820

31360,800,881,1674,-179775

35392,800,860,2232,-179775

39488,800,881,2952,-179640

43520,800,881,3726,-179505

47616,800,902,4590,-179460

51712,800,860,5580,-179280

55744,800,881,6624,-179100

59840,800,881,7740,-179010

63872,800,923,8946,-178875

67968,800,902,10278,-178650

72128,800,923,11682,-178470

76288,800,944,13122,-178335

80384,800,923,14706,-178065

84544,800,860,16398,-177840

88704,800,944,18108,-177660

92864,800,860,19926,-177435

97024,800,881,21834,-177120

101184,800,944,23814,-176940

105408,800,902,25902,-176670

109696,800,965,28116,-176355

113920,800,944,30384,-176130

118208,800,881,32724,-175860

122432,800,881,35208,-175500

126656,800,965,37746,-175140

130944,800,860,40338,-174870

135168,800,986,43074,-174465

139456,800,881,45882,-174060

143680,800,944,48762,-173790

147904,800,902,51714,-173475

152192,800,902,54774,-173070

156416,800,965,57924,-172710

160640,800,839,61128,-172350

164928,800,839,64440,-171945

169152,800,986,67860,-171540

173440,800,944,71334,-171135

177664,800,902,74862,-170730

181888,800,923,78534,-170190

186176,800,965,82242,-169830

190400,800,1008,86040,-169470

194752,800,881,90018,-168885

198976,800,881,93978,-168435

203264,800,923,98010,-167985

207488,800,923,102132,-167535

211840,800,965,106416,-167085

216192,800,986,110754,-166635

220480,800,1050,115182,-166185

224896,800,944,119790,-165690

229248,800,1113,124380,-165105

233664,800,1029,129114,-164700

238080,800,1092,133956,-164070

242496,800,1050,138834,-163710

246912,800,1134,143802,-163170

251328,800,1029,148878,-162540

255744,800,902,154008,-162135

260096,-800,944,159102,-161640

264512,-800,-872,164160,-161235

269056,-800,-893,169074,-160830

273536,-800,-830,174006,-160335

278016,-800,-830,178560,-159840

282560,-800,-809,182772,-159570

287040,-800,-935,186840,-159255

291584,-800,-893,190728,-158895

296064,-800,-851,194274,-158670

300608,-800,-851,197586,-158535

305088,-800,-872,200754,-158220

309632,-800,-830,203634,-158175

314112,-800,-872,206280,-158130

318656,-800,-851,208746,-158040

323136,-800,-851,210924,-157995

327680,-800,-851,212886,-158085

332160,-800,-809,214668,-158130

336704,-800,-787,216162,-158220

341184,-800,-766,217440,-158400

345728,-800,-809,218502,-158580

350208,-800,-809,219330,-158715

354752,-800,-809,219978,-158985

359232,-800,-809,220320,-159255

363776,-800,-809,220464,-159525

368256,-800,-809,220428,-160020

372800,-800,-809,220176,-160335

377280,-800,-787,219780,-160695

381824,-800,-809,219186,-161325

386304,-800,-851,218430,-161775

390848,-800,-787,217620,-162180

395328,-800,-809,216594,-162810

399808,-800,-766,215460,-163260

404352,-800,-809,214236,-163890

408832,-800,-787,212814,-164565

413376,-800,-766,211320,-165060

417856,-800,-809,209700,-165735

422400,-800,-787,207918,-166500

426880,-800,-703,206064,-167085

431424,-800,-830,204048,-167850

435904,-800,-830,201888,-168480

440448,-800,-745,199656,-169245

444928,-800,-787,197280,-170100

449472,-800,-745,194814,-170820
