time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

7808,800,21,0,-180000

11456,800,866,90,-180000

15296,800,866,270,-179865

19328,800,887,486,-179910

23296,800,887,846,-179910

27264,800,887,1332,-179775

31360,800,908,1908,-179685

35392,800,845,2574,-179685

39488,800,887,3348,-179550

43520,800,845,4194,-179415

47616,800,866,5148,-179325

51712,800,824,6156,-179190

55744,800,866,7272,-178965

59840,800,908,8496,-178830

63872,800,866,9756,-178740

67968,800,887,11124,-178515

72128,800,929,12618,-178290

76288,800,866,14148,-178155

80384,800,887,15786,-177885

84544,800,908,17550,-177660

88704,800,887,19332,-177480

92864,800,866,21204,-177210

97024,800,887,23202,-176940

101184,800,908,25254,-176670

105408,800,908,27378,-176445

109696,800,908,29646,-176085

113920,800,866,32022,-175770

118208,800,950,34434,-175545

122432,800,908,36918,-175230

126656,800,993,39546,-174915

130944,800,887,42228,-174600

135168,800,929,45000,-174240

139456,800,908,47898,-173880

143680,800,929,50832,-173520

147904,800,908,53856,-173205

152192,800,845,57024,-172755

156416,800,929,60210,-172395

160704,800,908,63486,-172080

164928,800,908,66888,-171585

169152,800,908,70362,-171135

173440,800,950,73908,-170820

177664,800,972,77526,-170370

181888,800,950,81252,-169920

186176,800,845,85032,-169515

190400,800,972,88920,-169065

194688,800,993,92862,-168570

198912,800,887,96894,-168075

203136,800,887,100998,-167625

207488,800,993,105264,-167220

211840,800,929,109638,-166725

216192,800,908,114048,-166275

220480,800,929,118530,-165690

224832,800,908,123120,-165285

229184,800,929,127746,-164790

233472,800,950,132462,-164205

237824,800,1014,137268,-163755

242240,800,929,142236,-163215

246592,800,950,147150,-162810

250944,800,993,152190,-162270

255232,800,929,157266,-161730

259584,-800,929,162414,-161280

264000,-800,-1035,167526,-160830

268608,-800,-992,172584,-160380

273088,-800,-1056,177534,-159840

277696,-800,-908,182250,-159435

282240,-800,-908,186516,-159120

286720,-800,-887,190638,-158805

291264,-800,-844,194526,-158490

295744,-800,-844,198144,-158310

300288,-800,-887,201528,-158085

304768,-800,-908,204696,-157860

309312,-800,-823,207630,-157770

313792,-800,-844,210330,-157725

318336,-800,-802,212778,-157635

322816,-800,-844,215028,-157635

327296,-800,-823,217026,-157680

331840,-800,-760,218808,-157725

336320,-800,-844,220392,-157770

340864,-800,-823,221688,-157995

345344,-800,-823,222768,-158175

349888,-800,-823,223686,-158310

354368,-800,-802,224334,-158625

358912,-800,-823,224712,-158940

363392,-800,-802,224964,-159165

367936,-800,-739,225000,-159525

372416,-800,-823,224766,-160020

376960,-800,-823,224406,-160335

381440,-800,-823,223884,-160785

385984,-800,-781,223218,-161280

390464,-800,-844,222390,-161775

395008,-800,-781,221454,-162315

399488,-800,-739,220374,-162900

404032,-800,-802,219150,-163440

408512,-800,-781,217818,-164115

413056,-800,-781,216324,-164700

417536,-800,-823,214722,-165330

422080,-800,-760,213030,-165960

426560,-800,-802,211140,-166725

431104,-800,-844,209160,-167400

435584,-800,-718,207126,-168075

440128,-800,-739,204876,-168885

444608,-800,-654,202536,-169695

449088,-800,-781,200106,-170415

453632,-800,-612,197568,-171450

458112,-800,-844,194868,-172305

462656,-800,-718,192096,-172935

467136,-800,-739,189198,-173880

471680,-800,-781,186174,-174870

476160,-800,-760,183096,-175725

480704,-800,-675,179856,-176535

485184,-800,-781,176490,-177660

489728,-800,-612,173106,-178380

494208,-800,-591,169560,-179370

498752,-800,-844,165870,-180540

503232,-800,-718,162144,-181395

507776,800,-675,158292,-182340

512192,800,739,154656,-183240

516544,800,760,151218,-184050

520832,800,718,147852,-185310

525184,800,781,144900,-185985

529536,800,803,142110,-186615

533888,800,845,139482,-187650

538176,800,781,137106,-188595

542528,800,781,134946,-189135

546880,800,803,133002,-189810

551168,800,824,131238,-190665

555520,800,845,129726,-191115

559872,800,845,128430,-191745

564224,800,845,127296,-192555

568512,800,845,126414,-192960

572864,800,845,125748,-193365

577216,800,908,125244,-193995

581504,800,908,124992,-194400

585856,800,929,124974,-194850

590208,800,845,125046,-195300

594560,800,866,125352,-195615

598848,800,866,125856,-195840

603200,800,887,126378,-196290

607552,800,866,127062,-196605

611904,800,908,127944,-196785

616192,800,866,128880,-197055

620544,800,908,129906,-197370

624896,800,908,131148,-197460

629184,800,845,132444,-197640

633536,800,866,133848,-197865

637888,800,908,135414,-197955

642240,800,845,137034,-198090

646528,800,908,138816,-198180

650880,800,908,140724,-198225

655232,800,908,142668,-198315

659520,800,929,144756,-198360

663872,800,887,146988,-198315

668224,800,972,149310,-198315

672576,800,866,151704,-198315

676864,800,929,154206,-198270

681216,800,866,156870,-198135

685568,800,993,159588,-198090

689856,800,929,162414,-198000

694208,800,972,165366,-197775

698560,800,866,168408,-197685

702912,800,887,171540,-197550

707200,800,950,174816,-197235

711552,800,972,178146,-197100

715904,800,866,181584,-196785

720192,800,950,185166,-196560

724544,800,1035,188802,-196290

728960,800,950,192618,-196020

733312,800,887,196470,-195660

737664,800,950,200430,-195345

741952,800,929,204462,-194940

746304,800,1035,208602,-194580

750720,800,1077,212922,-194220

755136,800,1035,217332,-193815

759552,-800,1077,221850,-193410

